rebalance_date,entry_date,exit_date,n_long,n_short,weighted_return,turnover_frac,cost,capital_before,capital_after,net_pnl
2021-11-18 00:00:00+00:00,2021-11-19 00:00:00+00:00,2021-11-26 00:00:00+00:00,3,3,-0.01750364784013982,0.49999999999999994,14.999999999999998,10000.0,9809.963521598602,-190.0364784013982
2021-11-25 00:00:00+00:00,2021-11-26 00:00:00+00:00,2021-12-03 00:00:00+00:00,3,3,0.002618525206595612,0.3333333333333333,9.809963521598602,9809.963521598602,9825.841194834093,15.877673235490875
2021-12-02 00:00:00+00:00,2021-12-03 00:00:00+00:00,2021-12-10 00:00:00+00:00,3,3,0.06626176077355689,0.16666666666666666,4.912920597417046,9825.841194834093,10472.005812887734,646.1646180536409
2021-12-09 00:00:00+00:00,2021-12-10 00:00:00+00:00,2021-12-17 00:00:00+00:00,4,4,-0.029117349754129537,0.3749999999999999,11.781006539498698,10472.005812887734,10155.307750467106,-316.69806242062805
2021-12-16 00:00:00+00:00,2021-12-17 00:00:00+00:00,2021-12-24 00:00:00+00:00,5,5,-0.07560884667343981,0.5,15.232961625700659,10155.307750467106,9372.243682214743,-783.0640682523626
2021-12-23 00:00:00+00:00,2021-12-24 00:00:00+00:00,2021-12-31 00:00:00+00:00,5,5,0.004533680929435678,0.0,0.0,9372.243682214743,9414.734444662823,42.490762448080204
2021-12-30 00:00:00+00:00,2021-12-31 00:00:00+00:00,2022-01-07 00:00:00+00:00,5,5,0.02195613012949621,0.3,8.47326100019654,9414.734444662823,9612.972318264294,198.2378736014707
2022-01-06 00:00:00+00:00,2022-01-07 00:00:00+00:00,2022-01-14 00:00:00+00:00,6,6,-0.004799017267134323,0.25,7.209729238698221,9612.972318264294,9559.629768881761,-53.342549382532525
2022-01-13 00:00:00+00:00,2022-01-14 00:00:00+00:00,2022-01-21 00:00:00+00:00,6,6,-0.001713054414801858,0.0,0.0,9559.629768881761,9543.253602902307,-16.376165979454527
2022-01-20 00:00:00+00:00,2022-01-21 00:00:00+00:00,2022-01-28 00:00:00+00:00,6,6,0.02939156038547462,0.0,0.0,9543.253602902307,9823.744717445908,280.4911145436017
2022-01-27 00:00:00+00:00,2022-01-28 00:00:00+00:00,2022-02-04 00:00:00+00:00,6,6,-0.0032190702089901057,0.08333333333333333,2.455936179361477,9823.744717445908,9789.665457305893,-34.07926014001532
2022-02-03 00:00:00+00:00,2022-02-04 00:00:00+00:00,2022-02-11 00:00:00+00:00,6,6,0.03586870069861259,0.08333333333333333,2.447416364326473,9789.665457305893,10138.360621169219,348.69516386332543
2022-02-10 00:00:00+00:00,2022-02-11 00:00:00+00:00,2022-02-18 00:00:00+00:00,6,6,0.021484534603089304,0.0,0.0,10138.360621169219,10356.178580753327,217.8179595841084
2022-02-17 00:00:00+00:00,2022-02-18 00:00:00+00:00,2022-02-25 00:00:00+00:00,6,6,-0.026647186274849643,0.08333333333333333,2.589044645188332,10356.178580753327,10077.626516371196,-278.552064382131
2022-02-24 00:00:00+00:00,2022-02-25 00:00:00+00:00,2022-03-04 00:00:00+00:00,6,6,0.06421044246416402,0.08333333333333333,2.519406629092799,10077.626516371196,10722.19596734689,644.569450975694
2022-03-03 00:00:00+00:00,2022-03-04 00:00:00+00:00,2022-03-11 00:00:00+00:00,6,6,0.03516325614568869,0.16666666666666666,5.361097983673445,10722.19596734689,11093.862192607305,371.66622526041465
2022-03-10 00:00:00+00:00,2022-03-11 00:00:00+00:00,2022-03-18 00:00:00+00:00,6,6,0.025351994701803965,0.08333333333333333,2.7734655481518264,11093.862192607305,11372.340262588676,278.47806998137094
2022-03-17 00:00:00+00:00,2022-03-18 00:00:00+00:00,2022-03-25 00:00:00+00:00,6,6,0.009554019179053349,0.16666666666666666,5.686170131294338,11372.340262588676,11475.305649436874,102.96538684819825
2022-03-24 00:00:00+00:00,2022-03-25 00:00:00+00:00,2022-04-01 00:00:00+00:00,6,6,0.04218025578788426,0.16666666666666666,5.737652824718436,11475.305649436874,11953.599324149556,478.29367471268233
2022-03-31 00:00:00+00:00,2022-04-01 00:00:00+00:00,2022-04-08 00:00:00+00:00,6,6,0.0016395652121398373,0.3333333333333333,11.953599324149556,11953.599324149556,11961.244430437142,7.645106287585804
2022-04-07 00:00:00+00:00,2022-04-08 00:00:00+00:00,2022-04-15 00:00:00+00:00,6,6,0.022676648538590385,0.08333333333333333,2.9903111076092856,11961.244430437142,12229.495055362726,268.2506249255839
2022-04-14 00:00:00+00:00,2022-04-15 00:00:00+00:00,2022-04-22 00:00:00+00:00,6,6,-0.022596862820230483,0.16666666666666666,6.114747527681363,12229.495055362726,11947.032085708326,-282.4629696543998
2022-04-21 00:00:00+00:00,2022-04-22 00:00:00+00:00,2022-04-29 00:00:00+00:00,6,6,-0.014030712745431705,0.16666666666666666,5.973516042854163,11947.032085708326,11773.433194310444,-173.59889139788174
2022-04-28 00:00:00+00:00,2022-04-29 00:00:00+00:00,2022-05-06 00:00:00+00:00,6,6,0.011645465632257386,0.08333333333333333,2.943358298577611,11773.433194310444,11907.596947649885,134.16375333944052
