partition,start,end,trade_count,net_return,mean_trade_return,asset,strategy
development_pre_2024,2021-01-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,1095,,,ETH,daily_eth_dca
validation_2024,2024-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00,366,0.76761709484307628,,ETH,daily_eth_dca
holdout_2025_onward,2025-01-01 00:00:00+00:00,2026-07-27 23:00:00+00:00,573,-0.25269793345506708,,ETH,daily_eth_dca
development_pre_2024,2021-01-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,156,,,ETH,weekly_eth_dca
validation_2024,2024-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00,53,0.7677075882345008,,ETH,weekly_eth_dca
holdout_2025_onward,2025-01-01 00:00:00+00:00,2026-07-27 23:00:00+00:00,82,-0.25106907606387874,,ETH,weekly_eth_dca
development_pre_2024,2021-01-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,43,,0.03492868770946804,ETH,btc_shock_alt_underreaction
validation_2024,2024-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00,10,0.42814609322319952,0.017889675164091779,ETH,btc_shock_alt_underreaction
holdout_2025_onward,2025-01-01 00:00:00+00:00,2026-07-27 23:00:00+00:00,1,0.23764213715725724,-0.052489934632327651,ETH,btc_shock_alt_underreaction
development_pre_2024,2021-01-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,1095,,,SOL,daily_sol_dca
validation_2024,2024-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00,366,0.95566390209830709,,SOL,daily_sol_dca
holdout_2025_onward,2025-01-01 00:00:00+00:00,2026-07-27 23:00:00+00:00,573,-0.57836101409638974,,SOL,daily_sol_dca
development_pre_2024,2021-01-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,156,,,SOL,weekly_sol_dca
validation_2024,2024-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00,53,0.95924992403660347,,SOL,weekly_sol_dca
holdout_2025_onward,2025-01-01 00:00:00+00:00,2026-07-27 23:00:00+00:00,82,-0.57679829113621728,,SOL,weekly_sol_dca
development_pre_2024,2021-01-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,54,,0.048455148395115853,SOL,btc_shock_alt_underreaction
validation_2024,2024-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00,10,0.36548061743204041,0.016299048583496123,SOL,btc_shock_alt_underreaction
holdout_2025_onward,2025-01-01 00:00:00+00:00,2026-07-27 23:00:00+00:00,2,-0.016325746634063387,-0.13518406055531479,SOL,btc_shock_alt_underreaction
development_pre_2024,2021-01-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,1095,,,XRP,daily_xrp_dca
validation_2024,2024-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00,366,3.3790563247675411,,XRP,daily_xrp_dca
holdout_2025_onward,2025-01-01 00:00:00+00:00,2026-07-27 23:00:00+00:00,573,-0.43779350479238099,,XRP,daily_xrp_dca
development_pre_2024,2021-01-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,156,,,XRP,weekly_xrp_dca
validation_2024,2024-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00,53,3.3787605116012207,,XRP,weekly_xrp_dca
holdout_2025_onward,2025-01-01 00:00:00+00:00,2026-07-27 23:00:00+00:00,82,-0.43730147382721707,,XRP,weekly_xrp_dca
development_pre_2024,2021-01-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,77,,0.021659026262487977,XRP,btc_shock_alt_underreaction
validation_2024,2024-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00,24,2.6643808749408633,0.051039794169336905,XRP,btc_shock_alt_underreaction
holdout_2025_onward,2025-01-01 00:00:00+00:00,2026-07-27 23:00:00+00:00,5,0.02561666743331581,-0.020189463001258613,XRP,btc_shock_alt_underreaction
