strategy,final_usd_value,final_cash_usd,final_btc,final_close,event_count,purchase_count,gross_spent_usd,total_costs_usd,unused_cash_usd,total_return_on_committed_capital,max_drawdown,threshold,window_hours,delay_hours,cooldown_hours,excess_btc_vs_daily,excess_btc_vs_weekly,check
drawdown_25pct_48h_delay1h,15338.174655136054,7399.2133726645561,0.12452127980818543,63755.860000000001,1,1,2600.786627335307,3.9011799410029604,7399.2133726645561,0.53381746551360543,0.33530612349081124,0.25,48,1,24,-0.11240512548923283,-0.11225261228003856,nearby_parameters
drawdown_25pct_48h_delay24h,15000.56569010961,7394.296951818932,0.11930305290040284,63755.860000000001,1,1,2605.7030481809315,3.9085545722713975,7394.296951818932,0.50005656901096107,0.3301996357611785,0.25,48,24,24,-0.11762335239701542,-0.11747083918782115,nearby_parameters
drawdown_25pct_72h_delay1h,16467.559538676549,6666.6666666665669,0.15372536535480791,63755.860000000001,4,4,3333.3333333333262,4.9999999999999893,6666.6666666665669,0.64675595386765483,0.37094191483180905,0.25,72,1,24,-0.083201039942610355,-0.083048526733416089,nearby_parameters
drawdown_25pct_72h_delay24h,15831.2060264395,6661.7502458209428,0.14382138019342153,63755.860000000001,4,4,3338.2497541789508,5.0073746312684255,6661.7502458209428,0.58312060264394994,0.36314158678974706,0.25,72,24,24,-0.093105025103996736,-0.09295251189480247,nearby_parameters
drawdown_25pct_96h_delay1h,16275.706451345101,6666.6666666665669,0.15071618177024879,63755.860000000001,5,5,3333.3333333333258,4.9999999999999893,6666.6666666665669,0.62757064513451,0.3683347709364565,0.25,96,1,24,-0.086210223527169477,-0.086057710317975211,nearby_parameters
drawdown_25pct_96h_delay24h,15963.782928518543,6661.7502458209428,0.14590082672710558,63755.860000000001,5,5,3338.2497541789503,5.0073746312684255,6661.7502458209428,0.5963782928518544,0.3646694820673364,0.25,96,24,24,-0.091025578570312682,-0.090873065361118416,nearby_parameters
drawdown_30pct_48h_delay1h,9999.9999999996999,9999.9999999996999,0,63755.860000000001,0,0,0,0,9999.9999999996999,-2.9976021664879227e-14,0,0.29999999999999999,48,1,24,-0.23692640529741826,-0.236773892088224,nearby_parameters
drawdown_30pct_48h_delay24h,9999.9999999996999,9999.9999999996999,0,63755.860000000001,0,0,0,0,9999.9999999996999,-2.9976021664879227e-14,0,0.29999999999999999,48,24,24,-0.23692640529741826,-0.236773892088224,nearby_parameters
drawdown_30pct_72h_delay1h,9999.9999999996999,9999.9999999996999,0,63755.860000000001,0,0,0,0,9999.9999999996999,-2.9976021664879227e-14,0,0.29999999999999999,72,1,24,-0.23692640529741826,-0.236773892088224,nearby_parameters
drawdown_30pct_72h_delay24h,9999.9999999996999,9999.9999999996999,0,63755.860000000001,0,0,0,0,9999.9999999996999,-2.9976021664879227e-14,0,0.29999999999999999,72,24,24,-0.23692640529741826,-0.236773892088224,nearby_parameters
drawdown_30pct_96h_delay1h,15359.230546361458,7389.3805309733079,0.12500576441739081,63755.860000000001,2,2,2610.6194690265556,3.9159292035398336,7389.3805309733079,0.53592305463614576,0.33592365594640006,0.29999999999999999,96,1,24,-0.11192064088002746,-0.11176812767083319,nearby_parameters
drawdown_30pct_96h_delay24h,15010.029832528195,7389.3805309733079,0.11952860962984245,63755.860000000001,2,2,2610.6194690265561,3.9159292035398341,7389.3805309733079,0.50100298325281956,0.33050770037349053,0.29999999999999999,96,24,24,-0.11739779566757581,-0.11724528245838155,nearby_parameters
drawdown_35pct_48h_delay1h,9999.9999999996999,9999.9999999996999,0,63755.860000000001,0,0,0,0,9999.9999999996999,-2.9976021664879227e-14,0,0.34999999999999998,48,1,24,-0.23692640529741826,-0.236773892088224,nearby_parameters
drawdown_35pct_48h_delay24h,9999.9999999996999,9999.9999999996999,0,63755.860000000001,0,0,0,0,9999.9999999996999,-2.9976021664879227e-14,0,0.34999999999999998,48,24,24,-0.23692640529741826,-0.236773892088224,nearby_parameters
drawdown_35pct_72h_delay1h,9999.9999999996999,9999.9999999996999,0,63755.860000000001,0,0,0,0,9999.9999999996999,-2.9976021664879227e-14,0,0.34999999999999998,72,1,24,-0.23692640529741826,-0.236773892088224,nearby_parameters
drawdown_35pct_72h_delay24h,9999.9999999996999,9999.9999999996999,0,63755.860000000001,0,0,0,0,9999.9999999996999,-2.9976021664879227e-14,0,0.34999999999999998,72,24,24,-0.23692640529741826,-0.236773892088224,nearby_parameters
drawdown_35pct_96h_delay1h,9999.9999999996999,9999.9999999996999,0,63755.860000000001,0,0,0,0,9999.9999999996999,-2.9976021664879227e-14,0,0.34999999999999998,96,1,24,-0.23692640529741826,-0.236773892088224,nearby_parameters
drawdown_35pct_96h_delay24h,9999.9999999996999,9999.9999999996999,0,63755.860000000001,0,0,0,0,9999.9999999996999,-2.9976021664879227e-14,0,0.34999999999999998,96,24,24,-0.23692640529741826,-0.236773892088224,nearby_parameters
drawdown_30pct_72h_doubled_cost,9999.9999999996999,9999.9999999996999,0,63755.860000000001,0,0,0,0,9999.9999999996999,-2.9976021664879227e-14,0,0.29999999999999999,72,1,24,-0.23692640529741826,-0.236773892088224,doubled_cost_primary
