strategy,final_usd_value,final_cash_usd,final_btc_units,final_btc_equivalent,final_btc_close,event_count,gross_spent_usd,total_costs_usd,unused_cash_usd,total_return_on_committed_capital,max_drawdown,avg_trade_return,win_rate,excess_btc_vs_daily,excess_btc_vs_weekly,check
btc_wick_w48_dd10_sf8_b3_h48,10389.642597382748,10389.642597382748,0,0.16295980632027782,63755.860000000001,7,20354.07716450814,61.062231493524408,10389.642597382748,0.038964259738274887,0.069944445717137649,0.022177761348114809,0.7142857142857143,0.017949932158024179,0.018467650440474687,nearby_parameters
btc_wick_w48_dd10_sf8_b3_h72,10846.028661572687,10846.028661572687,0,0.17011814539985323,63755.860000000001,6,19059.923136018242,57.179769408054725,10846.028661572687,0.084602866157268641,0.070057147361715533,0.048067152356510344,1,0.025108271237599594,0.025625989520050102,nearby_parameters
btc_wick_w48_dd10_sf8_b3_h96,10796.616325658028,10796.616325658028,0,0.16934312117596761,63755.860000000001,6,18289.031149449787,54.867093448349365,10796.616325658028,0.079661632565802831,0.085792780840345806,0.033453833645167054,0.66666666666666663,0.024333247013713977,0.024850965296164484,nearby_parameters
btc_wick_w48_dd10_sf8_b5_h48,10001.656238912965,10001.656238912965,0,0.15687430518407194,63755.860000000001,6,17351.786916153807,52.055360748461425,10001.656238912965,0.00016562389129659572,0.072406926846999009,-0.0012282125477365267,0.33333333333333331,0.011864431021818306,0.012382149304268814,nearby_parameters
btc_wick_w48_dd10_sf8_b5_h72,10233.767473392305,10233.767473392305,0,0.16051493107288184,63755.860000000001,5,15774.154077585015,47.322462232755043,10233.767473392305,0.023376747339230564,0.07248112991581146,0.011412283819707538,0.59999999999999998,0.015505056910628201,0.016022775193078709,nearby_parameters
btc_wick_w48_dd10_sf8_b5_h96,10333.682312712779,10333.682312712779,0,0.16208207861540538,63755.860000000001,5,15572.572221118844,46.717716663356541,10333.682312712779,0.033368231271277971,0.085298610556951315,0.0071551828575401547,0.59999999999999998,0.017072204453151746,0.017589922735602254,nearby_parameters
btc_wick_w48_dd10_sf10_b3_h48,10085.50110892068,10085.50110892068,0,0.15818939794586223,63755.860000000001,4,7204.4587907652385,21.613376372295715,10085.50110892068,0.0085501108920680302,0.074012355313470723,0.011846411831467119,0.75,0.013179523783608593,0.013697242066059101,nearby_parameters
btc_wick_w48_dd10_sf10_b3_h72,10190.279060138693,10190.279060138693,0,0.15983282258507206,63755.860000000001,4,7281.0617696227146,21.843185308868144,10190.279060138693,0.019027906013869389,0.096468256130046393,0.025427874342592499,0.75,0.014822948422818422,0.015340666705268929,nearby_parameters
btc_wick_w48_dd10_sf10_b3_h96,10224.632803759936,10224.632803759936,0,0.16037165530760522,63755.860000000001,4,7415.0270444182679,22.2450811332548,10224.632803759936,0.022463280375993655,0.096483989919953217,0.031280097060850914,0.5,0.015361781145351583,0.015879499427802091,nearby_parameters
btc_wick_w48_dd10_sf10_b5_h48,9942.5658166818375,9942.5658166818375,0,0.155947481795114,63755.860000000001,3,5088.96297084239,15.266888912527168,9942.5658166818375,-0.0057434183318162413,0.076709910479495158,-0.0095681078582810671,0.33333333333333331,0.010937607632860363,0.011455325915310871,nearby_parameters
btc_wick_w48_dd10_sf10_b5_h72,9932.5383136555647,9932.5383136555647,0,0.15579020208739344,63755.860000000001,3,5098.3556511862125,15.295066953558639,9932.5383136555647,-0.0067461686344435501,0.096287300439154122,-0.010695648767211519,0.33333333333333331,0.010780327925139804,0.011298046207590312,nearby_parameters
btc_wick_w48_dd10_sf10_b5_h96,9985.8263850885669,9985.8263850885669,0,0.15662601657461081,63755.860000000001,3,5243.1415415401852,15.729424624620556,9985.8263850885669,-0.0014173614911433541,0.096378211765175137,0.0022184362103498945,0.33333333333333331,0.011616142412357172,0.01213386069480768,nearby_parameters
btc_wick_w48_dd12_sf8_b3_h48,10242.169492751553,10242.169492751553,0,0.16064671534117103,63755.860000000001,3,5773.223676418148,17.319671029254444,10242.169492751553,0.024216949275155386,0.051731094997525151,0.045707545858541608,1,0.015636841178917393,0.016154559461367901,nearby_parameters
btc_wick_w48_dd12_sf8_b3_h72,10377.564209334676,10377.564209334676,0,0.16277035882403085,63755.860000000001,3,5873.3376771273997,17.6200130313822,10377.564209334676,0.037756420933467538,0.06751135767024885,0.06817991065471625,1,0.017760484661777209,0.018278202944227717,nearby_parameters
btc_wick_w48_dd12_sf8_b3_h96,10273.140808322432,10273.140808322432,0,0.16113249524549481,63755.860000000001,3,5748.3449309064854,17.245034792719458,10273.140808322432,0.027314080832243182,0.086430949181338312,0.05150108452108848,0.66666666666666663,0.016122621083241168,0.016640339365691675,nearby_parameters
