asset,partition,n_trades,strategy_final,bh_final,strategy_beats_bh
BTC,development,31,1.7584930208729495,2.8181937761980205,False
BTC,validation,29,0.5347095023284966,1.4582993764814989,False
BTC,test,24,0.8969746707470809,1.5010127078770379,False
ETH,development,31,1.0254550865593477,0.6505477031802119,True
ETH,validation,29,0.3272617446722764,3.1085182612012474,False
ETH,test,24,0.5861122050237405,0.8244485974794271,False
SOL,development,0,1.0,0.5106894799254617,True
SOL,validation,29,0.20644696291503842,65.87229633467167,False
SOL,test,24,0.8848194714078687,0.7277363672028248,True
XRP,development,28,1.2948934021919967,0.23790899241603466,True
XRP,validation,29,0.28154741527151134,2.777727641909575,False
XRP,test,24,0.8899555236664595,1.7301200908795846,False
