partition,start,end_exclusive,terminal_value,net_return,event_count,strategy
development_2023q4_2024q1,2023-12-18 00:00:00+00:00,2024-04-01 00:00:00+00:00,2861.0354223433178,,0,cash_reserve
validation_2024q2_pre_june,2024-04-01 00:00:00+00:00,2024-06-01 00:00:00+00:00,4523.1607629427735,0.58095238095238244,0,cash_reserve
holdout_2024june_onward,2024-06-01 00:00:00+00:00,,10000.000000000005,1.2108433734939799,0,cash_reserve
development_2023q4_2024q1,2023-12-18 00:00:00+00:00,2024-04-01 00:00:00+00:00,4078.3724750203155,,105,daily_btc_dca
validation_2024q2_pre_june,2024-04-01 00:00:00+00:00,2024-06-01 00:00:00+00:00,5578.6448422852427,0.37030491997464998,61,daily_btc_dca
holdout_2024june_onward,2024-06-01 00:00:00+00:00,,17123.401751087975,2.0642085380085264,201,daily_btc_dca
development_2023q4_2024q1,2023-12-18 00:00:00+00:00,2024-04-01 00:00:00+00:00,3832.7417052762571,,105,daily_eth_dca
validation_2024q2_pre_june,2024-04-01 00:00:00+00:00,2024-06-01 00:00:00+00:00,5875.5642499197857,0.54139868139385672,61,daily_eth_dca
holdout_2024june_onward,2024-06-01 00:00:00+00:00,,13301.609745416588,1.2627676905275407,201,daily_eth_dca
development_2023q4_2024q1,2023-12-18 00:00:00+00:00,2024-04-01 00:00:00+00:00,5161.0757261798617,,105,daily_sol_dca
validation_2024q2_pre_june,2024-04-01 00:00:00+00:00,2024-06-01 00:00:00+00:00,5982.9914135083363,0.16189279911595023,61,daily_sol_dca
holdout_2024june_onward,2024-06-01 00:00:00+00:00,,15184.819645365753,1.5209531222336281,201,daily_sol_dca
development_2023q4_2024q1,2023-12-18 00:00:00+00:00,2024-04-01 00:00:00+00:00,3115.8726665484414,,105,daily_xrp_dca
validation_2024q2_pre_june,2024-04-01 00:00:00+00:00,2024-06-01 00:00:00+00:00,4174.0400282454921,0.33557241912533287,61,daily_xrp_dca
holdout_2024june_onward,2024-06-01 00:00:00+00:00,,42097.100159227528,9.0640686553247178,201,daily_xrp_dca
development_2023q4_2024q1,2023-12-18 00:00:00+00:00,2024-04-01 00:00:00+00:00,2996.5467748330598,,3,always_long_equal_weight_schedule
validation_2024q2_pre_june,2024-04-01 00:00:00+00:00,2024-06-01 00:00:00+00:00,4653.1745234208056,0.55284561632782725,5,always_long_equal_weight_schedule
holdout_2024june_onward,2024-06-01 00:00:00+00:00,,9932.38957046822,1.1345405207725525,1,always_long_equal_weight_schedule
development_2023q4_2024q1,2023-12-18 00:00:00+00:00,2024-04-01 00:00:00+00:00,2922.5962215604968,,3,random_asset_schedule_baseline
validation_2024q2_pre_june,2024-04-01 00:00:00+00:00,2024-06-01 00:00:00+00:00,4547.7175029054415,0.55605398698463526,5,random_asset_schedule_baseline
holdout_2024june_onward,2024-06-01 00:00:00+00:00,,9789.8359869085161,1.1526921979331379,1,random_asset_schedule_baseline
development_2023q4_2024q1,2023-12-18 00:00:00+00:00,2024-04-01 00:00:00+00:00,2988.3302193669851,,3,fed_hawkish_btc_swing
validation_2024q2_pre_june,2024-04-01 00:00:00+00:00,2024-06-01 00:00:00+00:00,5051.0847059071402,0.69026992839402679,5,fed_hawkish_btc_swing
holdout_2024june_onward,2024-06-01 00:00:00+00:00,,10324.436561326907,1.0440038452043163,1,fed_hawkish_btc_swing
