delta_threshold,level_threshold,hold_hours,trade_count,terminal_value,net_return,avg_trade_return,win_rate
0.080000000000000002,0.34999999999999998,48,11,9880.8011904766299,-0.011919880952336981,0.0065353784918052082,0.45454545454545453
0.080000000000000002,0.34999999999999998,72,9,10068.079013956489,0.0068079013956487966,0.0095082487352991952,0.44444444444444442
0.080000000000000002,0.34999999999999998,96,8,9829.8125036478832,-0.017018749635211661,-0.0021112327142944198,0.375
0.080000000000000002,0.45000000000000001,48,19,9938.9744720822546,-0.0061025527917745181,0.00013663198608929901,0.52631578947368418
0.080000000000000002,0.45000000000000001,72,17,9788.4044473011854,-0.021159555269881447,-0.0036890018693095448,0.52941176470588236
0.080000000000000002,0.45000000000000001,96,15,9823.199314084759,-0.017680068591524156,-0.0028932401280904537,0.46666666666666667
0.12,0.34999999999999998,48,5,10401.185358718752,0.040118535871875194,0.034702475512679465,1
0.12,0.34999999999999998,72,5,10548.710228806865,0.054871022880686571,0.041486645743165851,0.80000000000000004
0.12,0.34999999999999998,96,5,10210.746607683135,0.021074660768313436,0.018464736535263215,0.80000000000000004
0.12,0.45000000000000001,48,9,10493.565965499547,0.049356596549954723,0.02220380672685518,0.88888888888888884
0.12,0.45000000000000001,72,9,10324.436561326907,0.032443656132690846,0.017388791396756149,0.77777777777777779
0.12,0.45000000000000001,96,8,10173.77858131633,0.017377858131633062,0.010126825239027012,0.75
0.14999999999999999,0.34999999999999998,48,5,10376.590873006444,0.037659087300644378,0.031164468428524383,1
0.14999999999999999,0.34999999999999998,72,5,10522.837376508653,0.052283737650865358,0.037911690732846413,0.80000000000000004
0.14999999999999999,0.34999999999999998,96,5,10195.928724224874,0.019592872422487417,0.016226837202200549,0.59999999999999998
0.14999999999999999,0.45000000000000001,48,8,10459.856836733894,0.045985683673389399,0.022256012867117148,0.875
0.14999999999999999,0.45000000000000001,72,8,10385.571268131076,0.038557126813107523,0.020591776145064231,0.75
0.14999999999999999,0.45000000000000001,96,8,10221.811773583653,0.022181177358365334,0.011222918545287536,0.625
