strategy,n_trades,final_capital,total_return,sharpe,sortino,max_drawdown,win_rate,profit_factor
Funding-carry L/S 8h rebalance,6102,26.825058140731137,-0.9973174941859269,-3.8662173018072,-5.144621834525118,-0.9979041098377649,0.40757128810226156,0.678233611452046
Random-ranking L/S control 8h rebalance,6102,0.013870473969962252,-0.999998612952603,-9.789063027945717,-11.57283922306726,-0.9999988535472112,0.2885939036381514,0.38496651721326186
Funding-carry L/S daily rebalance,2032,5066.581085552785,-0.4933418914447215,-0.11779924897963577,-0.25727591617425627,-0.8323550896090685,0.4670275590551181,0.9707799048667167
Random-ranking L/S control daily rebalance,2032,344.7328617834317,-0.9655267138216568,-1.2551939667723033,-2.609519959320081,-0.9832084529422456,0.3809055118110236,0.7233054812934302
Cash (0% exposure),0,10000.0,0.0,,,0.0,,
Equal-weight 10-asset buy-and-hold,1,95543.35845932912,8.554335845932911,0.902549748913235,,-0.8458183364082803,,
BTC buy-and-hold,1,21988.471857170494,1.1988471857170495,0.5347542540209791,,-0.7719848663243954,,
ETH buy-and-hold,1,25781.328756113173,1.5781328756113173,0.606305108013821,,-0.813430141271089,,
SOL buy-and-hold,1,480507.70625566633,47.050770625566635,1.1779966190955349,,-0.9679616158489398,,
XRP buy-and-hold,1,48104.86418193304,3.810486418193304,0.7768131960621419,,-0.8482792075426908,,
