asset,lookback_prints,entry_threshold,exit_threshold,n_trades,final_capital,total_return_pct
BTC,3,0.0002,5e-05,8,14386.27726,43.86277263
BTC,3,0.0003,0.0001,6,13804.15551,38.04155515
BTC,3,0.0005,0.0002,13,11841.95886,18.41958861
BTC,9,0.0003,0.0001,6,13391.1264,33.91126398
BTC,9,0.0005,0.0002,6,11942.32468,19.42324684
ETH,3,0.0002,5e-05,7,15468.33689,54.68336889
ETH,3,0.0003,0.0001,7,15085.4946,50.85494605
ETH,3,0.0005,0.0002,14,12444.94853,24.44948527
ETH,9,0.0003,0.0001,5,14403.64767,44.03647672
ETH,9,0.0005,0.0002,5,13087.89205,30.87892046
SOL,3,0.0002,5e-05,11,15001.67271,50.01672707
SOL,3,0.0003,0.0001,12,14500.47855,45.00478549
SOL,3,0.0005,0.0002,21,11854.79926,18.54799259
SOL,9,0.0003,0.0001,9,14270.09067,42.7009067
SOL,9,0.0005,0.0002,11,12194.13224,21.94132243
XRP,3,0.0002,5e-05,8,17295.57096,72.95570963
XRP,3,0.0003,0.0001,6,17075.62951,70.7562951
XRP,3,0.0005,0.0002,22,13677.35078,36.77350775
XRP,9,0.0003,0.0001,6,16684.2826,66.84282595
XRP,9,0.0005,0.0002,10,14373.20166,43.7320166
