strategy,asset,final_capital,total_return_pct,sharpe,sortino,max_drawdown_pct
cash,BTC,10000,0,0,0,0
timed_delta_neutral_carry,BTC,13804.15551,38.04155515,7.54947182,14.39688501,-0.5699755363
always_on_delta_neutral_carry,BTC,18239.01422,82.39014215,16.4846682,62.87057228,-0.4433568404
buy_and_hold,BTC,22009.81324,120.0981324,0.1890661168,0.2667110902,-77.19848663
daily_dca,BTC,15105.44673,51.05446726,,inf,-53.99541011
cash,ETH,10000,0,0,0,0
timed_delta_neutral_carry,ETH,15085.4946,50.85494605,8.084588443,17.54215939,-0.5616367948
always_on_delta_neutral_carry,ETH,19025.59626,90.25596262,13.5585171,38.23321529,-1.77734869
buy_and_hold,ETH,25660.56675,156.6056675,0.214363423,0.2996635803,-81.34301413
daily_dca,ETH,8602.237926,-13.97762074,,inf,-71.38036757
cash,SOL,10000,0,0,0,0
timed_delta_neutral_carry,SOL,14500.47855,45.00478549,6.677822345,11.62170376,-0.8550311402
always_on_delta_neutral_carry,SOL,10395.01423,3.950142251,0.2593457674,0.2700887485,-35.35589971
buy_and_hold,SOL,491044.9808,4810.449808,0.416488966,0.6143565145,-96.79616158
daily_dca,SOL,19664.58772,96.64587722,,inf,-95.16822344
cash,XRP,10000,0,0,0,0
timed_delta_neutral_carry,XRP,17075.62951,70.7562951,8.661540174,23.76017482,-0.5772129158
always_on_delta_neutral_carry,XRP,20643.01459,106.4301459,12.26677158,44.95260526,-2.464450303
buy_and_hold,XRP,48490.10364,384.9010364,0.2746477533,0.3984367282,-84.82792075
daily_dca,XRP,15583.78605,55.83786047,,inf,-70.3289429
