asset,divergence_threshold_bps,hold_prints,n_trades,final_capital,total_return_pct
BTC,2.5,1,300,1876.915392,-81.23084608
BTC,5,1,71,6865.663831,-31.34336169
BTC,10,1,5,9775.212446,-2.247875543
BTC,5,3,45,8166.551559,-18.33448441
BTC,10,3,3,9903.637481,-0.9636251927
ETH,2.5,1,339,1500.338893,-84.99661107
ETH,5,1,77,6615.7098,-33.842902
ETH,10,1,2,9902.122166,-0.9787783362
ETH,5,3,50,7926.398624,-20.73601376
ETH,10,3,2,9924.356941,-0.7564305905
SOL,2.5,1,488,678.5440991,-93.21455901
SOL,5,1,174,4005.269559,-59.94730441
SOL,10,1,25,8879.745472,-11.20254528
SOL,5,3,88,6872.46002,-31.2753998
SOL,10,3,17,9460.457205,-5.395427951
XRP,2.5,1,361,1330.912858,-86.69087142
XRP,5,1,90,6179.051314,-38.20948686
XRP,10,1,4,9818.7324,-1.812676005
XRP,5,3,53,7844.146234,-21.55853766
XRP,10,3,4,9861.587349,-1.384126509
