asset,bucket,horizon_hours,sample_count,avg_gross_return,avg_net_return,win_rate_gross,holdout_count_2025_onward,holdout_avg_gross_return
ALL,le_-5bps,8,281,0.0090719334260826057,0.0060719334260826057,0.54092526690391463,13,4.0217139566358983e-05
ALL,le_-5bps,16,281,0.0090314906912846004,0.0060314906912846003,0.5266903914590747,13,-0.0030310121378173726
ALL,le_-5bps,24,281,0.012096464240219911,0.0090964642402199102,0.5195729537366548,13,-0.0040425162085008749
ALL,-5_to_-1bps,8,1740,0.00099198004134677534,-0.002008019958653226,0.51321839080459775,583,0.0012145457964713559
ALL,-5_to_-1bps,16,1740,0.0021901487057701249,-0.00080985129422987689,0.50747126436781609,583,0.0018509258231140439
ALL,-5_to_-1bps,24,1740,0.0035943913718102429,0.00059439137181024069,0.5304597701149425,583,0.0019950585109512805
ALL,-1_to_+1bps,8,13486,0.00025051787362509237,-0.0027494821263749085,0.50548717188195169,5806,-0.00027007437780652741
ALL,-1_to_+1bps,16,13478,0.00068511151810493869,-0.0023148884818950622,0.50853242320819114,5798,-0.00020620148766404515
ALL,-1_to_+1bps,24,13478,0.0012592604772233337,-0.0017407395227766679,0.50608398872236238,5798,-0.00033387528251990132
ALL,+1_to_+5bps,8,12558,0.0012555930761936355,-0.0017444069238063654,0.50262780697563303,1698,-0.00057730850540077972
ALL,+1_to_+5bps,16,12557,0.0024287488342082729,-0.00057125116579172925,0.51214462053038146,1697,-0.0013141793631699789
ALL,+1_to_+5bps,24,12557,0.0031054033714409215,0.00010540337144091956,0.50075655013140086,1697,-0.0010019301207755606
ALL,ge_+5bps,8,1230,0.0035948793199007227,0.00059487931990072091,0.49918699186991872,0,
ALL,ge_+5bps,16,1230,0.0074991651923104414,0.0044991651923104387,0.48373983739837401,0,
ALL,ge_+5bps,24,1230,0.010034252948201422,0.0070342529482014188,0.49349593495934957,0,
BTC,le_-5bps,8,2,0.03011692275400335,0.027116922754003348,1,0,
BTC,le_-5bps,16,2,0.046088415768056112,0.04308841576805611,1,0,
BTC,le_-5bps,24,2,0.017801513464021035,0.014801513464021036,1,0,
BTC,-5_to_-1bps,8,26,0.0090791450749355389,0.006079145074935538,0.65384615384615385,4,0.0022392747734848173
BTC,-5_to_-1bps,16,26,0.014942769951401416,0.011942769951401413,0.73076923076923073,4,-0.00059968406967458865
BTC,-5_to_-1bps,24,26,0.018557738270531962,0.015557738270531961,0.61538461538461542,4,-0.0027470319889884853
BTC,-1_to_+1bps,8,1760,0.00074464182052684893,-0.0022553581794731519,0.5301136363636364,781,0.00054409989190153487
BTC,-1_to_+1bps,16,1759,0.001190426406299292,-0.0018095735937007087,0.5230244457077885,780,0.000504721805704332
BTC,-1_to_+1bps,24,1759,0.0019162098900385475,-0.0010837901099614534,0.53325753268902787,780,0.0007848428913493279
BTC,+1_to_+5bps,8,1359,-5.4812171214789291e-05,-0.0030548121712147898,0.50846210448859452,115,-0.0015146276661413458
BTC,+1_to_+5bps,16,1359,0.00082353712826646163,-0.0021764628717335396,0.52097130242825607,115,-0.0020196318569970103
BTC,+1_to_+5bps,24,1359,0.00079225527813176074,-0.0022077447218682407,0.51140544518027964,115,-0.0028522355172468524
BTC,ge_+5bps,8,105,0.00091993965833041637,-0.0020800603416695849,0.48571428571428571,0,
BTC,ge_+5bps,16,105,-0.00076917148687975735,-0.00376917148687976,0.47619047619047616,0,
BTC,ge_+5bps,24,105,-0.00096626239071878454,-0.0039662623907187871,0.46666666666666667,0,
ETH,le_-5bps,8,5,0.016995926730177625,0.013995926730177624,0.80000000000000004,0,
ETH,le_-5bps,16,5,0.024317653675808914,0.021317653675808911,1,0,
ETH,le_-5bps,24,5,0.022974111717368139,0.019974111717368136,0.59999999999999998,0,
ETH,-5_to_-1bps,8,61,0.0025662329710901088,-0.00043376702890989195,0.50819672131147542,18,0.005020768157146009
ETH,-5_to_-1bps,16,61,0.0039884835445206995,0.00098848354452069748,0.52459016393442626,18,0.0089447834031525231
ETH,-5_to_-1bps,24,61,0.004348712397389768,0.0013487123973897656,0.50819672131147542,18,0.0035899582247376337
ETH,-1_to_+1bps,8,1731,-0.00025706641991308561,-0.0032570664199130859,0.5060658578856152,755,-0.00023734314254795014
ETH,-1_to_+1bps,16,1730,0.00023549632380661541,-0.0027645036761933853,0.51618497109826589,754,-0.00016499880158149031
ETH,-1_to_+1bps,24,1730,0.00066748160211857097,-0.0023325183978814305,0.51676300578034684,754,-0.00028613853689681262
ETH,+1_to_+5bps,8,1334,0.00062363495421177901,-0.0023763650457882218,0.52473763118440775,127,-0.0022562879883178126
ETH,+1_to_+5bps,16,1334,0.0012400340364756067,-0.0017599659635243951,0.53373313343328332,127,-0.0045044971841403415
