signal_time,entry_time,exit_time,asset,funding_rate,mark_price,source_symbol
2021-01-02 00:00:00+00:00,2021-01-02 01:00:00+00:00,2021-01-03 01:00:00+00:00,SOL,-0.00120567,,SOLUSDT
2021-01-04 00:00:00+00:00,2021-01-04 01:00:00+00:00,2021-01-05 01:00:00+00:00,SOL,-0.0030277400000000001,,SOLUSDT
2021-01-06 16:00:00+00:00,2021-01-06 17:00:00+00:00,2021-01-07 17:00:00+00:00,SOL,-0.0074999999999999997,,SOLUSDT
2021-01-10 00:00:00+00:00,2021-01-10 01:00:00+00:00,2021-01-11 01:00:00+00:00,AVAX,-0.00053719,,AVAXUSDT
2021-01-12 08:00:00+00:00,2021-01-12 09:00:00+00:00,2021-01-13 09:00:00+00:00,AVAX,-0.00089521999999999996,,AVAXUSDT
2021-01-16 00:00:00+00:00,2021-01-16 01:00:00+00:00,2021-01-17 01:00:00+00:00,AVAX,-0.0016627300000000001,,AVAXUSDT
2021-01-18 00:00:00+00:00,2021-01-18 01:00:00+00:00,2021-01-19 01:00:00+00:00,AVAX,-0.00114982,,AVAXUSDT
2021-01-21 08:00:00+00:00,2021-01-21 09:00:00+00:00,2021-01-22 09:00:00+00:00,AVAX,-0.00095597,,AVAXUSDT
2021-01-26 08:00:00+00:00,2021-01-26 09:00:00+00:00,2021-01-27 09:00:00+00:00,AVAX,-0.0013145699999999999,,AVAXUSDT
2021-01-28 08:00:00+00:00,2021-01-28 09:00:00+00:00,2021-01-29 09:00:00+00:00,AVAX,-0.00064844999999999996,,AVAXUSDT
2021-01-30 08:00:00+00:00,2021-01-30 09:00:00+00:00,2021-01-31 09:00:00+00:00,AVAX,-0.0015415299999999999,,AVAXUSDT
2021-02-01 16:00:00+00:00,2021-02-01 17:00:00+00:00,2021-02-02 17:00:00+00:00,BNB,-0.0021050800000000001,,BNBUSDT
2021-02-06 16:00:00+00:00,2021-02-06 17:00:00+00:00,2021-02-07 17:00:00+00:00,AVAX,-0.00117315,,AVAXUSDT
2021-02-08 16:00:00+00:00,2021-02-08 17:00:00+00:00,2021-02-09 17:00:00+00:00,AVAX,-0.00057337000000000002,,AVAXUSDT
2021-02-11 08:00:00+00:00,2021-02-11 09:00:00+00:00,2021-02-12 09:00:00+00:00,AVAX,-0.00096752999999999997,,AVAXUSDT
2021-02-16 08:00:00+00:00,2021-02-16 09:00:00+00:00,2021-02-17 09:00:00+00:00,AVAX,-0.00084855,,AVAXUSDT
2021-02-22 16:00:00+00:00,2021-02-22 17:00:00+00:00,2021-02-23 17:00:00+00:00,AVAX,-0.0048519799999999997,,AVAXUSDT
2021-02-26 00:00:00+00:00,2021-02-26 01:00:00+00:00,2021-02-27 01:00:00+00:00,AVAX,-0.0013489699999999999,,AVAXUSDT
2021-02-28 16:00:00+00:00,2021-02-28 17:00:00+00:00,2021-03-01 17:00:00+00:00,AVAX,-0.00094722000000000003,,AVAXUSDT
2021-03-03 00:00:00+00:00,2021-03-03 01:00:00+00:00,2021-03-04 01:00:00+00:00,DOGE,-0.00095339000000000003,,DOGEUSDT
2021-05-20 08:00:00+00:00,2021-05-20 09:00:00+00:00,2021-05-21 09:00:00+00:00,AVAX,-0.0012082799999999999,,AVAXUSDT
2021-05-28 16:00:00+00:00,2021-05-28 17:00:00+00:00,2021-05-29 17:00:00+00:00,BNB,-0.00054460000000000001,,BNBUSDT
2021-05-31 08:00:00+00:00,2021-05-31 09:00:00+00:00,2021-06-01 09:00:00+00:00,BNB,-0.00066724000000000004,,BNBUSDT
2021-06-23 08:00:00+00:00,2021-06-23 09:00:00+00:00,2021-06-24 09:00:00+00:00,DOGE,-0.00052957000000000004,,DOGEUSDT
2021-07-13 00:00:00+00:00,2021-07-13 01:00:00+00:00,2021-07-14 01:00:00+00:00,BNB,-0.00109129,,BNBUSDT
2021-07-15 16:00:00+00:00,2021-07-15 17:00:00+00:00,2021-07-16 17:00:00+00:00,BNB,-0.00071657999999999997,,BNBUSDT
2021-07-18 00:00:00+00:00,2021-07-18 01:00:00+00:00,2021-07-19 01:00:00+00:00,BNB,-0.00075485999999999999,,BNBUSDT
2021-07-21 08:00:00+00:00,2021-07-21 09:00:00+00:00,2021-07-22 09:00:00+00:00,BNB,-0.00076601000000000002,,BNBUSDT
2021-07-23 08:00:00+00:00,2021-07-23 09:00:00+00:00,2021-07-24 09:00:00+00:00,BNB,-0.00060895000000000003,,BNBUSDT
2021-07-26 00:00:00+00:00,2021-07-26 01:00:00+00:00,2021-07-27 01:00:00+00:00,BTC,-0.00054841000000000004,,BTCUSDT
2021-09-30 00:00:00+00:00,2021-09-30 01:00:00+00:00,2021-10-01 01:00:00+00:00,BNB,-0.00100209,,BNBUSDT
2021-10-02 00:00:00+00:00,2021-10-02 01:00:00+00:00,2021-10-03 01:00:00+00:00,BNB,-0.0009866600000000001,,BNBUSDT
2021-10-04 16:00:00+00:00,2021-10-04 17:00:00+00:00,2021-10-05 17:00:00+00:00,BNB,-0.00051603,,BNBUSDT
