strategy,terminal_value,net_return,event_count,avg_trade_return,win_rate,verdict
cash_reserve,9999.9999999996999,-2.9976021664879227e-14,0,,,
daily_btc_dca,15105.446726445458,0.51054467264454573,2034,,,
daily_eth_dca,8602.237925662228,-0.13977620743377717,2034,,,
daily_sol_dca,19664.587722424145,0.9664587722424145,2034,,,
daily_xrp_dca,15583.786046902458,0.55837860469024592,2034,,,
daily_equal_weight_universe_dca,10757.068063016284,0.075706806301628404,2034,,,
weekly_equal_weight_universe_dca,10647.429851610284,0.064742985161028388,291,,,
always_long_equal_weight_schedule,8243.1187616501593,-0.17568812383498411,113,0.0066424578414043577,0.51327433628318586,
random_asset_schedule_baseline,7426.7438360852548,-0.25732561639147455,113,-0.00049904731128855024,0.53097345132743368,
negative_funding_rebound_panel,6747.3436726515647,-0.32526563273484355,113,0.0030777289858205477,0.45132743362831856,Rejected
