signal_time,entry_time,exit_time,asset,funding_rate,mark_price,source_symbol
2021-01-02 00:00:00+00:00,2021-01-02 01:00:00+00:00,2021-01-02 09:00:00+00:00,LINK,0.00057998999999999995,,LINKUSDT
2021-01-03 08:00:00+00:00,2021-01-03 09:00:00+00:00,2021-01-03 17:00:00+00:00,BNB,0.00137736,,BNBUSDT
2021-01-04 16:00:00+00:00,2021-01-04 17:00:00+00:00,2021-01-05 01:00:00+00:00,BNB,0.00112134,,BNBUSDT
2021-01-06 16:00:00+00:00,2021-01-06 17:00:00+00:00,2021-01-07 01:00:00+00:00,BNB,0.0028245700000000002,,BNBUSDT
2021-01-08 00:00:00+00:00,2021-01-08 01:00:00+00:00,2021-01-08 09:00:00+00:00,BTC,0.00213517,,BTCUSDT
2021-01-09 16:00:00+00:00,2021-01-09 17:00:00+00:00,2021-01-10 01:00:00+00:00,ADA,0.00158556,,ADAUSDT
2021-01-11 00:00:00+00:00,2021-01-11 01:00:00+00:00,2021-01-11 09:00:00+00:00,ETH,0.0017754699999999999,,ETHUSDT
2021-01-12 08:00:00+00:00,2021-01-12 09:00:00+00:00,2021-01-12 17:00:00+00:00,XRP,0.00090777000000000002,,XRPUSDT
2021-01-14 00:00:00+00:00,2021-01-14 01:00:00+00:00,2021-01-14 09:00:00+00:00,XRP,0.00096376000000000003,,XRPUSDT
2021-01-15 08:00:00+00:00,2021-01-15 09:00:00+00:00,2021-01-15 17:00:00+00:00,LINK,0.00100913,,LINKUSDT
2021-01-16 16:00:00+00:00,2021-01-16 17:00:00+00:00,2021-01-17 01:00:00+00:00,SOL,0.0019915100000000002,,SOLUSDT
2021-01-18 00:00:00+00:00,2021-01-18 01:00:00+00:00,2021-01-18 09:00:00+00:00,SOL,0.00122517,,SOLUSDT
2021-01-21 00:00:00+00:00,2021-01-21 01:00:00+00:00,2021-01-21 09:00:00+00:00,XRP,0.00087001000000000005,,XRPUSDT
2021-01-23 00:00:00+00:00,2021-01-23 01:00:00+00:00,2021-01-23 09:00:00+00:00,LINK,0.00072009999999999999,,LINKUSDT
2021-01-25 16:00:00+00:00,2021-01-25 17:00:00+00:00,2021-01-26 01:00:00+00:00,XRP,0.00098488000000000004,,XRPUSDT
2021-01-28 08:00:00+00:00,2021-01-28 09:00:00+00:00,2021-01-28 17:00:00+00:00,DOGE,0.00113171,,DOGEUSDT
