strategy,n_trades,final_capital,total_return,sharpe,max_drawdown,win_rate,top_trade_pct_of_pnl
"OI-growth L/S (long rising-OI tercile, short falling-OI tercile)",241,7045.291133394375,-0.29547088666056254,-0.28681492426817673,-0.4104427011407451,0.46473029045643155,0.45154758943741796
OI-growth L/S 1-bar delay,241,4885.435835472999,-0.5114564164527,-0.8124493636335277,-0.5610220847897605,0.47717842323651455,0.14516007294675198
OI-growth L/S 2x cost,241,4091.868669845848,-0.5908131330154152,-0.8817155921638379,-0.6097344470753528,0.43983402489626555,0.16378909218230284
Random-ranking L/S control (same leg sizes/turnover),243,2992.5512129021276,-0.7007448787097872,-1.0582850676258913,-0.7236102394457846,0.4732510288065844,0.19800316935903914
Equal-weight 10-asset buy-and-hold,1,4700.250555121189,-0.5299749444878812,0.07338638499154716,-0.7555715431166597,,
BTC buy-and-hold,1,11149.234393424604,0.1149234393424603,0.30190431345377,-0.7240264640134918,,
ETH buy-and-hold,1,4129.501740145541,-0.587049825985446,0.06963966657302186,-0.7828625666873956,,
SOL buy-and-hold,1,3228.754188242462,-0.6771245811757538,0.21582434761721983,-0.9587328767123287,,
XRP buy-and-hold,1,10769.77472471967,0.07697747247196696,0.4115768840850401,-0.7070470932852637,,
Cash,0,10000.0,0.0,,0.0,,
