asset,partition,n_trades,mean_trade_return_pct
BTC,development_pre_2024,12,16.353395820215308
BTC,validation_2024,5,18.86370793329844
BTC,test_2025_onward,4,5.120215512886345
ETH,development_pre_2024,12,4.128145378486283
ETH,validation_2024,2,23.872141564020943
ETH,test_2025_onward,2,10.802710181687402
SOL,development_pre_2024,9,40.84150216165422
SOL,validation_2024,3,26.760233989375603
SOL,test_2025_onward,1,-0.4871033085752874
XRP,development_pre_2024,6,11.20314243890051
XRP,validation_2024,1,106.11130682847315
XRP,test_2025_onward,1,5.977583610895665
