coin,regime,strategy,sharpe,max_drawdown,total_return,sharpe_rank
ADA,Bear Trend,dca,1.1035131377477623,0.545829250608542,2.7611899355756178,1.0
ADA,Bear Trend,breakout,0.9968224531767672,0.459556100174073,1.4966375085377708,2.0
ADA,Bear Trend,momentum,0.39994472866992187,0.1860000076821101,0.12538693751947827,3.0
ADA,Bear Trend,statistical_arbitrage,-0.13236093173521254,0.43261743272398956,-0.18504227209007895,4.0
ADA,Bear Trend,contrarian,-0.4049462668753262,0.31314951795328005,-0.25504559364029833,5.0
ADA,Bear Trend,mean_reversion,-0.48808801420798864,0.5887696420617246,-0.5839056662406601,6.0
ADA,Bear Trend,trend_following,-0.7250591655235297,0.9101052609243728,-0.8836048793499782,7.0
ADA,Bear Trend,grid,-1.8110191112980751,0.7688610142424566,-0.7510373138999464,8.0
ADA,Bear Trend,funding_arbitrage,-2.970623364574143,0.045184891458091125,-0.045184891458091125,9.0
ADA,Bull Trend,dca,0.6941591541415312,0.712172824079472,0.27086990192726845,1.0
ADA,Bull Trend,breakout,0.2525147703148169,0.5619767779731852,-0.06301811336614405,2.0
ADA,Bull Trend,momentum,0.22440732936656346,0.15070970598986555,0.02979596584717803,3.0
ADA,Bull Trend,trend_following,0.1302588834005731,0.7141388010988592,-0.15657448278317576,4.0
ADA,Bull Trend,contrarian,-0.34597409478345625,0.5643688158443875,-0.2892088016892709,5.0
ADA,Bull Trend,grid,-0.8998415360387545,0.5169997646551843,-0.4710906797926717,6.0
ADA,Bull Trend,statistical_arbitrage,-1.105332475448376,0.509534845192371,-0.45329193605981033,7.0
ADA,Bull Trend,mean_reversion,-2.2175516151683476,0.9036021946324533,-0.8324253275418259,8.0
ADA,Bull Trend,funding_arbitrage,-2.487163663128617,0.10012562459714691,-0.06849123792319778,9.0
ADA,Crash/Capitulation,mean_reversion,3.1096838297592786,0.3423119343411325,0.6779664690716221,1.0
ADA,Crash/Capitulation,momentum,2.3715880740048445,0.08652731700131666,0.1022027723737653,2.0
ADA,Crash/Capitulation,statistical_arbitrage,1.589105364451808,0.1751321248934663,0.10017239892386853,3.0
ADA,Crash/Capitulation,dca,1.5703696029373653,0.3344457678020303,0.21545313991943837,4.0
ADA,Crash/Capitulation,grid,0.5457165286905068,0.28825019567201793,0.015948804406013428,5.0
ADA,Crash/Capitulation,contrarian,-0.29930720977202213,0.21165554495618644,-0.07516458130828674,6.0
ADA,Crash/Capitulation,breakout,-1.4037599720440592,0.555150312358744,-0.2766523445845622,7.0
ADA,Crash/Capitulation,trend_following,-3.1028304836884617,0.6318994496009842,-0.5154439181023573,8.0
ADA,Crash/Capitulation,funding_arbitrage,-6.987519862530634,0.019113875344318854,-0.019113875344318854,9.0
ADA,High Vol Expansion,dca,3.488241710268188,0.3730440427932491,2.4847398033908723,1.0
ADA,High Vol Expansion,momentum,3.323186438959805,0.07167030365337512,0.26644454959494146,2.0
ADA,High Vol Expansion,grid,1.2992541418543377,0.25131946452783915,0.23977420712475062,3.0
ADA,High Vol Expansion,statistical_arbitrage,1.1082765408082362,0.23177779082556982,0.15571922975967678,4.0
ADA,High Vol Expansion,trend_following,0.046986857358573275,0.3852642641284021,-0.10293993809948143,5.0
ADA,High Vol Expansion,mean_reversion,-0.23592310358060092,0.4775754785103995,-0.15926276083640667,6.0
ADA,High Vol Expansion,contrarian,-2.162625528489632,0.6601091700361214,-0.5427091876637287,7.0
ADA,High Vol Expansion,breakout,-2.7371597911424588,0.6236988155613689,-0.5571159904003671,8.0
ADA,High Vol Expansion,funding_arbitrage,-5.503892120468203,0.06363769186569446,-0.06363769186569446,9.0
ADA,Range/Chop,trend_following,1.3132895507348816,0.5772461551920962,23.513653489960078,1.0
ADA,Range/Chop,breakout,0.49100949911837416,0.6922148675506434,0.7030741265358036,2.0
ADA,Range/Chop,momentum,0.445078873603116,0.3122992703395475,0.2732043462083926,3.0
ADA,Range/Chop,statistical_arbitrage,0.3402497158519227,0.5796614016310151,0.2882123128725067,4.0
ADA,Range/Chop,dca,-0.19119907296769983,0.9824876321680247,-0.8707101390982148,5.0
ADA,Range/Chop,mean_reversion,-1.3744798213812743,0.9802096506087121,-0.9747188211522597,6.0
ADA,Range/Chop,grid,-1.7739381363979059,0.8899733510900864,-0.8873382900193421,7.0
ADA,Range/Chop,funding_arbitrage,-3.279330483822164,0.2089162015424526,-0.2089162015424526,8.0
ADA,Range/Chop,contrarian,,0.0,0.0,
AVAX,Bear Trend,momentum,0.81951099713324,0.1384701838705371,0.2116550913757953,1.0
AVAX,Bear Trend,mean_reversion,0.5437935388217416,0.48419400474641505,0.26649299154138895,2.0
AVAX,Bear Trend,trend_following,0.2991767707898241,0.49921646139865294,-0.021294701647499692,3.0
AVAX,Bear Trend,contrarian,-0.14094023350497786,0.1431477982851329,-0.04212023387688857,4.0
AVAX,Bear Trend,statistical_arbitrage,-0.3231435211942705,0.4669486526483112,-0.27625408454384726,5.0
AVAX,Bear Trend,dca,-0.6187497856285807,0.8836638041924507,-0.7782883972135696,6.0
AVAX,Bear Trend,breakout,-0.6909713143787066,0.6528193579302841,-0.6205552083235766,7.0
AVAX,Bear Trend,grid,-1.090962947271835,0.44687935392499345,-0.402546650601863,8.0
AVAX,Bear Trend,funding_arbitrage,-4.108357051252199,0.07750477227720054,-0.07750477227720054,9.0
AVAX,Bull Trend,breakout,1.509670598863278,0.49932095817717514,0.8088165479511671,1.0
AVAX,Bull Trend,momentum,1.2537082724547999,0.13167739467278916,0.17415136647421137,2.0
AVAX,Bull Trend,dca,1.2352264221468314,0.523194985933989,0.6421446700876503,3.0
AVAX,Bull Trend,statistical_arbitrage,0.9816540424688295,0.35562192323483965,0.2689708976507901,4.0
AVAX,Bull Trend,grid,-1.6973840695942815,0.4934944337268923,-0.4444772143593618,5.0
AVAX,Bull Trend,mean_reversion,-1.7214597699068157,0.704479367025616,-0.6693408776370672,6.0
AVAX,Bull Trend,contrarian,-2.137986695849331,0.7146474745625739,-0.6739417426191527,7.0
AVAX,Bull Trend,funding_arbitrage,-3.1054041770504712,0.05226867288586834,-0.04134049488183289,8.0
AVAX,Bull Trend,trend_following,-3.969441601615863,0.7875862776088556,-0.7824917446267895,9.0
AVAX,Crash/Capitulation,contrarian,2.0827467365422545,0.02035256410256403,0.04501653873286893,1.0
AVAX,Crash/Capitulation,grid,1.8296882707282354,0.23934719115632208,0.1935299192943425,2.0
AVAX,Crash/Capitulation,mean_reversion,1.4984732564724095,0.3744793064704963,0.13094195942195075,3.0
AVAX,Crash/Capitulation,momentum,1.319011185986077,0.05086227195891779,0.03782560938567614,4.0
AVAX,Crash/Capitulation,funding_arbitrage,0.9940681612581943,0.00793716028100988,0.003010664090915327,5.0
AVAX,Crash/Capitulation,dca,-0.9386411146720018,0.34320056122847453,-0.2751619311826794,6.0
AVAX,Crash/Capitulation,statistical_arbitrage,-1.0492459454266392,0.2884065148083117,-0.1150781848029665,7.0
AVAX,Crash/Capitulation,breakout,-3.2287376327674924,0.4692516137670495,-0.39975924059262924,8.0
AVAX,Crash/Capitulation,trend_following,-6.609489841011075,0.517380210687703,-0.5205038010969186,9.0
AVAX,High Vol Expansion,momentum,4.077752755543891,0.12086701423106161,0.6083281620347041,1.0
AVAX,High Vol Expansion,dca,3.590182384012531,0.4496531419842892,3.6371091813397065,2.0
AVAX,High Vol Expansion,trend_following,1.0502184104507646,0.18383478260869557,0.1591261169790772,3.0
AVAX,High Vol Expansion,breakout,0.11693800690501506,0.5580885585634421,-0.1784911816756357,4.0
AVAX,High Vol Expansion,grid,0.021288187589833873,0.5536901607214929,-0.1896542218893017,5.0
AVAX,High Vol Expansion,statistical_arbitrage,-0.7732063251705056,0.45264896268923005,-0.27316983894166114,6.0
AVAX,High Vol Expansion,funding_arbitrage,-1.5948852332870032,0.04032532424648705,-0.0242333485418188,7.0
AVAX,High Vol Expansion,mean_reversion,-1.6670910359179043,0.8086817736674087,-0.6520128894655295,8.0
AVAX,High Vol Expansion,contrarian,-2.9740656350774355,0.8824520537880819,-0.8889631390535401,9.0
AVAX,Range/Chop,statistical_arbitrage,0.6479497335492783,0.47803752054005855,0.6954633061778801,1.0
AVAX,Range/Chop,breakout,0.5634506797194037,0.4730517797089878,0.6474146740105748,2.0
AVAX,Range/Chop,trend_following,0.3206443005691027,0.7303706244493249,-0.2630957173870583,3.0
AVAX,Range/Chop,dca,0.11159175956277007,0.8215013949798364,-0.5905606569053024,4.0
AVAX,Range/Chop,mean_reversion,-0.6831179622941675,0.8634227809138764,-0.7694979273124646,5.0
AVAX,Range/Chop,momentum,-0.9570770464930398,0.4310404960215434,-0.4106333020020243,6.0
AVAX,Range/Chop,grid,-1.348146795868494,0.83697758879669,-0.8162665817287127,7.0
AVAX,Range/Chop,funding_arbitrage,-1.745935783222409,0.14356274258343793,-0.10851634207268468,8.0
AVAX,Range/Chop,contrarian,,0.0,0.0,
BNB,Bear Trend,breakout,0.6782669034203619,0.31719585473999234,0.40924472392988487,1.0
BNB,Bear Trend,momentum,0.5438731048938324,0.1295428162965392,0.11729442186768013,2.0
BNB,Bear Trend,contrarian,0.3931460225699693,0.14840705432417,0.10794632478419142,3.0
BNB,Bear Trend,dca,0.2511094982824559,0.6924806133021286,-0.2564520556062868,4.0
BNB,Bear Trend,trend_following,-0.11139371466085052,0.5410815797387949,-0.3765424540516238,5.0
BNB,Bear Trend,statistical_arbitrage,-0.9184986606153437,0.4562100249714839,-0.44077300804787745,6.0
BNB,Bear Trend,mean_reversion,-1.1020366037877845,0.7355252957973197,-0.6773727322392571,7.0
BNB,Bear Trend,grid,-1.673741592479201,0.657678394242063,-0.6556045533600432,8.0
BNB,Bear Trend,funding_arbitrage,-5.9859593253756715,0.13613061678170546,-0.13613061678170546,9.0
BNB,Bull Trend,dca,2.2909097329454826,0.4487223165575689,12.444238514527301,1.0
BNB,Bull Trend,trend_following,2.240885910342192,0.30518046960322476,6.38426886338276,2.0
BNB,Bull Trend,momentum,0.7538848399051677,0.17786681750854738,0.17944069776241278,3.0
BNB,Bull Trend,contrarian,0.7014693248745976,0.16850852168824515,0.23341989068779978,4.0
BNB,Bull Trend,breakout,0.213742821872145,0.5585124396743608,-0.02273309986919103,5.0
BNB,Bull Trend,statistical_arbitrage,0.010189505109886325,0.5190387287729338,-0.08730094479271155,6.0
BNB,Bull Trend,grid,-1.0925678004184118,0.3530084584374966,-0.33419091596543116,7.0
BNB,Bull Trend,mean_reversion,-1.1546704935824517,0.704209264155659,-0.6383294914435764,8.0
