strategy,final_equity,invested_total,net_return,trade_count,win_rate,mean_trade_pnl,total_pnl,top_trade_pnl_share,asset
quarterly_basis_carry,10067.19645,10000,0.006719644677,5,1,13.43928935,67.19644677,0.4200119987,BTC
quarterly_basis_carry_doubled_cost,10042.05046,10000,0.004205045964,5,0.8,8.410091928,42.05045964,0.4237612298,BTC
quarterly_basis_carry_zero_cost,10092.63252,10000,0.009263252226,5,1,18.52650445,92.63252226,0.4189313838,BTC
quarterly_basis_carry_no_best_trade,10038.97313,10000,0.003897313286,4,1,9.743283214,38.97313286,0.4684999277,BTC
cash,10000,10000,0,0,,,,,BTC
dca_spot_close,15043.1264,10000,0.5043126397,2001,,,,,BTC
dca_spot_open,15047.11492,10000,0.5047114915,2001,,,,,BTC
quarterly_basis_carry,10049.40535,10000,0.004940535022,7,0.7142857143,7.057907174,49.40535022,0.602221571,ETH
quarterly_basis_carry_doubled_cost,9980.451366,10000,-0.00195486339,7,0.7142857143,-2.792661986,-19.5486339,-0.9884188294,ETH
quarterly_basis_carry_zero_cost,10119.49258,10000,0.01194925841,7,1,17.07036916,119.4925841,0.3377553087,ETH
quarterly_basis_carry_no_best_trade,10019.86823,10000,0.001986822974,6,0.6666666667,3.311371623,19.86822974,0.9834225852,ETH
cash,10000,10000,0,0,,,,,ETH
dca_spot_close,8469.97458,10000,-0.153002542,2000,,,,,ETH
dca_spot_open,8470.667011,10000,-0.1529332989,2000,,,,,ETH
