date,from,to,z
2018-03-04 00:00:00+00:00,BTC,ALT,-1.211777199236153
2018-05-02 00:00:00+00:00,ALT,BTC,1.0511293730247742
2018-06-25 00:00:00+00:00,BTC,ALT,-1.3403040718300807
2018-12-24 00:00:00+00:00,ALT,BTC,1.2971413236101814
2019-04-04 00:00:00+00:00,BTC,ALT,-1.2523213740676868
2019-09-19 00:00:00+00:00,ALT,BTC,1.011372692248083
2019-11-25 00:00:00+00:00,BTC,ALT,-1.0663852427888567
2020-02-03 00:00:00+00:00,ALT,BTC,1.5671082191494208
2020-03-25 00:00:00+00:00,BTC,ALT,-1.101314580736707
2020-04-23 00:00:00+00:00,ALT,BTC,1.0185062923983468
2020-05-08 00:00:00+00:00,BTC,ALT,-1.0211391050784588
2020-05-31 00:00:00+00:00,ALT,BTC,1.3793849795500255
2020-09-24 00:00:00+00:00,BTC,ALT,-1.3448711614708118
2020-11-24 00:00:00+00:00,ALT,BTC,1.0899248237457877
2020-12-18 00:00:00+00:00,BTC,ALT,-1.0675881358211272
2021-01-05 00:00:00+00:00,ALT,BTC,1.567739304986374
2021-03-03 00:00:00+00:00,BTC,ALT,-1.1565790860102199
2021-04-12 00:00:00+00:00,ALT,BTC,1.093619003436768
2021-06-26 00:00:00+00:00,BTC,ALT,-1.0479193785050105
2021-08-05 00:00:00+00:00,ALT,BTC,1.3375961418446125
2021-10-07 00:00:00+00:00,BTC,ALT,-1.70888918136443
2021-11-04 00:00:00+00:00,ALT,BTC,1.073197941271912
2022-01-09 00:00:00+00:00,BTC,ALT,-1.0290722879922065
2022-03-30 00:00:00+00:00,ALT,BTC,1.1540507972787235
2022-05-13 00:00:00+00:00,BTC,ALT,-2.1290467937690365
2022-07-17 00:00:00+00:00,ALT,BTC,1.2954569559848934
2022-09-19 00:00:00+00:00,BTC,ALT,-1.6369855481446733
2022-10-30 00:00:00+00:00,ALT,BTC,1.0739744592223341
2022-12-17 00:00:00+00:00,BTC,ALT,-1.1804337940742835
2023-01-05 00:00:00+00:00,ALT,BTC,1.0262083380827214
2023-01-22 00:00:00+00:00,BTC,ALT,-1.3523379912885012
2023-04-18 00:00:00+00:00,ALT,BTC,1.1567936051806782
2023-05-01 00:00:00+00:00,BTC,ALT,-1.0154830913966442
2023-05-24 00:00:00+00:00,ALT,BTC,1.06666607385352
2023-06-15 00:00:00+00:00,BTC,ALT,-1.141738390086152
2023-08-19 00:00:00+00:00,ALT,BTC,1.2003470383856394
2023-09-11 00:00:00+00:00,BTC,ALT,-1.4150730064361994
2023-12-29 00:00:00+00:00,ALT,BTC,1.010234387463213
2024-01-03 00:00:00+00:00,BTC,ALT,-1.0415990514855056
2024-01-11 00:00:00+00:00,ALT,BTC,1.307724655231714
2024-03-18 00:00:00+00:00,BTC,ALT,-1.0282680074388728
2024-05-21 00:00:00+00:00,ALT,BTC,1.2533846902516326
2024-07-20 00:00:00+00:00,BTC,ALT,-1.3468398350463238
2024-11-10 00:00:00+00:00,ALT,BTC,1.1132870628488254
2024-11-13 00:00:00+00:00,BTC,ALT,-1.0853128036942497
2024-12-07 00:00:00+00:00,ALT,BTC,1.4305113536272915
2024-12-20 00:00:00+00:00,BTC,ALT,-1.0029649256297486
2025-05-10 00:00:00+00:00,ALT,BTC,1.035016931734619
2025-10-08 00:00:00+00:00,BTC,ALT,-1.0764478946621072
2025-12-10 00:00:00+00:00,ALT,BTC,1.158490372244354
2026-01-23 00:00:00+00:00,BTC,ALT,-1.4391983618836874
2026-04-01 00:00:00+00:00,ALT,BTC,1.7146034573443854
2026-05-02 00:00:00+00:00,BTC,ALT,-1.2857654689593692
2026-07-05 00:00:00+00:00,ALT,BTC,1.101012232755706
