date,from,to,z
2020-10-03 00:00:00+00:00,BTC,ALT,-1.343009505868766
2021-01-24 00:00:00+00:00,ALT,BTC,1.1817010340048388
2021-07-17 00:00:00+00:00,BTC,ALT,-1.1690812055736173
2021-08-16 00:00:00+00:00,ALT,BTC,2.416364167506042
2022-01-07 00:00:00+00:00,BTC,ALT,-1.2811370508323794
2022-03-31 00:00:00+00:00,ALT,BTC,1.2857218326872484
2022-05-10 00:00:00+00:00,BTC,ALT,-1.5698853131450448
2022-07-17 00:00:00+00:00,ALT,BTC,1.1670601987954343
2022-08-19 00:00:00+00:00,BTC,ALT,-1.158828708023267
2022-11-06 00:00:00+00:00,ALT,BTC,1.274380794424992
2022-11-08 00:00:00+00:00,BTC,ALT,-2.224666758820393
2023-01-10 00:00:00+00:00,ALT,BTC,1.8660352520858667
2023-03-08 00:00:00+00:00,BTC,ALT,-1.1757599126566374
2023-06-05 00:00:00+00:00,ALT,BTC,1.3702290733323104
2023-06-08 00:00:00+00:00,BTC,ALT,-2.2020147787907427
2023-07-14 00:00:00+00:00,ALT,BTC,1.6542459789668347
2023-09-05 00:00:00+00:00,BTC,ALT,-1.0503903644502497
2023-10-02 00:00:00+00:00,ALT,BTC,1.8016100642626685
2024-02-18 00:00:00+00:00,BTC,ALT,-1.1508076033433212
2024-03-15 00:00:00+00:00,ALT,BTC,2.2905475488834126
2024-05-01 00:00:00+00:00,BTC,ALT,-1.1924649984374762
2024-07-20 00:00:00+00:00,ALT,BTC,1.3349624507264293
2024-08-30 00:00:00+00:00,BTC,ALT,-1.0887364094676952
2024-10-21 00:00:00+00:00,ALT,BTC,1.32082110010237
2024-12-05 00:00:00+00:00,BTC,ALT,-1.1110924633974586
2025-01-19 00:00:00+00:00,ALT,BTC,1.3767960480523826
2025-02-07 00:00:00+00:00,BTC,ALT,-1.1231712894584736
2025-05-10 00:00:00+00:00,ALT,BTC,1.9861037283464493
2025-06-04 00:00:00+00:00,BTC,ALT,-1.0967529529345932
2025-07-21 00:00:00+00:00,ALT,BTC,1.2638547832586013
2025-10-11 00:00:00+00:00,BTC,ALT,-1.202767774766805
2026-01-12 00:00:00+00:00,ALT,BTC,1.2900598480491894
2026-01-21 00:00:00+00:00,BTC,ALT,-1.1090051132044274
2026-06-21 00:00:00+00:00,ALT,BTC,1.0634144463089241
