date,from,to,z
2018-06-19 00:00:00+00:00,BTC,ALT,-1.1270197143771092
2018-09-21 00:00:00+00:00,ALT,BTC,2.7637340522289136
2019-01-24 00:00:00+00:00,BTC,ALT,-1.0291039529026471
2019-09-19 00:00:00+00:00,ALT,BTC,1.3242082272001077
2019-11-28 00:00:00+00:00,BTC,ALT,-1.3303573177695789
2020-02-05 00:00:00+00:00,ALT,BTC,1.191220474975153
2020-03-09 00:00:00+00:00,BTC,ALT,-1.3960141882954962
2020-04-29 00:00:00+00:00,ALT,BTC,1.0201972313936882
2020-05-01 00:00:00+00:00,BTC,ALT,-2.1508864516297113
2020-07-09 00:00:00+00:00,ALT,BTC,1.2192223290405435
2020-09-22 00:00:00+00:00,BTC,ALT,-1.2590171584702359
2020-11-22 00:00:00+00:00,ALT,BTC,1.7145582113273354
2020-12-24 00:00:00+00:00,BTC,ALT,-2.315342658298727
2021-04-06 00:00:00+00:00,ALT,BTC,3.3462529671091152
2021-06-11 00:00:00+00:00,BTC,ALT,-1.048519666216872
2021-08-12 00:00:00+00:00,ALT,BTC,2.1146267658562112
2021-10-07 00:00:00+00:00,BTC,ALT,-1.8933888728496
2021-12-21 00:00:00+00:00,ALT,BTC,1.188634753604606
2022-01-25 00:00:00+00:00,BTC,ALT,-1.3775829895121703
2022-02-08 00:00:00+00:00,ALT,BTC,1.5678653279735981
2022-04-05 00:00:00+00:00,BTC,ALT,-1.0455691729565841
2022-06-23 00:00:00+00:00,ALT,BTC,1.0462728378182697
2022-08-13 00:00:00+00:00,BTC,ALT,-1.100198814201625
2022-08-27 00:00:00+00:00,ALT,BTC,2.2536417338166794
2022-11-14 00:00:00+00:00,BTC,ALT,-1.1044504469984135
2023-03-29 00:00:00+00:00,ALT,BTC,1.8764617779645907
2023-06-25 00:00:00+00:00,BTC,ALT,-1.0135559381047325
2023-07-14 00:00:00+00:00,ALT,BTC,3.7962880819309883
2023-09-11 00:00:00+00:00,BTC,ALT,-1.1816462787696387
2023-11-07 00:00:00+00:00,ALT,BTC,1.9496173314132383
2023-11-17 00:00:00+00:00,BTC,ALT,-1.1136056700022463
2024-07-12 00:00:00+00:00,ALT,BTC,1.0377293879062848
2024-09-27 00:00:00+00:00,BTC,ALT,-1.5308820152802325
2024-11-16 00:00:00+00:00,ALT,BTC,1.7117427111051469
2025-04-01 00:00:00+00:00,BTC,ALT,-1.1631469299217305
2025-07-12 00:00:00+00:00,ALT,BTC,2.012475236776119
2025-09-23 00:00:00+00:00,BTC,ALT,-1.4019532254995637
2025-11-25 00:00:00+00:00,ALT,BTC,1.8106119773331455
2025-12-12 00:00:00+00:00,BTC,ALT,-1.1636497270976165
2026-01-06 00:00:00+00:00,ALT,BTC,2.022050294347451
2026-01-19 00:00:00+00:00,BTC,ALT,-1.1841134408783576
2026-06-04 00:00:00+00:00,ALT,BTC,1.0508546354039188
2026-06-25 00:00:00+00:00,BTC,ALT,-1.1170214367855467
2026-07-05 00:00:00+00:00,ALT,BTC,1.261890383327265
2026-07-08 00:00:00+00:00,BTC,ALT,-1.17268481072008
