partition,start,end_exclusive,terminal_value,net_return,event_count,strategy
development_2025q4,2025-09-30 00:00:00+00:00,2026-01-01 00:00:00+00:00,3089.7009966777441,,0,cash_reserve
validation_2026q1,2026-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,6079.7342192690949,0.96774193548386633,0,cash_reserve
holdout_2026q2_onward,2026-04-01 00:00:00+00:00,,9999.99999999996,0.64480874316939452,0,cash_reserve
development_2025q4,2025-09-30 00:00:00+00:00,2026-01-01 00:00:00+00:00,2735.9220593398049,,93,daily_btc_dca
validation_2026q1,2026-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,4836.9384578808103,0.76469547661858428,90,daily_btc_dca
holdout_2026q2_onward,2026-04-01 00:00:00+00:00,,8122.1994209854302,0.67806548795689037,118,daily_btc_dca
development_2025q4,2025-09-30 00:00:00+00:00,2026-01-01 00:00:00+00:00,2704.5328800132984,,93,daily_eth_dca
validation_2026q1,2026-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,4629.6997073715756,0.70713622959908951,90,daily_eth_dca
holdout_2026q2_onward,2026-04-01 00:00:00+00:00,,7936.9919450666875,0.70683307933718043,118,daily_eth_dca
development_2025q4,2025-09-30 00:00:00+00:00,2026-01-01 00:00:00+00:00,2489.5033201210967,,93,daily_sol_dca
validation_2026q1,2026-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,4189.0747113102425,0.67597225607255318,90,daily_sol_dca
holdout_2026q2_onward,2026-04-01 00:00:00+00:00,,7408.1007255059203,0.76419281231602376,118,daily_sol_dca
development_2025q4,2025-09-30 00:00:00+00:00,2026-01-01 00:00:00+00:00,2530.536761295079,,93,daily_xrp_dca
validation_2026q1,2026-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,4388.8220332891524,0.7312432392606194,90,daily_xrp_dca
holdout_2026q2_onward,2026-04-01 00:00:00+00:00,,6849.1449196168332,0.55583196074832086,118,daily_xrp_dca
development_2025q4,2025-09-30 00:00:00+00:00,2026-01-01 00:00:00+00:00,2872.4045736132948,,10,always_long_equal_weight_schedule
validation_2026q1,2026-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,6095.2476506020921,1.1220017913196241,2,always_long_equal_weight_schedule
holdout_2026q2_onward,2026-04-01 00:00:00+00:00,,10203.575769163468,0.67402152530349646,3,always_long_equal_weight_schedule
development_2025q4,2025-09-30 00:00:00+00:00,2026-01-01 00:00:00+00:00,2832.8342858334659,,10,random_asset_schedule_baseline
validation_2026q1,2026-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,6034.735728951995,1.1302819438223786,2,random_asset_schedule_baseline
holdout_2026q2_onward,2026-04-01 00:00:00+00:00,,10275.759670257459,0.70276879250219793,3,random_asset_schedule_baseline
development_2025q4,2025-09-30 00:00:00+00:00,2026-01-01 00:00:00+00:00,2893.2300985375541,,10,recession_relief_btc_swing
validation_2026q1,2026-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,6098.832159743697,1.1079665121783724,2,recession_relief_btc_swing
holdout_2026q2_onward,2026-04-01 00:00:00+00:00,,10215.68974469704,0.67502391886225532,3,recession_relief_btc_swing
