asset,partition,n_blocks,strategy_final,bh_final,strategy_beats_bh
BTC,development,186,4.676242016568117,3.0692557100227904,True
BTC,validation,120,0.7168896932815367,1.9854246577508254,False
BTC,test,86,0.6133148177733293,0.7192025448067124,False
ETH,development,194,1.9233010488969164,2.28362286562732,False
ETH,validation,102,0.9000834045252186,1.0669095516124925,False
ETH,test,82,0.4406216601149261,0.5613167674598631,False
SOL,development,131,3.079711079507288,7.370154168537645,False
SOL,validation,77,1.289519954039534,6.847684809098294,False
SOL,test,54,0.6702525430464598,0.427591770875353,True
XRP,development,178,2.939064927053321,0.5002353870218227,True
XRP,validation,118,1.1714704134359664,6.9643189574930195,False
XRP,test,72,0.4342833043670127,0.439501999422847,False
