entry_time,exit_time,side,entry_price,exit_price,return,pnl,fees_paid,entry_regime,bars
2018-04-21 00:00:00+00:00,2018-04-23 20:00:00+00:00,long,0.30161,0.28253,-0.06468746921,-646.8746921,15,Range/Chop,17
2018-04-28 16:00:00+00:00,2018-04-30 04:00:00+00:00,long,0.345,0.341,-0.01303180829,-130.3180829,15,Range/Chop,9
2018-05-07 04:00:00+00:00,2018-05-07 08:00:00+00:00,short,0.32488,0.32287,0.004686899778,46.86899778,15,Range/Chop,1
2018-05-11 04:00:00+00:00,2018-05-13 16:00:00+00:00,short,0.28644,0.27826,0.003619728541,36.19728541,15,Range/Chop,15
2018-05-18 04:00:00+00:00,2018-05-20 12:00:00+00:00,short,0.23546,0.24599,-0.04699356509,-469.9356509,15,Range/Chop,14
2018-05-20 20:00:00+00:00,2018-05-22 04:00:00+00:00,long,0.2574,0.24181,-0.06198650545,-619.8650545,15,Range/Chop,8
2018-05-23 00:00:00+00:00,2018-05-29 08:00:00+00:00,short,0.22,0.18802,0.1396020184,1396.020184,15,Range/Chop,38
2018-05-29 20:00:00+00:00,2018-06-04 08:00:00+00:00,long,0.20423,0.2161,0.0565141344,565.141344,15,Range/Chop,33
2018-06-10 04:00:00+00:00,2018-06-12 00:00:00+00:00,short,0.18875,0.1791,0.03809028958,380.9028958,15,Bear Trend,11
2018-06-22 16:00:00+00:00,2018-06-24 20:00:00+00:00,short,0.14001,0.13276,0.03064073205,306.4073205,15,Bear Trend,13
2018-06-29 00:00:00+00:00,2018-06-30 00:00:00+00:00,short,0.11818,0.12541,-0.06509443589,-650.9443589,15,Bear Trend,6
2018-07-02 16:00:00+00:00,2018-07-04 08:00:00+00:00,long,0.15218,0.14843,-0.02605972156,-260.5972156,15,Bear Trend,9
2018-07-10 12:00:00+00:00,2018-07-14 00:00:00+00:00,short,0.1289,0.13735,-0.07529790288,-752.9790288,30,Bear Trend,21
2018-07-14 00:00:00+00:00,2018-07-19 00:00:00+00:00,long,0.13735,0.18061,0.3109347977,3109.347977,15,Bear Trend,30
2018-07-30 20:00:00+00:00,2018-08-04 04:00:00+00:00,short,0.15401,0.13244,0.1492092465,1492.092465,15,Range/Chop,26
2018-08-08 04:00:00+00:00,2018-08-09 16:00:00+00:00,short,0.11871,0.12039,-0.0198081888,-198.081888,15,Range/Chop,9
2018-08-13 20:00:00+00:00,2018-08-15 04:00:00+00:00,short,0.10391,0.09838,0.04207899412,420.7899412,15,Bear Trend,8
2018-08-17 20:00:00+00:00,2018-08-18 08:00:00+00:00,long,0.10405,0.10174,-0.02358822861,-235.8822861,15,Bear Trend,3
2018-08-28 00:00:00+00:00,2018-08-30 12:00:00+00:00,long,0.1005,0.0974,-0.03229359594,-322.9359594,15,Bear Trend,15
2018-09-05 12:00:00+00:00,2018-09-07 00:00:00+00:00,short,0.09415,0.08835,0.05956578389,595.6578389,15,Range/Chop,9
2018-09-08 20:00:00+00:00,2018-09-10 12:00:00+00:00,short,0.07782,0.07499,0.02936500596,293.6500596,15,Range/Chop,10
2018-09-12 08:00:00+00:00,2018-09-13 12:00:00+00:00,short,0.0627,0.06785,-0.08116471907,-811.6471907,15,Bear Trend,7
2018-09-17 16:00:00+00:00,2018-09-18 12:00:00+00:00,short,0.06489,0.06706,-0.03803142575,-380.3142575,15,Bear Trend,5
2018-09-21 00:00:00+00:00,2018-09-24 12:00:00+00:00,long,0.08086,0.08313,0.02657140638,265.7140638,15,Bear Trend,21
2018-10-03 04:00:00+00:00,2018-10-04 20:00:00+00:00,short,0.07918,0.08242,-0.041914152,-419.14152,15,Range/Chop,10
2018-10-08 00:00:00+00:00,2018-10-10 04:00:00+00:00,long,0.08465,0.08508,0.003567833934,35.67833934,15,Range/Chop,13
2018-10-11 04:00:00+00:00,2018-10-12 08:00:00+00:00,short,0.078,0.07506,0.03023794812,302.3794812,15,Range/Chop,7
2018-10-29 12:00:00+00:00,2018-10-31 16:00:00+00:00,short,0.07176,0.0706,0.01393100222,139.3100222,15,Range/Chop,13
2018-11-04 08:00:00+00:00,2018-11-05 04:00:00+00:00,long,0.07437,0.07541,0.01246621873,124.6621873,15,Range/Chop,5
2018-11-14 12:00:00+00:00,2018-11-15 20:00:00+00:00,short,0.07231,0.06399,0.1171500832,1171.500832,15,Range/Chop,8
2018-11-19 08:00:00+00:00,2018-11-20 16:00:00+00:00,short,0.05712,0.0511,0.08755049624,875.5049624,15,Range/Chop,8
2018-11-25 00:00:00+00:00,2018-11-26 00:00:00+00:00,short,0.039,0.03832,0.005726089346,57.26089346,15,Bear Trend,6
2018-11-28 16:00:00+00:00,2018-11-30 12:00:00+00:00,long,0.04042,0.0386,-0.04638382156,-463.8382156,15,Bear Trend,11
2018-12-05 04:00:00+00:00,2018-12-08 04:00:00+00:00,short,0.03644,0.03107,0.1431941314,1431.941314,15,Bear Trend,18
2018-12-17 16:00:00+00:00,2018-12-20 00:00:00+00:00,long,0.03143,0.03369,0.07037353016,703.7353016,15,Bear Trend,14
2018-12-20 20:00:00+00:00,2018-12-21 20:00:00+00:00,long,0.03841,0.03886,0.01020910819,102.0910819,15,Crash/Capitulation,6
2019-01-03 00:00:00+00:00,2019-01-03 20:00:00+00:00,long,0.04432,0.04192,-0.05558822496,-555.8822496,15,Bull Trend,5
2019-01-06 04:00:00+00:00,2019-01-08 04:00:00+00:00,long,0.04622,0.04657,0.006032805653,60.32805653,15,Bull Trend,12
2019-01-10 12:00:00+00:00,2019-01-14 16:00:00+00:00,short,0.04556,0.04257,0.05396214549,539.6214549,15,Bull Trend,25
2019-01-20 16:00:00+00:00,2019-01-22 20:00:00+00:00,short,0.04237,0.04359,-0.03086437778,-308.6437778,15,Range/Chop,13
2019-01-27 08:00:00+00:00,2019-01-29 16:00:00+00:00,short,0.04148,0.03885,0.05933245712,593.3245712,15,Range/Chop,14
2019-02-06 04:00:00+00:00,2019-02-08 12:00:00+00:00,short,0.03661,0.03829,-0.04808566977,-480.8566977,15,Range/Chop,14
2019-02-08 16:00:00+00:00,2019-02-10 08:00:00+00:00,long,0.03988,0.04049,0.013823167,138.23167,15,Range/Chop,10
2019-02-18 04:00:00+00:00,2019-02-20 04:00:00+00:00,long,0.04306,0.04566,0.05878621897,587.8621897,15,Range/Chop,12
2019-02-23 20:00:00+00:00,2019-02-24 16:00:00+00:00,long,0.04811,0.04272,-0.1133561571,-1133.561571,30,Range/Chop,5
2019-02-24 16:00:00+00:00,2019-02-27 20:00:00+00:00,short,0.04272,0.04287,-0.009372125441,-93.72125441,15,Range/Chop,19
2019-03-04 08:00:00+00:00,2019-03-05 12:00:00+00:00,short,0.0404,0.04099,-0.01645650326,-164.5650326,15,Range/Chop,7
2019-03-05 20:00:00+00:00,2019-03-10 08:00:00+00:00,long,0.04308,0.04459,0.03349197687,334.9197687,15,Range/Chop,27
2019-03-15 08:00:00+00:00,2019-03-18 12:00:00+00:00,long,0.04888,0.04936,0.008331127532,83.31127532,15,Range/Chop,19
2019-03-19 20:00:00+00:00,2019-03-21 16:00:00+00:00,long,0.05198,0.05157,-0.009373245408,-93.73245408,15,Range/Chop,11
2019-03-22 08:00:00+00:00,2019-03-25 08:00:00+00:00,long,0.05596,0.05979,0.06686555781,668.6555781,15,Bull Trend,18
2019-04-02 08:00:00+00:00,2019-04-04 04:00:00+00:00,long,0.07747,0.08769,0.1302494123,1302.494123,15,Bull Trend,11
2019-04-08 12:00:00+00:00,2019-04-10 12:00:00+00:00,short,0.08231,0.0874,-0.06657816031,-665.7816031,15,Bull Trend,12
2019-04-19 04:00:00+00:00,2019-04-19 08:00:00+00:00,short,0.0784,0.07898,-0.008897959184,-88.97959184,15,Bull Trend,1
2019-04-21 12:00:00+00:00,2019-04-22 12:00:00+00:00,short,0.07184,0.07519,-0.04829138257,-482.9138257,15,Bull Trend,6
2019-04-24 20:00:00+00:00,2019-04-25 12:00:00+00:00,short,0.07033,0.07318,-0.04142606982,-414.2606982,15,Range/Chop,4
2019-05-09 16:00:00+00:00,2019-05-10 08:00:00+00:00,short,0.06137,0.06416,-0.05038427452,-503.8427452,15,Bear Trend,4
2019-05-11 08:00:00+00:00,2019-05-12 12:00:00+00:00,long,0.06593,0.0709,0.07385276612,738.5276612,15,Bear Trend,7
2019-05-15 20:00:00+00:00,2019-05-16 12:00:00+00:00,long,0.08964,0.0865,-0.03641079405,-364.1079405,15,Bull Trend,4
2019-05-23 00:00:00+00:00,2019-05-24 12:00:00+00:00,short,0.07744,0.08219,-0.06263405798,-626.3405798,15,Bull Trend,9
2019-05-27 00:00:00+00:00,2019-05-30 20:00:00+00:00,long,0.08516,0.08937,0.04787230189,478.7230189,15,Bull Trend,23
2019-05-31 00:00:00+00:00,2019-06-01 00:00:00+00:00,short,0.08403,0.08906,-0.05905626191,-590.5626191,15,Bull Trend,6
2019-06-04 04:00:00+00:00,2019-06-07 08:00:00+00:00,short,0.08391,0.08475,-0.0230534178,-230.534178,15,Range/Chop,19
2019-06-11 20:00:00+00:00,2019-06-13 20:00:00+00:00,long,0.08843,0.09036,0.02027490367,202.7490367,15,Range/Chop,12
2019-06-22 16:00:00+00:00,2019-06-24 00:00:00+00:00,long,0.09348,0.09689,0.03495751416,349.5751416,15,Range/Chop,8
2019-06-26 16:00:00+00:00,2019-06-27 00:00:00+00:00,long,0.1062,0.09782,-0.08034413831,-803.4413831,15,Range/Chop,2
2019-06-27 12:00:00+00:00,2019-07-04 00:00:00+00:00,short,0.09159,0.08225,0.09407971205,940.7971205,15,Range/Chop,39
2019-07-08 08:00:00+00:00,2019-07-09 12:00:00+00:00,long,0.08138,0.07811,-0.04164936036,-416.4936036,15,Range/Chop,7
2019-07-10 16:00:00+00:00,2019-07-12 12:00:00+00:00,short,0.07066,0.06909,0.007461392635,74.61392635,15,Range/Chop,11
2019-07-14 12:00:00+00:00,2019-07-18 08:00:00+00:00,short,0.06189,0.05618,0.07371543542,737.1543542,15,Range/Chop,23
2019-07-20 20:00:00+00:00,2019-07-21 20:00:00+00:00,long,0.06475,0.06013,-0.07279170587,-727.9170587,15,Bear Trend,6
2019-07-26 12:00:00+00:00,2019-07-27 12:00:00+00:00,long,0.06142,0.0588,-0.04409687988,-440.9687988,15,Bear Trend,6
2019-08-06 12:00:00+00:00,2019-08-10 16:00:00+00:00,short,0.05478,0.05046,0.07351684633,735.1684633,15,Range/Chop,25
2019-08-14 20:00:00+00:00,2019-08-17 12:00:00+00:00,short,0.04743,0.04765,-0.009812112531,-98.12112531,15,Bear Trend,15
2019-08-18 20:00:00+00:00,2019-08-21 04:00:00+00:00,long,0.05012,0.04762,-0.05129055385,-512.9055385,15,Bear Trend,14
2019-08-28 20:00:00+00:00,2019-08-30 16:00:00+00:00,short,0.04569,0.04545,0.001956656779,19.56656779,15,Bear Trend,11
2019-09-04 00:00:00+00:00,2019-09-04 16:00:00+00:00,long,0.04667,0.04535,-0.02976572017,-297.6572017,15,Bear Trend,4
2019-09-14 20:00:00+00:00,2019-09-16 16:00:00+00:00,long,0.04678,0.04587,-0.02093466584,-209.3466584,15,Range/Chop,11
2019-09-17 08:00:00+00:00,2019-09-19 04:00:00+00:00,long,0.0478,0.04981,0.04048974555,404.8974555,15,Range/Chop,11
2019-09-22 12:00:00+00:00,2019-09-28 00:00:00+00:00,short,0.04876,0.03911,0.185547668,1855.47668,15,Range/Chop,33
2019-10-04 16:00:00+00:00,2019-10-06 20:00:00+00:00,long,0.03964,0.03845,-0.03146349995,-314.6349995,15,Bear Trend,13
2019-10-07 16:00:00+00:00,2019-10-10 12:00:00+00:00,long,0.04125,0.04124,-0.001747900027,-17.47900027,15,Bear Trend,17
2019-10-15 20:00:00+00:00,2019-10-17 12:00:00+00:00,short,0.03937,0.0391,0.004045328295,40.45328295,15,Range/Chop,10
2019-10-22 04:00:00+00:00,2019-10-23 00:00:00+00:00,long,0.03987,0.03857,-0.03406954137,-340.6954137,15,Range/Chop,5
2019-10-23 16:00:00+00:00,2019-10-24 12:00:00+00:00,short,0.03615,0.03723,-0.0309725957,-309.725957,15,Range/Chop,5
2019-10-25 16:00:00+00:00,2019-10-26 12:00:00+00:00,long,0.04012,0.04072,0.01347655798,134.7655798,15,Bear Trend,5
2019-11-04 16:00:00+00:00,2019-11-07 04:00:00+00:00,long,0.04288,0.044,0.02457518211,245.7518211,15,Range/Chop,15
2019-11-08 16:00:00+00:00,2019-11-10 08:00:00+00:00,short,0.04166,0.04318,-0.0373098863,-373.098863,15,Range/Chop,10
2019-11-17 20:00:00+00:00,2019-11-18 20:00:00+00:00,long,0.04545,0.04339,-0.04677054445,-467.7054445,15,Range/Chop,6
2019-11-19 12:00:00+00:00,2019-11-22 20:00:00+00:00,short,0.04137,0.03778,0.0857321195,857.321195,15,Range/Chop,20
2019-11-25 08:00:00+00:00,2019-11-25 12:00:00+00:00,short,0.03379,0.03504,-0.03849319325,-384.9319325,15,Range/Chop,1
2019-11-27 16:00:00+00:00,2019-12-01 04:00:00+00:00,long,0.03863,0.03876,0.001888876209,18.88876209,15,Range/Chop,21
2019-12-04 04:00:00+00:00,2019-12-04 20:00:00+00:00,short,0.03663,0.03835,-0.04730795571,-473.0795571,15,Range/Chop,4
2019-12-16 20:00:00+00:00,2019-12-18 16:00:00+00:00,short,0.0338,0.0328,0.02384055442,238.4055442,15,Bear Trend,11
2019-12-27 12:00:00+00:00,2019-12-28 04:00:00+00:00,short,0.0322,0.03317,-0.03135907374,-313.5907374,15,Bear Trend,4
2019-12-31 16:00:00+00:00,2020-01-03 08:00:00+00:00,short,0.03297,0.0336,-0.02143752708,-214.3752708,15,Bear Trend,16
2020-01-05 20:00:00+00:00,2020-01-08 20:00:00+00:00,long,0.03498,0.03622,0.03387905038,338.7905038,15,Bear Trend,18
2020-01-14 12:00:00+00:00,2020-01-19 12:00:00+00:00,long,0.03857,0.04286,0.1095727923,1095.727923,15,Bull Trend,30
2020-01-27 16:00:00+00:00,2020-01-30 00:00:00+00:00,long,0.04597,0.0533,0.1577848022,1577.848022,15,Bull Trend,14
2020-02-05 16:00:00+00:00,2020-02-08 00:00:00+00:00,long,0.06003,0.05987,-0.004186936846,-41.86936846,15,Bull Trend,14
2020-02-12 04:00:00+00:00,2020-02-14 08:00:00+00:00,long,0.06497,0.06753,0.03785110093,378.5110093,15,Bull Trend,13
2020-02-16 16:00:00+00:00,2020-02-18 04:00:00+00:00,short,0.06058,0.06169,-0.02554831034,-255.4831034,15,Bull Trend,9
2020-02-26 04:00:00+00:00,2020-02-27 16:00:00+00:00,short,0.05279,0.05118,0.02581744578,258.1744578,15,Range/Chop,9
2020-03-08 16:00:00+00:00,2020-03-10 12:00:00+00:00,short,0.04493,0.04237,0.05294225067,529.4225067,15,Range/Chop,11
2020-03-11 20:00:00+00:00,2020-03-13 04:00:00+00:00,short,0.03863,0.02446,0.4225655172,4225.655172,15,Bear Trend,8
2020-03-19 20:00:00+00:00,2020-03-20 20:00:00+00:00,long,0.0306,0.02912,-0.04980807316,-498.0807316,15,Bear Trend,6
2020-04-02 00:00:00+00:00,2020-04-03 00:00:00+00:00,long,0.03097,0.03187,0.02752571007,275.2571007,15,Bear Trend,6
2020-04-06 08:00:00+00:00,2020-04-10 04:00:00+00:00,long,0.03312,0.03501,0.05550737105,555.0737105,15,Bear Trend,23
2020-04-10 08:00:00+00:00,2020-04-12 16:00:00+00:00,short,0.03335,0.03432,-0.0328194793,-328.194793,15,Range/Chop,14
2020-04-13 04:00:00+00:00,2020-04-15 04:00:00+00:00,short,0.03208,0.03363,-0.04869438122,-486.9438122,15,Range/Chop,12
2020-04-17 00:00:00+00:00,2020-04-20 12:00:00+00:00,long,0.03445,0.03476,0.007488994481,74.88994481,15,Range/Chop,21
2020-04-20 20:00:00+00:00,2020-04-22 16:00:00+00:00,short,0.03394,0.03625,-0.06707767229,-670.7767229,15,Range/Chop,11
2020-04-23 12:00:00+00:00,2020-04-25 00:00:00+00:00,long,0.03817,0.04165,0.08960056394,896.0056394,15,Range/Chop,9
2020-04-26 20:00:00+00:00,2020-04-27 16:00:00+00:00,long,0.04594,0.04485,-0.02519101001,-251.9101001,15,Range/Chop,5
2020-04-29 12:00:00+00:00,2020-04-30 12:00:00+00:00,long,0.04983,0.04972,-0.003681709907,-36.81709907,15,Bull Trend,6
2020-05-08 04:00:00+00:00,2020-05-10 04:00:00+00:00,long,0.05263,0.04645,-0.1187738134,-1187.738134,30,Bull Trend,12
