entry_time,exit_time,side,entry_price,exit_price,return,pnl,fees_paid,entry_regime,bars
2018-01-08 16:00:00+00:00,2018-01-08 20:00:00+00:00,short,14297.9,15196.56,-0.06435258674,-643.5258674,15,Range/Chop,1
2018-01-16 12:00:00+00:00,2018-01-18 12:00:00+00:00,short,12140,11413.78,0.0106293963,106.293963,15,Range/Chop,12
2018-01-22 16:00:00+00:00,2018-01-24 20:00:00+00:00,short,10330.06,11235.28,-0.08986837405,-898.6837405,15,Range/Chop,13
2018-01-30 16:00:00+00:00,2018-02-02 16:00:00+00:00,short,10323.25,9070,0.1132342142,1132.342142,15,Range/Chop,18
2018-02-05 16:00:00+00:00,2018-02-06 16:00:00+00:00,short,7375.49,7299.99,-0.03120855604,-312.0855604,15,Range/Chop,6
2018-02-14 16:00:00+00:00,2018-02-19 00:00:00+00:00,long,9329.22,10375.01,0.1104126248,1104.126248,15,Range/Chop,26
2018-02-22 16:00:00+00:00,2018-02-24 04:00:00+00:00,short,9972.12,10395.74,-0.0451020548,-451.020548,15,Range/Chop,9
2018-03-06 12:00:00+00:00,2018-03-10 00:00:00+00:00,short,10936,9230,0.1592092861,1592.092861,15,Range/Chop,21
2018-03-14 20:00:00+00:00,2018-03-16 16:00:00+00:00,short,8285.97,8539,-0.03797971027,-379.7971027,15,Range/Chop,11
2018-03-18 16:00:00+00:00,2018-03-19 00:00:00+00:00,short,7385,8189,-0.1079231303,-1079.231303,15,Range/Chop,2
2018-03-26 12:00:00+00:00,2018-04-02 08:00:00+00:00,short,8089,7065.01,0.1163262441,1163.262441,15,Range/Chop,41
2018-04-12 12:00:00+00:00,2018-04-16 16:00:00+00:00,long,7685.55,7971.98,0.0356989411,356.989411,15,Bear Trend,25
2018-04-20 12:00:00+00:00,2018-04-25 04:00:00+00:00,long,8515,9349.99,0.09640287705,964.0287705,15,Range/Chop,28
2018-05-03 20:00:00+00:00,2018-05-06 12:00:00+00:00,long,9670,9536.98,-0.01522317392,-152.2317392,15,Bull Trend,16
2018-05-07 04:00:00+00:00,2018-05-10 00:00:00+00:00,short,9351.77,9310,0.001355811481,13.55811481,15,Bull Trend,17
2018-05-11 08:00:00+00:00,2018-05-13 16:00:00+00:00,short,8710.34,8625.5,0.005706738162,57.06738162,15,Bull Trend,14
2018-05-16 04:00:00+00:00,2018-05-19 12:00:00+00:00,short,8138.03,8372.83,-0.03201848841,-320.1848841,15,Range/Chop,20
2018-05-20 20:00:00+00:00,2018-05-22 04:00:00+00:00,long,8528.01,8324.94,-0.02527658071,-252.7658071,15,Range/Chop,8
2018-05-23 00:00:00+00:00,2018-05-29 12:00:00+00:00,short,7977.12,7403.98,0.06895973195,689.5973195,15,Range/Chop,39
2018-06-10 04:00:00+00:00,2018-06-14 04:00:00+00:00,short,7261.03,6502.75,0.1058455464,1058.455464,15,Bear Trend,24
2018-06-18 20:00:00+00:00,2018-06-20 04:00:00+00:00,long,6694.62,6602.74,-0.01520017002,-152.0017002,15,Bear Trend,8
2018-06-22 08:00:00+00:00,2018-06-24 20:00:00+00:00,short,6499.76,6178,0.040540526,405.40526,15,Bear Trend,15
