entry_time,exit_time,side,entry_price,exit_price,return,pnl,fees_paid,entry_regime,bars
2018-01-04 16:00:00+00:00,2018-01-08 16:00:00+00:00,long,989.95,1059.92,0.06900853928,690.0853928,15,Range/Chop,24
2018-01-22 16:00:00+00:00,2018-01-24 20:00:00+00:00,short,951,1036.86,-0.0915986797,-915.986797,15,Range/Chop,13
2018-01-28 08:00:00+00:00,2018-01-29 20:00:00+00:00,long,1182.97,1177.5,-0.00602118305,-60.2118305,15,Range/Chop,9
2018-02-01 20:00:00+00:00,2018-02-02 16:00:00+00:00,short,1012.03,973.27,-0.0001828618325,-1.828618325,15,Range/Chop,5
2018-02-05 16:00:00+00:00,2018-02-06 16:00:00+00:00,short,731.9,742.34,-0.0871263595,-871.263595,15,Range/Chop,6
2018-02-14 16:00:00+00:00,2018-02-19 00:00:00+00:00,long,903.16,911,0.007169819603,71.69819603,15,Range/Chop,26
2018-02-21 00:00:00+00:00,2018-02-23 12:00:00+00:00,short,882.99,870.62,0.004308664741,43.08664741,15,Range/Chop,15
2018-03-06 12:00:00+00:00,2018-03-10 00:00:00+00:00,short,832.35,723.65,0.1311007861,1311.007861,15,Range/Chop,21
2018-03-14 20:00:00+00:00,2018-03-16 16:00:00+00:00,short,617.48,622,-0.01616683687,-161.6683687,15,Bear Trend,11
2018-03-18 04:00:00+00:00,2018-03-19 00:00:00+00:00,short,518.98,537.39,-0.06022694502,-602.2694502,15,Bear Trend,5
2018-03-26 12:00:00+00:00,2018-04-02 12:00:00+00:00,short,485.32,391.55,0.1993818211,1993.818211,15,Bear Trend,42
2018-04-09 04:00:00+00:00,2018-04-09 12:00:00+00:00,long,411.28,395.19,-0.04053716936,-405.3716936,15,Bear Trend,2
2018-04-12 04:00:00+00:00,2018-04-16 16:00:00+00:00,long,437.17,504,0.1510816827,1510.816827,15,Bear Trend,27
2018-04-19 20:00:00+00:00,2018-04-21 12:00:00+00:00,long,557.41,586.59,0.05080054659,508.0054659,15,Range/Chop,10
2018-04-24 04:00:00+00:00,2018-04-25 04:00:00+00:00,long,669.06,654,-0.02395458105,-239.5458105,15,Bull Trend,6
2018-05-03 04:00:00+00:00,2018-05-06 12:00:00+00:00,long,717.99,774.05,0.07647314681,764.7314681,15,Bull Trend,20
2018-05-11 08:00:00+00:00,2018-05-13 12:00:00+00:00,short,692.53,695.84,-0.01156615736,-115.6615736,15,Bull Trend,13
2018-05-23 00:00:00+00:00,2018-05-25 00:00:00+00:00,short,640.86,602.08,0.05331718201,533.1718201,15,Range/Chop,12
2018-05-28 08:00:00+00:00,2018-05-29 12:00:00+00:00,short,534.39,553.69,-0.04117052233,-411.7052233,15,Range/Chop,7
2018-06-03 12:00:00+00:00,2018-06-04 12:00:00+00:00,long,620,592.46,-0.04584447391,-458.4447391,15,Bear Trend,6
2018-06-10 04:00:00+00:00,2018-06-14 12:00:00+00:00,short,568.98,487.95,0.1466976299,1466.976299,15,Bear Trend,26
2018-06-18 20:00:00+00:00,2018-06-20 04:00:00+00:00,long,514.59,519.39,0.007823121173,78.23121173,15,Bear Trend,8
2018-06-22 12:00:00+00:00,2018-06-25 00:00:00+00:00,short,486.92,454.29,0.05552558663,555.2558663,15,Bear Trend,15
