entry_time,exit_time,side,entry_price,exit_price,return,pnl,fees_paid,entry_regime,bars
2018-11-21 00:00:00+00:00,2018-12-07 00:00:00+00:00,long,0.04582,0.0307,-0.3309377622,-3309.377622,15,Crash/Capitulation,16
2019-04-04 00:00:00+00:00,2019-04-16 00:00:00+00:00,short,0.0906,0.08159,0.08793405126,879.3405126,15,Bull Trend,12
2020-03-13 00:00:00+00:00,2020-03-25 00:00:00+00:00,long,0.02332,0.03025,0.2955743472,2955.743472,15,Crash/Capitulation,12
2020-07-09 00:00:00+00:00,2020-07-21 00:00:00+00:00,short,0.12992,0.11772,0.08292334026,829.2334026,15,Bull Trend,12
2020-11-24 00:00:00+00:00,2020-11-27 00:00:00+00:00,short,0.15451,0.13835,0.08891164149,889.1164149,15,Bull Trend,3
2021-01-07 00:00:00+00:00,2021-01-22 00:00:00+00:00,short,0.33311,0.30786,-0.03367142986,-336.7142986,15,High Vol Expansion,15
2021-02-08 00:00:00+00:00,2021-02-11 00:00:00+00:00,short,0.66109,0.94041,-0.3772982256,-3772.982256,15,High Vol Expansion,3
2021-08-12 00:00:00+00:00,2021-08-15 00:00:00+00:00,short,1.7934,2.1875,-0.2049747182,-2049.747182,15,Bull Trend,3
2023-01-15 00:00:00+00:00,2023-01-31 00:00:00+00:00,short,0.3526,0.3725,-0.07558314564,-755.8314564,15,Bull Trend,16
2023-11-10 00:00:00+00:00,2023-11-22 00:00:00+00:00,short,0.3685,0.3566,0.01523058133,152.3058133,15,Bull Trend,12
2023-12-09 00:00:00+00:00,2023-12-25 00:00:00+00:00,short,0.5455,0.5919,-0.1302511621,-1302.511621,15,Bull Trend,16
2024-11-11 00:00:00+00:00,2024-11-21 00:00:00+00:00,short,0.5903,0.8003,-0.3137708838,-3137.708838,15,High Vol Expansion,10
2024-11-23 00:00:00+00:00,2024-12-10 00:00:00+00:00,short,1.0175,1.0035,-0.03876090966,-387.6090966,15,High Vol Expansion,17
2026-06-05 00:00:00+00:00,2026-06-26 00:00:00+00:00,long,0.1798,0.1438,-0.201598985,-2015.98985,15,Crash/Capitulation,21
