entry_time,exit_time,side,entry_price,exit_price,return,pnl,fees_paid,entry_regime,bars
2020-02-11 00:00:00+00:00,2020-02-17 00:00:00+00:00,short,25.145,23.3193,0.06400373281,640.0373281,15,Bull Trend,6
2020-03-13 00:00:00+00:00,2020-03-24 00:00:00+00:00,long,9.2565,12.1887,0.315098094,3150.98094,15,Crash/Capitulation,11
2021-02-07 00:00:00+00:00,2021-02-10 00:00:00+00:00,short,72.8693,107.3496,-0.4215655231,-4215.655231,15,Bull Trend,3
2021-02-11 00:00:00+00:00,2021-02-19 00:00:00+00:00,short,128.9463,195.5549,-0.4185381757,-4185.381757,15,High Vol Expansion,8
2021-02-20 00:00:00+00:00,2021-02-27 00:00:00+00:00,short,333.2212,221.9592,0.3121768454,3121.768454,15,High Vol Expansion,7
2021-04-13 00:00:00+00:00,2021-04-19 00:00:00+00:00,short,596.7878,481.5112,0.2201818965,2201.818965,15,Bull Trend,6
2023-06-11 00:00:00+00:00,2023-07-01 00:00:00+00:00,long,238.8,240.4,0.005168306841,51.68306841,15,Bear Trend,20
2023-12-28 00:00:00+00:00,2024-01-08 00:00:00+00:00,short,324,302.5,0.06570777092,657.0777092,15,Bull Trend,11
2024-03-16 00:00:00+00:00,2024-03-20 00:00:00+00:00,short,632.7,507.7,0.2244533805,2244.533805,15,High Vol Expansion,4
2025-07-24 00:00:00+00:00,2025-08-02 00:00:00+00:00,short,776.74,757.08,0.01710209096,171.0209096,15,Bull Trend,9
2026-02-06 00:00:00+00:00,2026-02-26 00:00:00+00:00,long,608.3,629.42,0.03328313788,332.8313788,15,Crash/Capitulation,20
