entry_time,exit_time,side,entry_price,exit_price,return,pnl,fees_paid,entry_regime,bars
2018-11-17 00:00:00+00:00,2018-11-20 00:00:00+00:00,long,5650.57,4913.4,-0.1317683674,-1317.683674,15,Range/Chop,3
2018-11-21 00:00:00+00:00,2018-12-07 00:00:00+00:00,long,4559.91,3508.75,-0.2316512579,-2316.512579,15,Crash/Capitulation,16
2019-04-03 00:00:00+00:00,2019-04-24 00:00:00+00:00,short,4857.19,5490.91,-0.1244060186,-1244.060186,15,Range/Chop,21
2019-05-12 00:00:00+00:00,2019-05-27 00:00:00+00:00,short,7076.24,8612.54,-0.2156990208,-2156.990208,15,Bull Trend,15
2019-06-27 00:00:00+00:00,2019-07-01 00:00:00+00:00,short,13098.38,10854.1,0.1614872117,1614.872117,15,Bull Trend,4
2020-03-13 00:00:00+00:00,2020-03-24 00:00:00+00:00,long,4800.01,6465.25,0.3451850757,3451.850757,15,Crash/Capitulation,11
2020-07-28 00:00:00+00:00,2020-08-12 00:00:00+00:00,short,11029.96,11392.09,-0.04437840709,-443.7840709,15,Range/Chop,15
2020-11-06 00:00:00+00:00,2020-11-21 00:00:00+00:00,short,15590.02,18655.66,-0.1777455042,-1777.455042,15,Bull Trend,15
2023-01-13 00:00:00+00:00,2023-01-15 00:00:00+00:00,short,18846.62,20952.76,-0.1072747457,-1072.747457,15,Range/Chop,2
2023-08-19 00:00:00+00:00,2023-08-30 00:00:00+00:00,long,26054,27716.34,0.0622107461,622.107461,15,Range/Chop,11
2023-10-24 00:00:00+00:00,2023-11-10 00:00:00+00:00,short,33069.99,36701.1,-0.1032228452,-1032.228452,15,Bull Trend,17
2024-02-29 00:00:00+00:00,2024-03-12 00:00:00+00:00,short,62432.11,72078.1,-0.1490650921,-1490.650921,15,Bull Trend,12
2024-11-12 00:00:00+00:00,2024-12-09 00:00:00+00:00,short,88648,101109.6,-0.1367630624,-1367.630624,15,Bull Trend,27
2026-02-06 00:00:00+00:00,2026-02-26 00:00:00+00:00,long,62909.87,67988.04,0.07927644671,792.7644671,15,Crash/Capitulation,20
2026-06-05 00:00:00+00:00,2026-06-15 00:00:00+00:00,long,63885.99,65746.45,0.02750634412,275.0634412,15,Bear Trend,10
