entry_time,exit_time,side,entry_price,exit_price,return,pnl,fees_paid,entry_regime,bars
2020-02-09 00:00:00+00:00,2020-02-16 00:00:00+00:00,short,0.0031745,0.0028981,0.07951407009,795.1407009,15,Bull Trend,7
2020-07-08 00:00:00+00:00,2020-07-09 00:00:00+00:00,short,0.003136,0.0047626,-0.5201862245,-5201.862245,15,Bull Trend,1
2020-11-22 00:00:00+00:00,2020-11-27 00:00:00+00:00,short,0.0035091,0.003256,0.00431852065,43.1852065,15,Bull Trend,5
2020-12-22 00:00:00+00:00,2020-12-24 00:00:00+00:00,short,0.0047747,0.0037561,0.2297737162,2297.737162,15,High Vol Expansion,2
2021-01-03 00:00:00+00:00,2021-01-13 00:00:00+00:00,short,0.0105245,0.0080806,0.2598130094,2598.130094,15,High Vol Expansion,10
2021-01-29 00:00:00+00:00,2021-02-08 00:00:00+00:00,short,0.036442,0.0779851,-0.7849192501,-7849.192501,15,High Vol Expansion,10
2021-04-15 00:00:00+00:00,2021-04-16 00:00:00+00:00,short,0.1214319,0.1825003,-0.5044024499,-5044.024499,15,Bull Trend,1
2021-04-17 00:00:00+00:00,2021-04-23 00:00:00+00:00,short,0.3653855,0.2606616,0.1210162329,1210.162329,15,High Vol Expansion,6
2021-08-16 00:00:00+00:00,2021-08-25 00:00:00+00:00,short,0.33996,0.28862,0.1521675049,1521.675049,15,Bull Trend,9
2022-10-29 00:00:00+00:00,2022-10-30 00:00:00+00:00,short,0.08387,0.12176,-0.4532705974,-4532.705974,15,Range/Chop,1
2022-10-31 00:00:00+00:00,2022-11-09 00:00:00+00:00,short,0.11774,0.08827,0.2242718001,2242.718001,15,High Vol Expansion,9
2024-02-29 00:00:00+00:00,2024-03-04 00:00:00+00:00,short,0.11585,0.15346,-0.2779321881,-2779.321881,15,Bull Trend,4
2024-03-05 00:00:00+00:00,2024-03-17 00:00:00+00:00,short,0.18197,0.14253,0.1838331292,1838.331292,15,High Vol Expansion,12
2024-11-11 00:00:00+00:00,2024-11-13 00:00:00+00:00,short,0.27781,0.37995,-0.3259437609,-3259.437609,15,High Vol Expansion,2
2024-11-14 00:00:00+00:00,2024-12-10 00:00:00+00:00,short,0.39899,0.41403,-0.09587964458,-958.7964458,15,High Vol Expansion,26
2025-05-11 00:00:00+00:00,2025-05-16 00:00:00+00:00,short,0.25062,0.2194,0.1272513275,1272.513275,15,Range/Chop,5
2025-07-21 00:00:00+00:00,2025-07-25 00:00:00+00:00,short,0.27375,0.23219,0.1610827675,1610.827675,15,Bull Trend,4
2026-06-06 00:00:00+00:00,2026-06-15 00:00:00+00:00,long,0.08149,0.08889,0.08918106367,891.8106367,15,Crash/Capitulation,9
