entry_time,exit_time,side,entry_price,exit_price,return,pnl,fees_paid,entry_regime,bars
2018-03-30 00:00:00+00:00,2018-04-12 00:00:00+00:00,long,383.87,429.9,0.1182670377,1182.670377,15,Crash/Capitulation,13
2018-08-15 00:00:00+00:00,2018-08-29 00:00:00+00:00,long,278.47,295.44,0.05936563281,593.6563281,15,Crash/Capitulation,14
2018-11-21 00:00:00+00:00,2018-12-07 00:00:00+00:00,long,133.68,91.18,-0.3189119074,-3189.119074,15,Crash/Capitulation,16
2019-05-17 00:00:00+00:00,2019-06-04 00:00:00+00:00,short,264.35,250.02,0.01655335079,165.5335079,15,Bull Trend,18
2020-02-13 00:00:00+00:00,2020-02-26 00:00:00+00:00,short,265.74,246.67,0.04282726736,428.2726736,15,Bull Trend,13
2020-07-27 00:00:00+00:00,2020-08-02 00:00:00+00:00,short,311.02,387.01,-0.2130741346,-2130.741346,15,Bull Trend,6
2020-08-03 00:00:00+00:00,2020-08-22 00:00:00+00:00,short,372.45,387.93,-0.06601922924,-660.1922924,15,High Vol Expansion,19
2021-01-04 00:00:00+00:00,2021-01-22 00:00:00+00:00,short,978.33,1111.98,-0.2081464583,-2081.464583,15,Bull Trend,18
2023-01-15 00:00:00+00:00,2023-01-31 00:00:00+00:00,short,1549.91,1566.21,-0.0268543228,-268.543228,15,Bull Trend,16
2023-08-19 00:00:00+00:00,2023-08-30 00:00:00+00:00,long,1661.6,1729.41,0.03925640261,392.5640261,15,Bear Trend,11
2023-11-10 00:00:00+00:00,2023-11-17 00:00:00+00:00,short,2121.33,1961.77,0.07359262521,735.9262521,15,Bull Trend,7
2024-02-29 00:00:00+00:00,2024-03-12 00:00:00+00:00,short,3383.11,4064.8,-0.1784485493,-1784.485493,15,Bull Trend,12
2025-05-10 00:00:00+00:00,2025-05-31 00:00:00+00:00,short,2345.04,2531.35,-0.09967072272,-996.7072272,15,Range/Chop,21
2025-07-17 00:00:00+00:00,2025-07-28 00:00:00+00:00,short,3371.35,3872.11,-0.1362219006,-1362.219006,15,Bull Trend,11
2026-02-06 00:00:00+00:00,2026-02-26 00:00:00+00:00,long,1826.83,2057.48,0.1247612406,1247.612406,15,Crash/Capitulation,20
2026-06-05 00:00:00+00:00,2026-06-16 00:00:00+00:00,long,1770.76,1796.14,0.01263129417,126.3129417,15,Crash/Capitulation,11
