entry_time,exit_time,side,entry_price,exit_price,return,pnl,fees_paid,entry_regime,bars
2018-09-22 00:00:00+00:00,2018-10-03 00:00:00+00:00,short,0.56399,0.51692,0.04357692833,435.7692833,15,Crash/Capitulation,11
2019-05-16 00:00:00+00:00,2019-05-19 00:00:00+00:00,short,0.45723,0.37178,0.2108513901,2108.513901,15,Bull Trend,3
2020-08-02 00:00:00+00:00,2020-08-20 00:00:00+00:00,short,0.29089,0.28969,-0.01477584318,-147.7584318,15,Bull Trend,18
2020-11-22 00:00:00+00:00,2020-11-24 00:00:00+00:00,short,0.46283,0.61562,-0.358858832,-3588.58832,15,High Vol Expansion,2
2020-11-25 00:00:00+00:00,2020-12-05 00:00:00+00:00,short,0.69399,0.55355,0.1574915749,1574.915749,15,High Vol Expansion,10
2021-04-06 00:00:00+00:00,2021-04-11 00:00:00+00:00,short,0.91584,1.37215,-0.4664274745,-4664.274745,15,Bull Trend,5
2021-08-15 00:00:00+00:00,2021-08-25 00:00:00+00:00,short,1.2788,1.1353,0.09188684642,918.8684642,15,Bull Trend,10
2023-07-14 00:00:00+00:00,2023-07-25 00:00:00+00:00,short,0.8151,0.702,0.1260713883,1260.713883,15,High Vol Expansion,11
2024-11-13 00:00:00+00:00,2024-11-16 00:00:00+00:00,short,0.7042,0.8921,-0.2419933124,-2419.933124,15,Bull Trend,3
2024-11-17 00:00:00+00:00,2024-11-23 00:00:00+00:00,short,1.1208,1.4726,-0.2820574347,-2820.574347,15,High Vol Expansion,6
2024-12-03 00:00:00+00:00,2024-12-19 00:00:00+00:00,short,2.7244,2.3102,0.102366027,1023.66027,15,High Vol Expansion,16
2025-07-15 00:00:00+00:00,2025-07-22 00:00:00+00:00,short,2.9582,3.5494,-0.1880116315,-1880.116315,15,Bull Trend,7
2026-02-06 00:00:00+00:00,2026-02-15 00:00:00+00:00,long,1.2145,1.5094,0.2412754552,2412.754552,15,Crash/Capitulation,9
2026-06-06 00:00:00+00:00,2026-06-15 00:00:00+00:00,long,1.0978,1.186,0.07871561704,787.1561704,15,Crash/Capitulation,9
