entry_time,exit_time,side,entry_price,exit_price,return,pnl,fees_paid,entry_regime,bars
2018-04-17 00:00:00+00:00,,long,0.255637755,,,,0.1,Unavailable,
2018-04-23 00:00:00+00:00,,long,0.2817408,,,,0.1,Range/Chop,
2018-04-30 00:00:00+00:00,,long,0.362691255,,,,0.1,Range/Chop,
2018-05-07 00:00:00+00:00,,long,0.346162995,,,,0.1,Range/Chop,
2018-05-14 00:00:00+00:00,,long,0.27731859,,,,0.1,Range/Chop,
2018-05-21 00:00:00+00:00,,long,0.25568778,,,,0.1,Range/Chop,
2018-05-28 00:00:00+00:00,,long,0.19207599,,,,0.1,Range/Chop,
2018-06-04 00:00:00+00:00,,long,0.2267133,,,,0.1,Range/Chop,
2018-06-11 00:00:00+00:00,,long,0.17354673,,,,0.1,Bear Trend,
2018-06-18 00:00:00+00:00,,long,0.160550235,,,,0.1,Bear Trend,
2018-06-25 00:00:00+00:00,,long,0.130915425,,,,0.1,Bear Trend,
2018-07-02 00:00:00+00:00,,long,0.14203098,,,,0.1,Bear Trend,
2018-07-09 00:00:00+00:00,,long,0.14489241,,,,0.1,Bear Trend,
2018-07-16 00:00:00+00:00,,long,0.142381155,,,,0.1,Bear Trend,
2018-07-23 00:00:00+00:00,,long,0.169454685,,,,0.1,Bull Trend,
2018-07-30 00:00:00+00:00,,long,0.16282137,,,,0.1,Range/Chop,
2018-08-06 00:00:00+00:00,,long,0.13056525,,,,0.1,Range/Chop,
2018-08-13 00:00:00+00:00,,long,0.11157576,,,,0.1,Bear Trend,
2018-08-20 00:00:00+00:00,,long,0.101360655,,,,0.1,Bear Trend,
2018-08-27 00:00:00+00:00,,long,0.09310653,,,,0.1,Bear Trend,
2018-09-03 00:00:00+00:00,,long,0.104762355,,,,0.1,Range/Chop,
2018-09-10 00:00:00+00:00,,long,0.07595796,,,,0.1,Range/Chop,
2018-09-17 00:00:00+00:00,,long,0.06991494,,,,0.1,Bear Trend,
2018-09-24 00:00:00+00:00,,long,0.089894925,,,,0.1,Range/Chop,
2018-10-01 00:00:00+00:00,,long,0.085152555,,,,0.1,Range/Chop,
2018-10-08 00:00:00+00:00,,long,0.084692325,,,,0.1,Range/Chop,
2018-10-15 00:00:00+00:00,,long,0.07167582,,,,0.1,Range/Chop,
2018-10-22 00:00:00+00:00,,long,0.07725861,,,,0.1,Range/Chop,
2018-10-29 00:00:00+00:00,,long,0.07361679,,,,0.1,Range/Chop,
2018-11-05 00:00:00+00:00,,long,0.07733865,,,,0.1,Range/Chop,
2018-11-12 00:00:00+00:00,,long,0.07701849,,,,0.1,Range/Chop,
2018-11-19 00:00:00+00:00,,long,0.062381175,,,,0.1,Range/Chop,
2018-11-26 00:00:00+00:00,,long,0.03833916,,,,0.1,Crash/Capitulation,
2018-12-03 00:00:00+00:00,,long,0.04186092,,,,0.1,Bear Trend,
2018-12-10 00:00:00+00:00,,long,0.03107553,,,,0.1,Bear Trend,
2018-12-17 00:00:00+00:00,,long,0.0290145,,,,0.1,Bear Trend,
2018-12-24 00:00:00+00:00,,long,0.043711845,,,,0.1,Range/Chop,
2018-12-31 00:00:00+00:00,,long,0.04264131,,,,0.1,Bull Trend,
2019-01-07 00:00:00+00:00,,long,0.04824411,,,,0.1,Bull Trend,
2019-01-14 00:00:00+00:00,,long,0.03945972,,,,0.1,Range/Chop,
2019-01-21 00:00:00+00:00,,long,0.04292145,,,,0.1,Range/Chop,
2019-01-28 00:00:00+00:00,,long,0.04090044,,,,0.1,Range/Chop,
2019-02-04 00:00:00+00:00,,long,0.03825912,,,,0.1,Range/Chop,
