entry_time,exit_time,side,entry_price,exit_price,return,pnl,fees_paid,entry_regime,bars
2020-09-22 00:00:00+00:00,,long,0.850425,,,,0.1,Unavailable,
2020-09-28 00:00:00+00:00,,long,4.65082425,,,,0.1,Range/Chop,
2020-10-05 00:00:00+00:00,,long,3.9601791,,,,0.1,Range/Chop,
2020-10-12 00:00:00+00:00,,long,4.08614205,,,,0.1,Range/Chop,
2020-10-19 00:00:00+00:00,,long,4.13916855,,,,0.1,Range/Chop,
2020-10-26 00:00:00+00:00,,long,4.14297045,,,,0.1,Range/Chop,
2020-11-02 00:00:00+00:00,,long,3.68694255,,,,0.1,Range/Chop,
2020-11-09 00:00:00+00:00,,long,3.4691337,,,,0.1,Range/Chop,
2020-11-16 00:00:00+00:00,,long,3.5365674,,,,0.1,Range/Chop,
2020-11-23 00:00:00+00:00,,long,3.9085533,,,,0.1,Range/Chop,
2020-11-30 00:00:00+00:00,,long,3.7142562,,,,0.1,Range/Chop,
2020-12-07 00:00:00+00:00,,long,3.6054018,,,,0.1,Range/Chop,
2020-12-14 00:00:00+00:00,,long,3.34177005,,,,0.1,Range/Chop,
2020-12-21 00:00:00+00:00,,long,3.30575205,,,,0.1,Range/Chop,
2020-12-28 00:00:00+00:00,,long,2.9182584,,,,0.1,Range/Chop,
2021-01-04 00:00:00+00:00,,long,3.4787385,,,,0.1,Range/Chop,
2021-01-11 00:00:00+00:00,,long,6.5442705,,,,0.1,Bull Trend,
2021-01-18 00:00:00+00:00,,long,13.1813874,,,,0.1,High Vol Expansion,
2021-01-25 00:00:00+00:00,,long,12.48634005,,,,0.1,High Vol Expansion,
2021-02-01 00:00:00+00:00,,long,13.4771352,,,,0.1,High Vol Expansion,
2021-02-08 00:00:00+00:00,,long,23.7492687,,,,0.1,High Vol Expansion,
2021-02-15 00:00:00+00:00,,long,39.189585,,,,0.1,High Vol Expansion,
2021-02-22 00:00:00+00:00,,long,36.2112966,,,,0.1,High Vol Expansion,
2021-03-01 00:00:00+00:00,,long,23.9817849,,,,0.1,High Vol Expansion,
