entry_time,exit_time,side,entry_price,exit_price,return,pnl,fees_paid,entry_regime,bars
2020-02-10 16:00:00.009000+00:00,2020-02-14 00:00:00+00:00,delta_neutral,,,0.01412726,141.2726,60,Bull Trend,11
2020-02-14 08:00:00+00:00,2020-02-14 16:00:00+00:00,delta_neutral,,,-0.00471184,-47.1184,60,Bull Trend,2
2020-02-15 00:00:00+00:00,2020-02-16 00:00:00+00:00,delta_neutral,,,-0.00041489,-4.1489,60,Bull Trend,4
2020-02-17 16:00:00+00:00,2020-02-18 00:00:00+00:00,delta_neutral,,,-0.00481985,-48.1985,60,Bull Trend,2
2020-02-19 08:00:00.001000+00:00,2020-02-19 16:00:00+00:00,delta_neutral,,,-0.00462314,-46.2314,60,Bull Trend,2
2020-02-20 08:00:00+00:00,2020-02-20 16:00:00+00:00,delta_neutral,,,-0.00507091,-50.7091,60,Bull Trend,2
2020-02-22 00:00:00+00:00,2020-02-22 08:00:00.001000+00:00,delta_neutral,,,-0.00485515,-48.5515,60,Bull Trend,2
2020-02-22 16:00:00+00:00,2020-02-23 16:00:00+00:00,delta_neutral,,,-0.00370075,-37.0075,60,Bull Trend,4
2020-03-04 16:00:00.001000+00:00,2020-03-05 00:00:00+00:00,delta_neutral,,,-0.0053634,-53.634,60,Bear Trend,2
2020-03-06 00:00:00.003000+00:00,2020-03-06 08:00:00+00:00,delta_neutral,,,-0.00520454,-52.0454,60,Range/Chop,2
2020-03-07 08:00:00.001000+00:00,2020-03-09 08:00:00+00:00,delta_neutral,,,-0.0014778,-14.778,60,Range/Chop,7
2020-03-13 08:00:00+00:00,2020-03-14 00:00:00+00:00,delta_neutral,,,0.00130747,13.0747,60,Crash/Capitulation,3
2020-03-14 08:00:00.001000+00:00,2020-03-15 00:00:00+00:00,delta_neutral,,,-0.0036796,-36.796,60,Crash/Capitulation,3
2020-03-25 08:00:00+00:00,2020-03-26 16:00:00+00:00,delta_neutral,,,-0.00181447,-18.1447,60,Bear Trend,5
2020-03-27 16:00:00+00:00,2020-03-28 08:00:00+00:00,delta_neutral,,,-0.00441631,-44.1631,60,Bear Trend,3
2020-03-28 16:00:00+00:00,2020-03-29 16:00:00+00:00,delta_neutral,,,-0.00305317,-30.5317,60,Bear Trend,4
2020-03-30 00:00:00+00:00,2020-03-30 16:00:00+00:00,delta_neutral,,,-0.00452838,-45.2838,60,Bear Trend,3
2020-04-02 08:00:00+00:00,2020-04-02 16:00:00+00:00,delta_neutral,,,-0.0054623,-54.623,60,Bear Trend,2
2020-04-03 08:00:00+00:00,2020-04-03 16:00:00+00:00,delta_neutral,,,-0.00506122,-50.6122,60,Bear Trend,2
2020-04-13 16:00:00+00:00,2020-04-14 08:00:00+00:00,delta_neutral,,,-0.00339351,-33.9351,60,Range/Chop,3
2020-04-14 16:00:00+00:00,2020-04-15 16:00:00+00:00,delta_neutral,,,-0.00220657,-22.0657,60,Range/Chop,4
2020-04-16 08:00:00+00:00,2020-04-18 08:00:00+00:00,delta_neutral,,,0.00373846,37.3846,60,Range/Chop,7
2020-04-19 00:00:00+00:00,2020-04-20 08:00:00+00:00,delta_neutral,,,-0.00207869,-20.7869,60,Range/Chop,5
2020-04-20 16:00:00+00:00,2020-04-21 08:00:00.001000+00:00,delta_neutral,,,-0.00251865,-25.1865,60,Range/Chop,3
2020-04-21 16:00:00+00:00,2020-04-22 08:00:00+00:00,delta_neutral,,,-0.00322629,-32.2629,60,Range/Chop,3
2020-04-23 08:00:00.001000+00:00,2020-04-23 16:00:00+00:00,delta_neutral,,,-0.0054677,-54.677,60,Range/Chop,2
2020-04-28 08:00:00+00:00,2020-04-28 16:00:00+00:00,delta_neutral,,,-0.00535608,-53.5608,60,Range/Chop,2
2020-04-30 00:00:00+00:00,2020-04-30 08:00:00+00:00,delta_neutral,,,-0.00518085,-51.8085,60,Range/Chop,2
2020-04-30 16:00:00+00:00,2020-05-01 08:00:00+00:00,delta_neutral,,,-0.0025515,-25.515,60,Range/Chop,3
2020-05-02 00:00:00+00:00,2020-05-02 16:00:00+00:00,delta_neutral,,,-0.00443896,-44.3896,60,Range/Chop,3
2020-05-03 16:00:00+00:00,2020-05-04 08:00:00.005000+00:00,delta_neutral,,,-0.00359079,-35.9079,60,Range/Chop,3
2020-05-06 00:00:00.001000+00:00,2020-05-06 16:00:00+00:00,delta_neutral,,,-0.00463021,-46.3021,60,Range/Chop,3
2020-05-10 08:00:00+00:00,2020-05-11 00:00:00+00:00,delta_neutral,,,-0.00460418,-46.0418,60,Range/Chop,3
2020-05-13 08:00:00+00:00,2020-05-13 16:00:00+00:00,delta_neutral,,,-0.00500864,-50.0864,60,Range/Chop,2
2020-05-14 08:00:00+00:00,2020-05-14 16:00:00+00:00,delta_neutral,,,-0.0049493,-49.493,60,Range/Chop,2
2020-06-02 08:00:00.002000+00:00,2020-06-02 16:00:00+00:00,delta_neutral,,,-0.0043401,-43.401,60,Range/Chop,2
2020-06-22 08:00:00+00:00,2020-06-23 00:00:00+00:00,delta_neutral,,,-0.00451908,-45.1908,60,Bear Trend,3
2020-06-25 00:00:00+00:00,2020-06-25 08:00:00+00:00,delta_neutral,,,-0.00534844,-53.4844,60,Bear Trend,2
2020-07-06 16:00:00+00:00,2020-07-07 00:00:00+00:00,delta_neutral,,,-0.00448175,-44.8175,60,Bear Trend,2
2020-07-07 08:00:00.006000+00:00,2020-07-08 08:00:00+00:00,delta_neutral,,,-0.00333212,-33.3212,60,Bear Trend,4
2020-07-12 16:00:00+00:00,2020-07-13 08:00:00.001000+00:00,delta_neutral,,,-0.00381629,-38.1629,60,Bull Trend,3
2020-07-13 16:00:00+00:00,2020-07-14 00:00:00.001000+00:00,delta_neutral,,,-0.00534307,-53.4307,60,Bull Trend,2
2020-07-14 08:00:00+00:00,2020-07-15 00:00:00+00:00,delta_neutral,,,-0.00406639,-40.6639,60,Bull Trend,3
2020-07-16 00:00:00+00:00,2020-07-16 08:00:00.002000+00:00,delta_neutral,,,-0.00509624,-50.9624,60,Bull Trend,2
2020-07-20 00:00:00+00:00,2020-07-20 08:00:00+00:00,delta_neutral,,,-0.00545898,-54.5898,60,Bull Trend,2
2020-07-21 08:00:00.001000+00:00,2020-07-21 16:00:00.004000+00:00,delta_neutral,,,-0.00530758,-53.0758,60,Bull Trend,2
2020-07-26 08:00:00+00:00,2020-07-26 16:00:00+00:00,delta_neutral,,,-0.00532555,-53.2555,60,Bull Trend,2
2020-07-27 08:00:00+00:00,2020-07-27 16:00:00+00:00,delta_neutral,,,-0.00510738,-51.0738,60,Bull Trend,2
2020-07-28 16:00:00+00:00,2020-07-29 00:00:00+00:00,delta_neutral,,,-0.00505529,-50.5529,60,Bull Trend,2
2020-07-29 08:00:00+00:00,2020-07-30 08:00:00.001000+00:00,delta_neutral,,,-0.00369686,-36.9686,60,Bull Trend,4
2020-07-31 00:00:00+00:00,2020-07-31 16:00:00+00:00,delta_neutral,,,-0.0046255,-46.255,60,Bull Trend,3
2020-08-02 00:00:00+00:00,2020-08-02 08:00:00.001000+00:00,delta_neutral,,,-0.00470411,-47.0411,60,Bull Trend,2
2020-08-04 08:00:00+00:00,2020-08-05 00:00:00+00:00,delta_neutral,,,-0.00426705,-42.6705,60,Bull Trend,3
2020-08-08 00:00:00+00:00,2020-08-09 08:00:00+00:00,delta_neutral,,,-0.00085443,-8.5443,60,Bull Trend,5
2020-08-13 08:00:00+00:00,2020-08-15 00:00:00+00:00,delta_neutral,,,-0.00217461,-21.7461,60,Range/Chop,6
2020-08-15 16:00:00.001000+00:00,2020-08-16 00:00:00+00:00,delta_neutral,,,-0.0050322,-50.322,60,Range/Chop,2
2020-08-17 00:00:00+00:00,2020-08-17 16:00:00+00:00,delta_neutral,,,-0.00427714,-42.7714,60,Range/Chop,3
2020-08-18 00:00:00.001000+00:00,2020-08-18 16:00:00+00:00,delta_neutral,,,-0.00315078,-31.5078,60,Range/Chop,3
2020-08-20 00:00:00.001000+00:00,2020-08-20 08:00:00+00:00,delta_neutral,,,-0.00425957,-42.5957,60,Range/Chop,2
2020-08-21 00:00:00+00:00,2020-08-21 08:00:00+00:00,delta_neutral,,,-0.00502638,-50.2638,60,Range/Chop,2
2020-08-28 08:00:00.001000+00:00,2020-08-29 00:00:00.002000+00:00,delta_neutral,,,-0.00460925,-46.0925,60,Range/Chop,3
2020-08-30 16:00:00+00:00,2020-08-31 08:00:00.001000+00:00,delta_neutral,,,-0.00405591,-40.5591,60,Range/Chop,3
2020-09-01 00:00:00+00:00,2020-09-02 16:00:00+00:00,delta_neutral,,,-0.00063318,-6.3318,60,Range/Chop,6
2020-09-05 16:00:00.001000+00:00,2020-09-06 08:00:00+00:00,delta_neutral,,,-0.00236054,-23.6054,60,Range/Chop,3
2020-09-07 16:00:00.001000+00:00,2020-09-09 16:00:00+00:00,delta_neutral,,,0.00180007,18.0007,60,Range/Chop,7
2020-09-11 00:00:00+00:00,2020-09-11 16:00:00+00:00,delta_neutral,,,-0.00473213,-47.3213,60,Range/Chop,3
2020-09-12 08:00:00+00:00,2020-09-13 08:00:00+00:00,delta_neutral,,,-0.00154292,-15.4292,60,Range/Chop,4
2020-09-13 16:00:00.004000+00:00,2020-09-16 08:00:00+00:00,delta_neutral,,,0.00757205,75.7205,60,Range/Chop,9
2020-09-16 16:00:00.001000+00:00,2020-09-17 08:00:00.012000+00:00,delta_neutral,,,-0.00368413,-36.8413,60,High Vol Expansion,3
2020-09-18 08:00:00.002000+00:00,2020-09-18 16:00:00.002000+00:00,delta_neutral,,,-0.00483778,-48.3778,60,Range/Chop,2
2020-09-27 00:00:00+00:00,2020-09-28 08:00:00+00:00,delta_neutral,,,-0.00232462,-23.2462,60,Range/Chop,5
2020-09-28 16:00:00.002000+00:00,2020-10-02 16:00:00.005000+00:00,delta_neutral,,,0.009872,98.72,60,Range/Chop,13
2020-10-03 00:00:00+00:00,2020-10-06 00:00:00+00:00,delta_neutral,,,0.01036135,103.6135,60,Range/Chop,10
2020-10-06 08:00:00.005000+00:00,2020-10-07 16:00:00+00:00,delta_neutral,,,-0.00205945,-20.5945,60,Range/Chop,5
2020-10-08 00:00:00+00:00,2020-10-08 08:00:00.009000+00:00,delta_neutral,,,-0.00546727,-54.6727,60,Range/Chop,2
2020-10-10 00:00:00.005000+00:00,2020-10-10 08:00:00+00:00,delta_neutral,,,-0.00512335,-51.2335,60,Range/Chop,2
2020-10-13 00:00:00.003000+00:00,2020-10-16 00:00:00.002000+00:00,delta_neutral,,,0.00340942,34.0942,60,Range/Chop,10
2020-10-30 08:00:00.002000+00:00,2020-10-30 16:00:00.002000+00:00,delta_neutral,,,-0.00544366,-54.4366,60,Range/Chop,2
2020-11-06 16:00:00.001000+00:00,2020-11-08 00:00:00+00:00,delta_neutral,,,-0.00313797,-31.3797,60,Range/Chop,5
2020-11-10 00:00:00.003000+00:00,2020-11-10 08:00:00.011000+00:00,delta_neutral,,,-0.00512313,-51.2313,60,Range/Chop,2
2020-11-11 08:00:00.009000+00:00,2020-11-11 16:00:00.003000+00:00,delta_neutral,,,-0.00508616,-50.8616,60,Range/Chop,2
2020-11-13 08:00:00+00:00,2020-11-13 16:00:00+00:00,delta_neutral,,,-0.00531105,-53.1105,60,Range/Chop,2
2020-11-17 08:00:00.003000+00:00,2020-11-17 16:00:00.003000+00:00,delta_neutral,,,-0.00503104,-50.3104,60,Range/Chop,2
2020-11-18 00:00:00.005000+00:00,2020-11-18 08:00:00.006000+00:00,delta_neutral,,,-0.00500492,-50.0492,60,Range/Chop,2
2020-11-18 16:00:00+00:00,2020-11-19 00:00:00.008000+00:00,delta_neutral,,,-0.00500016,-50.0016,60,Range/Chop,2
2020-11-20 16:00:00+00:00,2020-11-22 16:00:00+00:00,delta_neutral,,,-0.00016709,-1.6709,60,Range/Chop,7
2020-11-23 00:00:00.005000+00:00,2020-11-25 08:00:00.005000+00:00,delta_neutral,,,0.00379405,37.9405,60,Range/Chop,8
2020-11-25 16:00:00.015000+00:00,2020-11-26 00:00:00.012000+00:00,delta_neutral,,,-0.00413283,-41.3283,60,Range/Chop,2
2020-12-01 00:00:00+00:00,2020-12-01 16:00:00+00:00,delta_neutral,,,-0.00436916,-43.6916,60,Range/Chop,3
2020-12-02 16:00:00.005000+00:00,2020-12-04 00:00:00.006000+00:00,delta_neutral,,,-0.00286517,-28.6517,60,Range/Chop,5
2020-12-04 08:00:00.009000+00:00,2020-12-04 16:00:00+00:00,delta_neutral,,,-0.00540732,-54.0732,60,Range/Chop,2
2020-12-13 16:00:00+00:00,2020-12-14 08:00:00+00:00,delta_neutral,,,-0.00440121,-44.0121,60,Range/Chop,3
2020-12-17 00:00:00+00:00,2020-12-18 00:00:00+00:00,delta_neutral,,,-0.00261124,-26.1124,60,Range/Chop,4
2020-12-18 16:00:00+00:00,2020-12-19 08:00:00.018000+00:00,delta_neutral,,,-0.0038089,-38.089,60,Range/Chop,3
2020-12-19 16:00:00+00:00,2020-12-21 16:00:00+00:00,delta_neutral,,,0.00186655,18.6655,60,Range/Chop,7
2020-12-27 08:00:00+00:00,2020-12-27 16:00:00.001000+00:00,delta_neutral,,,-0.00502148,-50.2148,60,Range/Chop,2
2020-12-28 00:00:00.015000+00:00,2020-12-28 08:00:00.019000+00:00,delta_neutral,,,-0.00494772,-49.4772,60,Range/Chop,2
2020-12-28 16:00:00+00:00,2020-12-29 16:00:00+00:00,delta_neutral,,,-0.00273355,-27.3355,60,Range/Chop,4
2020-12-30 08:00:00.001000+00:00,2021-01-02 00:00:00+00:00,delta_neutral,,,-0.0006906,-6.906,60,Bull Trend,9
2021-01-02 16:00:00.006000+00:00,2021-01-05 08:00:00.003000+00:00,delta_neutral,,,0.00728397,72.8397,60,Bull Trend,9
2021-01-05 16:00:00.003000+00:00,2021-01-08 08:00:00+00:00,delta_neutral,,,0.00789332,78.9332,60,Bull Trend,9
2021-01-08 16:00:00+00:00,2021-01-09 00:00:00.009000+00:00,delta_neutral,,,-0.00504251,-50.4251,60,Bull Trend,2
2021-01-10 00:00:00+00:00,2021-01-10 16:00:00+00:00,delta_neutral,,,-0.00366382,-36.6382,60,Bull Trend,3
2021-01-14 08:00:00.012000+00:00,2021-01-16 00:00:00+00:00,delta_neutral,,,-0.0018836,-18.836,60,Bull Trend,6
2021-01-16 08:00:00.008000+00:00,2021-01-18 00:00:00+00:00,delta_neutral,,,-0.00107664,-10.7664,60,Bull Trend,6
2021-01-18 08:00:00.004000+00:00,2021-01-20 00:00:00.012000+00:00,delta_neutral,,,0.00172632,17.2632,60,Bull Trend,6
2021-01-24 16:00:00.005000+00:00,2021-01-25 00:00:00.007000+00:00,delta_neutral,,,-0.00491115,-49.1115,60,Range/Chop,2
2021-01-25 08:00:00.012000+00:00,2021-01-26 08:00:00+00:00,delta_neutral,,,-0.00389114,-38.9114,60,Range/Chop,4
2021-01-29 00:00:00.009000+00:00,2021-01-29 08:00:00+00:00,delta_neutral,,,-0.00528853,-52.8853,60,Range/Chop,2
2021-01-29 16:00:00+00:00,2021-01-30 00:00:00+00:00,delta_neutral,,,-0.00449328,-44.9328,60,Range/Chop,2
2021-02-01 16:00:00+00:00,2021-02-02 00:00:00+00:00,delta_neutral,,,-0.00389492,-38.9492,60,Range/Chop,2
2021-02-02 16:00:00+00:00,2021-02-03 08:00:00.006000+00:00,delta_neutral,,,-0.00321914,-32.1914,60,Range/Chop,3
2021-02-06 00:00:00.008000+00:00,2021-02-06 08:00:00.009000+00:00,delta_neutral,,,-0.00542525,-54.2525,60,Bull Trend,2
2021-02-06 16:00:00+00:00,2021-02-07 00:00:00+00:00,delta_neutral,,,-0.00503586,-50.3586,60,Bull Trend,2
2021-02-07 08:00:00.005000+00:00,2021-02-07 16:00:00.001000+00:00,delta_neutral,,,-0.00518047,-51.8047,60,Bull Trend,2
2021-02-08 08:00:00.001000+00:00,2021-02-13 16:00:00+00:00,delta_neutral,,,0.03081587,308.1587,60,Bull Trend,17
2021-02-14 00:00:00.013000+00:00,2021-02-15 08:00:00.006000+00:00,delta_neutral,,,0.00307703,30.7703,60,High Vol Expansion,5
2021-02-16 08:00:00+00:00,2021-02-17 00:00:00.005000+00:00,delta_neutral,,,-0.00379143,-37.9143,60,High Vol Expansion,3
2021-02-17 08:00:00.010000+00:00,2021-02-21 16:00:00.001000+00:00,delta_neutral,,,0.02094238,209.4238,60,High Vol Expansion,14
2021-02-22 00:00:00.006000+00:00,2021-02-22 16:00:00+00:00,delta_neutral,,,-0.00402446,-40.2446,60,High Vol Expansion,3
2021-02-24 08:00:00.016000+00:00,2021-02-24 16:00:00.011000+00:00,delta_neutral,,,-0.00510341,-51.0341,60,High Vol Expansion,2
2021-02-26 08:00:00.025000+00:00,2021-02-26 16:00:00.010000+00:00,delta_neutral,,,-0.00540544,-54.0544,60,High Vol Expansion,2
2021-03-07 16:00:00.008000+00:00,2021-03-08 08:00:00+00:00,delta_neutral,,,-0.00428515,-42.8515,60,High Vol Expansion,3
2021-03-08 16:00:00.006000+00:00,2021-03-10 08:00:00.006000+00:00,delta_neutral,,,-0.00072564,-7.2564,60,High Vol Expansion,6
2021-03-10 16:00:00.008000+00:00,2021-03-11 00:00:00+00:00,delta_neutral,,,-0.00482931,-48.2931,60,High Vol Expansion,2
2021-03-11 08:00:00+00:00,2021-03-12 16:00:00.011000+00:00,delta_neutral,,,-4.543e-05,-0.4543,60,High Vol Expansion,5
2021-03-13 00:00:00+00:00,2021-03-13 08:00:00.002000+00:00,delta_neutral,,,-0.00510019,-51.0019,60,High Vol Expansion,2
2021-03-13 16:00:00+00:00,2021-03-15 16:00:00.030000+00:00,delta_neutral,,,0.00136866,13.6866,60,High Vol Expansion,7
2021-03-16 00:00:00.005000+00:00,2021-03-16 08:00:00.008000+00:00,delta_neutral,,,-0.00524951,-52.4951,60,Bull Trend,2
2021-03-17 00:00:00.010000+00:00,2021-03-18 08:00:00+00:00,delta_neutral,,,-0.00267833,-26.7833,60,Bull Trend,5
2021-03-18 16:00:00+00:00,2021-03-19 00:00:00.011000+00:00,delta_neutral,,,-0.00454381,-45.4381,60,Bull Trend,2
2021-03-19 08:00:00.001000+00:00,2021-03-21 16:00:00+00:00,delta_neutral,,,0.00025282,2.5282,60,Bull Trend,8
2021-03-22 00:00:00.007000+00:00,2021-03-23 00:00:00+00:00,delta_neutral,,,-0.0036243,-36.243,60,Bull Trend,4
2021-03-26 16:00:00.012000+00:00,2021-03-27 00:00:00.018000+00:00,delta_neutral,,,-0.00545624,-54.5624,60,Bull Trend,2
2021-03-29 16:00:00+00:00,2021-03-30 00:00:00.018000+00:00,delta_neutral,,,-0.00504724,-50.4724,60,Bull Trend,2
2021-03-30 08:00:00.012000+00:00,2021-03-31 16:00:00+00:00,delta_neutral,,,-0.00261691,-26.1691,60,Bull Trend,5
2021-04-01 08:00:00.011000+00:00,2021-04-02 00:00:00+00:00,delta_neutral,,,-0.00411556,-41.1556,60,Bull Trend,3
2021-04-02 08:00:00+00:00,2021-04-04 00:00:00+00:00,delta_neutral,,,-2.323e-05,-0.2323,60,Bull Trend,6
2021-04-05 16:00:00.001000+00:00,2021-04-06 16:00:00.003000+00:00,delta_neutral,,,-0.00134412,-13.4412,60,Bull Trend,4
2021-04-07 00:00:00+00:00,2021-04-07 08:00:00.006000+00:00,delta_neutral,,,-0.00527953,-52.7953,60,Bull Trend,2
2021-04-08 08:00:00.003000+00:00,2021-04-08 16:00:00.005000+00:00,delta_neutral,,,-0.00516792,-51.6792,60,Bull Trend,2
2021-04-09 00:00:00+00:00,2021-04-09 08:00:00.004000+00:00,delta_neutral,,,-0.00485446,-48.5446,60,Bull Trend,2
2021-04-10 08:00:00.005000+00:00,2021-04-18 08:00:00.004000+00:00,delta_neutral,,,0.03498713,349.8713,60,Bull Trend,25
2021-04-21 00:00:00.013000+00:00,2021-04-21 08:00:00.001000+00:00,delta_neutral,,,-0.00506923,-50.6923,60,Bull Trend,2
2021-04-22 08:00:00+00:00,2021-04-22 16:00:00.001000+00:00,delta_neutral,,,-0.00490045,-49.0045,60,Bull Trend,2
2021-04-23 08:00:00.009000+00:00,2021-04-23 16:00:00.001000+00:00,delta_neutral,,,-0.00537007,-53.7007,60,Bull Trend,2
2021-04-29 16:00:00.003000+00:00,2021-04-30 00:00:00.004000+00:00,delta_neutral,,,-0.00509132,-50.9132,60,Bull Trend,2
2021-04-30 08:00:00.019000+00:00,2021-04-30 16:00:00.003000+00:00,delta_neutral,,,-0.00510776,-51.0776,60,Bull Trend,2
