entry_time,exit_time,side,entry_price,exit_price,return,pnl,fees_paid,entry_regime,bars
2019-10-02 16:00:00+00:00,2019-10-03 00:00:00+00:00,delta_neutral,,,-0.00515322,-51.5322,60,Bear Trend,2
2019-10-28 08:00:00+00:00,2019-10-29 08:00:00+00:00,delta_neutral,,,-0.00377763,-37.7763,60,Bull Trend,4
2019-10-30 16:00:00+00:00,2019-10-31 00:00:00+00:00,delta_neutral,,,-0.00534518,-53.4518,60,Bull Trend,2
2020-01-17 16:00:00+00:00,2020-01-18 00:00:00.001000+00:00,delta_neutral,,,-0.00533251,-53.3251,60,Bull Trend,2
2020-01-19 16:00:00+00:00,2020-01-20 00:00:00+00:00,delta_neutral,,,-0.00477831,-47.7831,60,Bull Trend,2
2020-01-23 16:00:00+00:00,2020-01-24 08:00:00+00:00,delta_neutral,,,-0.00450853,-45.0853,60,Bull Trend,3
2020-01-28 08:00:00+00:00,2020-01-30 00:00:00+00:00,delta_neutral,,,-0.00229106,-22.9106,60,Bull Trend,6
2020-01-31 00:00:00+00:00,2020-01-31 16:00:00+00:00,delta_neutral,,,-0.00429437,-42.9437,60,Bull Trend,3
2020-02-01 00:00:00+00:00,2020-02-01 16:00:00+00:00,delta_neutral,,,-0.0041029,-41.029,60,Bull Trend,3
2020-02-02 16:00:00+00:00,2020-02-03 08:00:00+00:00,delta_neutral,,,-0.00437937,-43.7937,60,Bull Trend,3
2020-02-04 00:00:00+00:00,2020-02-04 16:00:00+00:00,delta_neutral,,,-0.00408076,-40.8076,60,Bull Trend,3
2020-02-05 16:00:00+00:00,2020-02-07 00:00:00+00:00,delta_neutral,,,-0.00213763,-21.3763,60,Bull Trend,5
2020-02-08 08:00:00+00:00,2020-02-09 00:00:00+00:00,delta_neutral,,,-0.00395029,-39.5029,60,Bull Trend,3
2020-02-09 08:00:00+00:00,2020-02-11 00:00:00+00:00,delta_neutral,,,-0.00030865,-3.0865,60,Bull Trend,6
2020-02-11 08:00:00+00:00,2020-02-16 08:00:00+00:00,delta_neutral,,,0.00800468,80.0468,60,Bull Trend,16
2020-02-16 16:00:00+00:00,2020-02-17 00:00:00+00:00,delta_neutral,,,-0.00495974,-49.5974,60,Bull Trend,2
2020-02-17 08:00:00+00:00,2020-02-18 00:00:00+00:00,delta_neutral,,,-0.00420997,-42.0997,60,Bull Trend,3
2020-02-23 16:00:00+00:00,2020-02-24 00:00:00.015000+00:00,delta_neutral,,,-0.00485918,-48.5918,60,Bull Trend,2
2020-02-26 08:00:00.001000+00:00,2020-02-26 16:00:00+00:00,delta_neutral,,,-0.0051071,-51.071,60,Range/Chop,2
2020-02-29 00:00:00+00:00,2020-03-01 00:00:00+00:00,delta_neutral,,,-0.00366636,-36.6636,60,Range/Chop,4
