entry_time,exit_time,side,entry_price,exit_price,return,pnl,fees_paid,entry_regime,bars
2020-01-20 08:00:00+00:00,2020-01-20 16:00:00+00:00,delta_neutral,,,-0.00507357,-50.7357,60,Bull Trend,2
2020-01-28 16:00:00+00:00,2020-01-30 08:00:00+00:00,delta_neutral,,,-0.00120315,-12.0315,60,Bull Trend,6
2020-01-30 16:00:00+00:00,2020-02-02 00:00:00+00:00,delta_neutral,,,-5.856e-05,-0.5856,60,Bull Trend,8
2020-02-05 16:00:00+00:00,2020-02-07 00:00:00+00:00,delta_neutral,,,-0.00228493,-22.8493,60,Bull Trend,5
2020-02-09 00:00:00+00:00,2020-02-16 08:00:00+00:00,delta_neutral,,,0.02780383,278.0383,60,Bull Trend,23
2020-02-16 16:00:00+00:00,2020-02-18 00:00:00+00:00,delta_neutral,,,-0.0030657,-30.657,60,Bull Trend,5
2020-02-19 00:00:00+00:00,2020-02-20 00:00:00.004000+00:00,delta_neutral,,,-0.00344809,-34.4809,60,High Vol Expansion,4
2020-02-20 16:00:00+00:00,2020-02-22 16:00:00+00:00,delta_neutral,,,-0.00211388,-21.1388,60,High Vol Expansion,7
2020-02-23 00:00:00+00:00,2020-02-23 08:00:00+00:00,delta_neutral,,,-0.00479372,-47.9372,60,Bull Trend,2
2020-02-24 00:00:00.015000+00:00,2020-02-24 08:00:00+00:00,delta_neutral,,,-0.0050873,-50.873,60,Bull Trend,2
2020-02-25 16:00:00.001000+00:00,2020-02-26 00:00:00+00:00,delta_neutral,,,-0.00500787,-50.0787,60,Bull Trend,2
2020-02-26 08:00:00.001000+00:00,2020-02-27 00:00:00.001000+00:00,delta_neutral,,,-0.00438701,-43.8701,60,Bull Trend,3
2020-02-29 08:00:00+00:00,2020-02-29 16:00:00+00:00,delta_neutral,,,-0.00496778,-49.6778,60,Range/Chop,2
2020-03-12 08:00:00.001000+00:00,2020-03-12 16:00:00+00:00,delta_neutral,,,-0.00535474,-53.5474,60,Bear Trend,2
2020-03-13 08:00:00+00:00,2020-03-13 16:00:00.002000+00:00,delta_neutral,,,-0.00290231,-29.0231,60,Crash/Capitulation,2
2020-05-02 16:00:00+00:00,2020-05-03 00:00:00+00:00,delta_neutral,,,-0.00513977,-51.3977,60,Bull Trend,2
2020-05-06 16:00:00+00:00,2020-05-07 00:00:00+00:00,delta_neutral,,,-0.00531802,-53.1802,60,Bull Trend,2
2020-05-08 00:00:00+00:00,2020-05-08 08:00:00.001000+00:00,delta_neutral,,,-0.00503693,-50.3693,60,Bull Trend,2
2020-07-23 00:00:00.001000+00:00,2020-07-23 16:00:00.001000+00:00,delta_neutral,,,-0.00417793,-41.7793,60,Range/Chop,3
2020-07-24 00:00:00+00:00,2020-07-24 16:00:00+00:00,delta_neutral,,,-0.00404602,-40.4602,60,Range/Chop,3
2020-07-26 08:00:00+00:00,2020-08-01 00:00:00.005000+00:00,delta_neutral,,,0.00889994,88.9994,60,Bull Trend,18
2020-08-01 16:00:00.001000+00:00,2020-08-02 16:00:00.001000+00:00,delta_neutral,,,-0.00254645,-25.4645,60,Bull Trend,4
2020-08-03 08:00:00.001000+00:00,2020-08-04 00:00:00.003000+00:00,delta_neutral,,,-0.00458421,-45.8421,60,High Vol Expansion,3
2020-08-04 08:00:00+00:00,2020-08-07 08:00:00+00:00,delta_neutral,,,9.713e-05,0.9713,60,High Vol Expansion,10
2020-08-10 08:00:00+00:00,2020-08-11 00:00:00.001000+00:00,delta_neutral,,,-0.00390969,-39.0969,60,Bull Trend,3
2020-08-11 08:00:00+00:00,2020-08-12 00:00:00+00:00,delta_neutral,,,-0.00461289,-46.1289,60,Bull Trend,3
2020-08-13 08:00:00+00:00,2020-08-16 16:00:00+00:00,delta_neutral,,,0.00384519,38.4519,60,Bull Trend,11
2020-08-17 00:00:00+00:00,2020-08-19 00:00:00+00:00,delta_neutral,,,-0.0005212,-5.212,60,Bull Trend,7
2020-09-01 16:00:00+00:00,2020-09-02 00:00:00+00:00,delta_neutral,,,-0.00499025,-49.9025,60,Bull Trend,2
2020-09-02 08:00:00.006000+00:00,2020-09-02 16:00:00+00:00,delta_neutral,,,-0.00529988,-52.9988,60,Bull Trend,2
2020-10-21 16:00:00+00:00,2020-10-23 08:00:00+00:00,delta_neutral,,,-0.00252549,-25.2549,60,Range/Chop,6
2020-10-24 00:00:00+00:00,2020-10-24 08:00:00+00:00,delta_neutral,,,-0.00506436,-50.6436,60,Range/Chop,2
2020-11-05 00:00:00.017000+00:00,2020-11-06 00:00:00+00:00,delta_neutral,,,-0.00345201,-34.5201,60,Range/Chop,4
2020-11-06 08:00:00.001000+00:00,2020-11-07 00:00:00.001000+00:00,delta_neutral,,,-0.00402829,-40.2829,60,Range/Chop,3
2020-11-07 08:00:00+00:00,2020-11-08 00:00:00+00:00,delta_neutral,,,-0.00416772,-41.6772,60,Range/Chop,3
2020-11-08 16:00:00+00:00,2020-11-09 08:00:00.001000+00:00,delta_neutral,,,-0.0046569,-46.569,60,Range/Chop,3
2020-11-13 16:00:00+00:00,2020-11-14 08:00:00.004000+00:00,delta_neutral,,,-0.0047833,-47.833,60,Bull Trend,3
2020-11-18 00:00:00.005000+00:00,2020-11-18 08:00:00.006000+00:00,delta_neutral,,,-0.00472363,-47.2363,60,Bull Trend,2
2020-11-20 08:00:00.005000+00:00,2020-11-21 00:00:00+00:00,delta_neutral,,,-0.00430558,-43.0558,60,Bull Trend,3
2020-11-21 16:00:00.001000+00:00,2020-11-26 00:00:00.012000+00:00,delta_neutral,,,0.00638406,63.8406,60,Bull Trend,14
2020-11-30 16:00:00+00:00,2020-12-01 00:00:00+00:00,delta_neutral,,,-0.00470015,-47.0015,60,Bull Trend,2
2020-12-01 08:00:00.003000+00:00,2020-12-01 16:00:00+00:00,delta_neutral,,,-0.00509656,-50.9656,60,Bull Trend,2
2020-12-03 16:00:00+00:00,2020-12-04 00:00:00.006000+00:00,delta_neutral,,,-0.00485527,-48.5527,60,Bull Trend,2
2020-12-16 16:00:00+00:00,2020-12-18 00:00:00+00:00,delta_neutral,,,-0.00213976,-21.3976,60,Bull Trend,5
