entry_time,exit_time,side,entry_price,exit_price,return,pnl,fees_paid,entry_regime,bars
2020-11-17 08:00:00.003000+00:00,2020-11-18 08:00:00.006000+00:00,delta_neutral,,,-0.00330099,-33.0099,60,Range/Chop,4
2020-11-20 16:00:00+00:00,2020-11-21 00:00:00+00:00,delta_neutral,,,-0.00523546,-52.3546,60,Range/Chop,2
2020-11-21 08:00:00+00:00,2020-11-22 16:00:00+00:00,delta_neutral,,,-0.0030399,-30.399,60,Range/Chop,5
2020-11-23 00:00:00.005000+00:00,2020-11-23 08:00:00+00:00,delta_neutral,,,-0.00457824,-45.7824,60,Bull Trend,2
2020-11-23 16:00:00.003000+00:00,2020-11-25 00:00:00.005000+00:00,delta_neutral,,,0.00025957,2.5957,60,Bull Trend,5
2020-11-25 16:00:00.015000+00:00,2020-11-26 08:00:00.002000+00:00,delta_neutral,,,-0.00419141,-41.9141,60,Bull Trend,3
2020-12-01 08:00:00.003000+00:00,2020-12-01 16:00:00+00:00,delta_neutral,,,-0.00491933,-49.1933,60,Bull Trend,2
2020-12-16 16:00:00+00:00,2020-12-17 00:00:00+00:00,delta_neutral,,,-0.00498103,-49.8103,60,Range/Chop,2
2020-12-17 08:00:00+00:00,2020-12-18 00:00:00+00:00,delta_neutral,,,-0.00331206,-33.1206,60,Range/Chop,3
2020-12-19 00:00:00+00:00,2020-12-19 08:00:00.018000+00:00,delta_neutral,,,-0.00478095,-47.8095,60,Range/Chop,2
2020-12-19 16:00:00+00:00,2020-12-20 08:00:00.011000+00:00,delta_neutral,,,-0.00393486,-39.3486,60,Range/Chop,3
2020-12-28 16:00:00+00:00,2020-12-29 08:00:00.003000+00:00,delta_neutral,,,-0.00463896,-46.3896,60,Range/Chop,3
2021-01-01 16:00:00.003000+00:00,2021-01-02 00:00:00+00:00,delta_neutral,,,-0.00535356,-53.5356,60,Range/Chop,2
2021-01-02 08:00:00+00:00,2021-01-08 08:00:00+00:00,delta_neutral,,,0.01842429,184.2429,60,Range/Chop,19
2021-01-08 16:00:00+00:00,2021-01-09 00:00:00.009000+00:00,delta_neutral,,,-0.00423196,-42.3196,60,Bull Trend,2
2021-01-09 16:00:00+00:00,2021-01-10 16:00:00+00:00,delta_neutral,,,0.00166283,16.6283,60,High Vol Expansion,4
2021-01-11 00:00:00+00:00,2021-01-11 08:00:00.012000+00:00,delta_neutral,,,-0.00497642,-49.7642,60,High Vol Expansion,2
2021-01-15 00:00:00.002000+00:00,2021-01-16 00:00:00+00:00,delta_neutral,,,-0.00311366,-31.1366,60,High Vol Expansion,4
2021-01-16 08:00:00.008000+00:00,2021-01-17 00:00:00.009000+00:00,delta_neutral,,,-0.00394339,-39.4339,60,High Vol Expansion,3
2021-01-18 00:00:00+00:00,2021-01-20 08:00:00.001000+00:00,delta_neutral,,,0.0010644,10.644,60,High Vol Expansion,8
2021-01-24 08:00:00.011000+00:00,2021-01-24 16:00:00.005000+00:00,delta_neutral,,,-0.00522542,-52.2542,60,Bull Trend,2
2021-01-25 08:00:00.012000+00:00,2021-01-26 00:00:00.007000+00:00,delta_neutral,,,-0.00397829,-39.7829,60,Bull Trend,3
2021-01-28 16:00:00+00:00,2021-01-30 00:00:00+00:00,delta_neutral,,,-0.00120665,-12.0665,60,High Vol Expansion,5
2021-01-30 16:00:00+00:00,2021-02-01 00:00:00.001000+00:00,delta_neutral,,,-0.00128178,-12.8178,60,Bull Trend,5
2021-02-01 16:00:00+00:00,2021-02-04 16:00:00.011000+00:00,delta_neutral,,,0.00774319,77.4319,60,Bull Trend,10
2021-02-05 00:00:00.009000+00:00,2021-02-07 08:00:00.005000+00:00,delta_neutral,,,0.00931054,93.1054,60,Bull Trend,8
2021-02-08 16:00:00+00:00,2021-02-15 08:00:00.006000+00:00,delta_neutral,,,0.05335365,533.5365,60,High Vol Expansion,21
2021-02-15 16:00:00+00:00,2021-02-16 00:00:00.001000+00:00,delta_neutral,,,-0.00476384,-47.6384,60,High Vol Expansion,2
2021-02-16 08:00:00+00:00,2021-02-17 00:00:00.005000+00:00,delta_neutral,,,-0.00457244,-45.7244,60,High Vol Expansion,3
2021-02-17 16:00:00.008000+00:00,2021-02-21 08:00:00.012000+00:00,delta_neutral,,,0.01921643,192.1643,60,High Vol Expansion,12
2021-02-21 16:00:00.001000+00:00,2021-02-22 00:00:00.006000+00:00,delta_neutral,,,-0.00506454,-50.6454,60,Crash/Capitulation,2
2021-02-22 16:00:00+00:00,2021-02-23 00:00:00+00:00,delta_neutral,,,-0.00434307,-43.4307,60,High Vol Expansion,2
2021-02-23 08:00:00.006000+00:00,2021-02-24 00:00:00.012000+00:00,delta_neutral,,,-0.00342571,-34.2571,60,High Vol Expansion,3
2021-02-25 00:00:00.007000+00:00,2021-02-25 08:00:00+00:00,delta_neutral,,,-0.00535114,-53.5114,60,High Vol Expansion,2
2021-03-03 08:00:00.016000+00:00,2021-03-03 16:00:00+00:00,delta_neutral,,,-0.00526499,-52.6499,60,High Vol Expansion,2
