entry_time,exit_time,side,entry_price,exit_price,return,pnl,fees_paid,entry_regime,bars
2020-01-06 16:00:00+00:00,2020-01-07 16:00:00+00:00,delta_neutral,,,0.00166011,16.6011,60,Bear Trend,4
2020-01-08 08:00:00+00:00,2020-01-09 00:00:00+00:00,delta_neutral,,,-0.00385252,-38.5252,60,Bull Trend,3
2020-01-14 16:00:00.001000+00:00,2020-01-16 08:00:00+00:00,delta_neutral,,,0.00214267,21.4267,60,Bull Trend,6
2020-01-19 00:00:00+00:00,2020-01-20 00:00:00+00:00,delta_neutral,,,-0.00114026,-11.4026,60,Bull Trend,4
2020-01-29 00:00:00.001000+00:00,2020-02-01 00:00:00+00:00,delta_neutral,,,0.00413738,41.3738,60,Bull Trend,10
2020-02-02 00:00:00+00:00,2020-02-05 08:00:00+00:00,delta_neutral,,,0.00153677,15.3677,60,Bull Trend,11
2020-02-05 16:00:00+00:00,2020-02-08 08:00:00+00:00,delta_neutral,,,0.00478613,47.8613,60,Bull Trend,9
2020-02-08 16:00:00+00:00,2020-02-14 00:00:00+00:00,delta_neutral,,,0.01917039,191.7039,60,Bull Trend,17
2020-02-14 08:00:00+00:00,2020-02-16 00:00:00+00:00,delta_neutral,,,-0.00031458,-3.1458,60,Bull Trend,6
2020-02-16 08:00:00+00:00,2020-02-16 16:00:00+00:00,delta_neutral,,,-0.00524447,-52.4447,60,Bull Trend,2
2020-02-18 08:00:00+00:00,2020-02-18 16:00:00+00:00,delta_neutral,,,-0.00500146,-50.0146,60,Bull Trend,2
2020-02-19 00:00:00+00:00,2020-02-20 00:00:00.004000+00:00,delta_neutral,,,-0.00363343,-36.3343,60,Bull Trend,4
2020-02-23 08:00:00+00:00,2020-02-24 00:00:00.015000+00:00,delta_neutral,,,-0.00426095,-42.6095,60,Bull Trend,3
2020-03-08 00:00:00.001000+00:00,2020-03-08 08:00:00+00:00,delta_neutral,,,-0.00500481,-50.0481,60,Range/Chop,2
2020-03-12 16:00:00+00:00,2020-03-13 00:00:00+00:00,delta_neutral,,,-0.00536776,-53.6776,60,Bear Trend,2
2020-03-13 08:00:00+00:00,2020-03-14 00:00:00+00:00,delta_neutral,,,-0.00015157,-1.5157,60,Crash/Capitulation,3
2020-03-16 16:00:00.001000+00:00,2020-03-17 00:00:00+00:00,delta_neutral,,,-0.0052266,-52.266,60,Bear Trend,2
2020-05-09 16:00:00+00:00,2020-05-10 00:00:00+00:00,delta_neutral,,,-0.0049582,-49.582,60,Bull Trend,2
2020-07-09 16:00:00+00:00,2020-07-10 00:00:00+00:00,delta_neutral,,,-0.00533882,-53.3882,60,Bull Trend,2
2020-07-24 00:00:00+00:00,2020-07-24 08:00:00+00:00,delta_neutral,,,-0.00483713,-48.3713,60,Range/Chop,2
2020-07-24 16:00:00+00:00,2020-07-27 16:00:00+00:00,delta_neutral,,,0.00097249,9.7249,60,Range/Chop,10
2020-07-28 00:00:00+00:00,2020-08-01 08:00:00+00:00,delta_neutral,,,0.0063706,63.706,60,Bull Trend,14
2020-08-02 00:00:00+00:00,2020-08-03 00:00:00+00:00,delta_neutral,,,-0.0027778,-27.778,60,Bull Trend,4
2020-08-03 08:00:00.001000+00:00,2020-08-03 16:00:00+00:00,delta_neutral,,,-0.00511297,-51.1297,60,High Vol Expansion,2
2020-08-06 00:00:00+00:00,2020-08-08 00:00:00+00:00,delta_neutral,,,-0.00161191,-16.1191,60,High Vol Expansion,7
2020-08-09 00:00:00+00:00,2020-08-10 16:00:00.001000+00:00,delta_neutral,,,-0.00165939,-16.5939,60,High Vol Expansion,6
2020-08-11 08:00:00+00:00,2020-08-12 00:00:00+00:00,delta_neutral,,,-0.00465217,-46.5217,60,Bull Trend,3
2020-08-14 00:00:00+00:00,2020-08-19 00:00:00+00:00,delta_neutral,,,0.00991665,99.1665,60,Bull Trend,16
2020-08-31 00:00:00+00:00,2020-08-31 08:00:00.001000+00:00,delta_neutral,,,-0.00503154,-50.3154,60,Range/Chop,2
