entry_time,exit_time,side,entry_price,exit_price,return,pnl,fees_paid,entry_regime,bars
2018-04-18 01:00:00+00:00,2018-04-18 02:00:00+00:00,short,0.24999,0.24913,0.0003880275211,3.880275211,16.5,Range/Chop,1
2018-04-18 02:00:00+00:00,2018-04-18 07:00:00+00:00,short,0.24913,0.25138,-0.001078690304,-10.78690304,18,Range/Chop,5
2018-04-18 07:00:00+00:00,2018-04-18 10:00:00+00:00,short,0.25138,0.24951,0.001342019919,13.42019919,16.5,Range/Chop,3
2018-04-18 10:00:00+00:00,2018-04-18 12:00:00+00:00,short,0.24951,0.25037,-0.0005020381564,-5.020381564,18,Range/Chop,2
2018-04-18 12:00:00+00:00,2018-04-18 15:00:00+00:00,short,0.25037,0.24857,0.0012736434,12.736434,16.5,Range/Chop,3
2018-04-18 15:00:00+00:00,2018-04-18 17:00:00+00:00,short,0.24857,0.25358,-0.002160104766,-21.60104766,18,Range/Chop,2
2018-04-18 17:00:00+00:00,2018-04-18 20:00:00+00:00,short,0.25358,0.25569,-0.001813202942,-18.13202942,19.5,Range/Chop,3
2018-04-18 20:00:00+00:00,2018-04-18 22:00:00+00:00,short,0.25569,0.2612,-0.006573977806,-65.73977806,21,Range/Chop,2
2018-04-18 22:00:00+00:00,2018-04-19 01:00:00+00:00,short,0.2612,0.26675,-0.008620016024,-86.20016024,16.5,Range/Chop,3
2018-04-19 01:00:00+00:00,2018-04-19 02:00:00+00:00,short,0.26675,0.2727,-0.002680552952,-26.80552952,18,Range/Chop,1
2018-04-19 02:00:00+00:00,2018-04-19 05:00:00+00:00,short,0.2727,0.268,0.003306320058,33.06320058,16.5,Range/Chop,3
2018-04-19 05:00:00+00:00,2018-04-19 08:00:00+00:00,short,0.268,0.262,0.002105405042,21.05405042,15,Range/Chop,3
2018-04-19 13:00:00+00:00,2018-04-19 14:00:00+00:00,short,0.2672,0.27168,-0.001826646707,-18.26646707,18,Range/Chop,1
2018-04-19 14:00:00+00:00,2018-04-19 15:00:00+00:00,short,0.27168,0.26961,0.00137385159,13.7385159,16.5,Range/Chop,1
2018-04-19 15:00:00+00:00,2018-04-19 17:00:00+00:00,short,0.26961,0.27017,-0.0003590344023,-3.590344023,18,Range/Chop,2
2018-04-19 17:00:00+00:00,2018-04-19 20:00:00+00:00,short,0.27017,0.269,0.0006721966443,6.721966443,16.5,Range/Chop,3
2018-04-19 20:00:00+00:00,2018-04-20 00:00:00+00:00,short,0.269,0.27004,-0.0005369305036,-5.369305036,18,Range/Chop,4
2018-04-20 00:00:00+00:00,2018-04-20 01:00:00+00:00,short,0.27004,0.2772,-0.005452918086,-54.52918086,16.5,Range/Chop,1
2018-04-20 01:00:00+00:00,2018-04-20 02:00:00+00:00,short,0.2772,0.2838,-0.002530952381,-25.30952381,19.5,Range/Chop,1
2018-04-20 02:00:00+00:00,2018-04-20 03:00:00+00:00,short,0.2838,0.27877,0.005017124736,50.17124736,18,Range/Chop,1
2018-04-20 03:00:00+00:00,2018-04-20 05:00:00+00:00,short,0.27877,0.27015,0.006042122293,60.42122293,15,Range/Chop,2
2018-04-20 06:00:00+00:00,2018-04-20 11:00:00+00:00,short,0.27388,0.28295,-0.003442780122,-34.42780122,18,Range/Chop,5
2018-04-20 11:00:00+00:00,2018-04-20 12:00:00+00:00,short,0.28295,0.28509,-0.001662634741,-16.62634741,19.5,Range/Chop,1
2018-04-20 12:00:00+00:00,2018-04-20 18:00:00+00:00,short,0.28509,0.2919,-0.007272866075,-72.72866075,21,Range/Chop,6
2018-04-20 18:00:00+00:00,2018-04-20 20:00:00+00:00,short,0.2919,0.29743,-0.007679199901,-76.79199901,22.5,Range/Chop,2
2018-04-20 20:00:00+00:00,2018-04-21 00:00:00+00:00,short,0.29743,0.30161,-0.007213526373,-72.13526373,24,Range/Chop,4
2018-04-21 00:00:00+00:00,2018-04-21 01:00:00+00:00,short,0.30161,0.30132,0.0004269039488,4.269039488,15,Range/Chop,1
2018-04-21 02:00:00+00:00,2018-04-21 03:00:00+00:00,long,0.29201,0.29491,0.001686233348,16.86233348,16.5,Range/Chop,1
2018-04-21 03:00:00+00:00,2018-04-21 07:00:00+00:00,long,0.29491,0.29915,0.001284998883,12.84998883,15,Range/Chop,4
2018-04-21 08:00:00+00:00,2018-04-21 09:00:00+00:00,long,0.29564,0.2856,-0.003546022189,-35.46022189,19.5,Range/Chop,1
2018-04-21 09:00:00+00:00,2018-04-21 11:00:00+00:00,long,0.2856,0.27559,-0.01087875556,-108.7875556,21,Range/Chop,2
2018-04-21 11:00:00+00:00,2018-04-21 13:00:00+00:00,long,0.27559,0.28065,0.007177272591,71.77272591,19.5,Range/Chop,2
2018-04-21 13:00:00+00:00,2018-04-21 16:00:00+00:00,long,0.28065,0.29044,0.01026558017,102.6558017,18,Range/Chop,3
2018-04-21 16:00:00+00:00,2018-04-21 17:00:00+00:00,long,0.29044,0.28189,-0.006037618785,-60.37618785,19.5,Range/Chop,1
2018-04-21 17:00:00+00:00,2018-04-21 21:00:00+00:00,long,0.28189,0.2799,-0.002246484862,-22.46484862,21,Range/Chop,4
2018-04-21 21:00:00+00:00,2018-04-21 22:00:00+00:00,long,0.2799,0.28188,0.002679581994,26.79581994,19.5,Range/Chop,1
2018-04-21 22:00:00+00:00,2018-04-22 00:00:00+00:00,long,0.28188,0.28669,0.004957733309,49.57733309,18,Range/Chop,2
2018-04-22 00:00:00+00:00,2018-04-22 01:00:00+00:00,long,0.28669,0.28,-0.004817061983,-48.17061983,16.5,Range/Chop,1
2018-04-22 01:00:00+00:00,2018-04-22 03:00:00+00:00,long,0.28,0.28408,0.001308417999,13.08417999,15,Range/Chop,2
2018-04-22 04:00:00+00:00,2018-04-22 07:00:00+00:00,long,0.28122,0.28671,0.001799715527,17.99715527,15,Range/Chop,3
2018-04-22 09:00:00+00:00,2018-04-22 13:00:00+00:00,short,0.29146,0.28821,0.0009489013094,9.489013094,15,Range/Chop,4
2018-04-22 15:00:00+00:00,2018-04-22 20:00:00+00:00,short,0.2925,0.28729,0.001636082476,16.36082476,15,Range/Chop,5
2018-04-23 00:00:00+00:00,2018-04-23 01:00:00+00:00,long,0.2816,0.28337,0.0004785511364,4.785511364,15,Range/Chop,1
2018-04-23 07:00:00+00:00,2018-04-23 18:00:00+00:00,short,0.28499,0.28414,0.000143571669,1.43571669,15,Range/Chop,11
2018-04-23 22:00:00+00:00,2018-04-24 02:00:00+00:00,short,0.28622,0.29698,-0.003867655369,-38.67655369,18,Range/Chop,4
2018-04-24 02:00:00+00:00,2018-04-24 08:00:00+00:00,short,0.29698,0.2954,0.0008767438127,8.767438127,16.5,Range/Chop,6
2018-04-24 08:00:00+00:00,2018-04-24 09:00:00+00:00,short,0.2954,0.2973,-0.0007931956669,-7.931956669,18,Range/Chop,1
2018-04-24 09:00:00+00:00,2018-04-24 12:00:00+00:00,short,0.2973,0.3112,-0.009432064568,-94.32064568,21,Range/Chop,3
2018-04-24 12:00:00+00:00,2018-04-24 13:00:00+00:00,short,0.3112,0.3151,-0.00531285347,-53.1285347,22.5,Range/Chop,1
2018-04-24 13:00:00+00:00,2018-04-24 14:00:00+00:00,short,0.3151,0.30292,0.01917719772,191.7719772,19.5,Range/Chop,1
2018-04-24 14:00:00+00:00,2018-04-24 15:00:00+00:00,short,0.30292,0.30832,-0.005647946653,-56.47946653,21,Range/Chop,1
2018-04-24 15:00:00+00:00,2018-04-24 18:00:00+00:00,short,0.30832,0.31405,-0.007554431436,-75.54431436,22.5,Range/Chop,3
2018-04-24 18:00:00+00:00,2018-04-25 00:00:00+00:00,short,0.31405,0.3085,0.008537480954,85.37480954,21,Range/Chop,6
2018-04-25 00:00:00+00:00,2018-04-25 01:00:00+00:00,short,0.3085,0.30268,0.007396191248,73.96191248,16.5,Range/Chop,1
2018-04-25 01:00:00+00:00,2018-04-25 04:00:00+00:00,long,0.30268,0.281,-0.007915855792,-79.15855792,21,Range/Chop,3
2018-04-25 04:00:00+00:00,2018-04-25 05:00:00+00:00,long,0.281,0.269,-0.01753185053,-175.3185053,24,Range/Chop,1
2018-04-25 05:00:00+00:00,2018-04-25 06:00:00+00:00,long,0.269,0.28501,0.03541003717,354.1003717,21,Range/Chop,1
2018-04-25 06:00:00+00:00,2018-04-25 07:00:00+00:00,long,0.28501,0.2877,0.00347530613,34.7530613,19.5,Range/Chop,1
2018-04-25 07:00:00+00:00,2018-04-25 09:00:00+00:00,long,0.2877,0.27801,-0.01020661685,-102.0661685,22.5,Range/Chop,2
2018-04-25 09:00:00+00:00,2018-04-25 11:00:00+00:00,long,0.27801,0.27285,-0.00957200641,-95.7200641,24,Range/Chop,2
2018-04-25 11:00:00+00:00,2018-04-25 12:00:00+00:00,long,0.27285,0.27646,0.007788427708,77.88427708,22.5,Range/Chop,1
2018-04-25 12:00:00+00:00,2018-04-25 14:00:00+00:00,long,0.27646,0.26901,-0.01361965649,-136.1965649,24,Range/Chop,2
2018-04-25 14:00:00+00:00,2018-04-25 15:00:00+00:00,long,0.26901,0.26679,-0.005101488792,-51.01488792,25.5,Range/Chop,1
