entry_time,exit_time,side,entry_price,exit_price,return,pnl,fees_paid,entry_regime,bars
2018-01-02 01:00:00+00:00,2018-01-02 02:00:00+00:00,short,784.75,850.25,-0.0169932144,-169.932144,25.5,Range/Chop,1
2018-01-02 02:00:00+00:00,2018-01-02 04:00:00+00:00,short,850.25,827,0.01798435437,179.8435437,22.5,Range/Chop,2
2018-01-02 04:00:00+00:00,2018-01-02 06:00:00+00:00,short,827,842.25,-0.009455802466,-94.55802466,24,Range/Chop,2
2018-01-02 06:00:00+00:00,2018-01-02 09:00:00+00:00,short,842.25,837.87,0.00290316235,29.0316235,22.5,Range/Chop,3
2018-01-02 09:00:00+00:00,2018-01-02 11:00:00+00:00,short,837.87,848.26,-0.006358943675,-63.58943675,24,Range/Chop,2
2018-01-02 11:00:00+00:00,2018-01-02 14:00:00+00:00,short,848.26,861.93,-0.009957736533,-99.57736533,25.5,Range/Chop,3
2018-01-02 14:00:00+00:00,2018-01-02 20:00:00+00:00,short,861.93,850.94,0.008608542543,86.08542543,24,Range/Chop,6
2018-01-02 20:00:00+00:00,2018-01-02 21:00:00+00:00,short,850.94,853.45,-0.001919807507,-19.19807507,25.5,Range/Chop,1
2018-01-02 21:00:00+00:00,2018-01-02 23:00:00+00:00,short,853.45,852.94,0.0001793500481,1.793500481,24,Range/Chop,2
2018-01-02 23:00:00+00:00,2018-01-03 00:00:00+00:00,short,852.94,855.13,-0.001690553849,-16.90553849,25.5,Range/Chop,1
2018-01-03 00:00:00+00:00,2018-01-03 01:00:00+00:00,short,855.13,876.41,-0.01756957363,-175.6957363,16.5,Range/Chop,1
2018-01-03 01:00:00+00:00,2018-01-03 03:00:00+00:00,short,876.41,857.05,0.001321346601,13.21346601,15,Range/Chop,2
2018-01-03 06:00:00+00:00,2018-01-03 10:00:00+00:00,short,876.11,843,0.003655891032,36.55891032,16.5,Range/Chop,4
2018-01-03 10:00:00+00:00,2018-01-03 12:00:00+00:00,long,843,863.3,0.002100711275,21.00711275,15,Range/Chop,2
2018-01-03 14:00:00+00:00,2018-01-03 19:00:00+00:00,short,868.03,923,-0.00646178729,-64.6178729,21,Range/Chop,5
2018-01-03 19:00:00+00:00,2018-01-03 21:00:00+00:00,short,923,913.01,0.003894860737,38.94860737,19.5,Range/Chop,2
2018-01-03 21:00:00+00:00,2018-01-03 22:00:00+00:00,short,913.01,917.01,-0.001464333907,-14.64333907,21,Range/Chop,1
2018-01-03 22:00:00+00:00,2018-01-03 23:00:00+00:00,short,917.01,946.12,-0.01284778956,-128.4778956,22.5,Range/Chop,1
2018-01-03 23:00:00+00:00,2018-01-04 01:00:00+00:00,short,946.12,920.15,0.01371577984,137.1577984,16.5,Range/Chop,2
2018-01-04 01:00:00+00:00,2018-01-04 03:00:00+00:00,long,920.15,926.67,-0.0001928564151,-1.928564151,15,Range/Chop,2
2018-01-04 09:00:00+00:00,2018-01-04 11:00:00+00:00,long,911,930.1,0.001937914929,19.37914929,15,Range/Chop,2
2018-01-04 12:00:00+00:00,2018-01-04 13:00:00+00:00,short,949.99,941,0.0007963257508,7.963257508,15,Range/Chop,1
2018-01-04 14:00:00+00:00,2018-01-04 15:00:00+00:00,short,982,1006.78,-0.008020264766,-80.20264766,21,Range/Chop,1
2018-01-04 15:00:00+00:00,2018-01-04 16:00:00+00:00,short,1006.78,989.95,0.006536664415,65.36664415,19.5,Range/Chop,1
2018-01-04 16:00:00+00:00,2018-01-04 19:00:00+00:00,short,989.95,970.61,0.005715861727,57.15861727,18,Range/Chop,3
2018-01-04 19:00:00+00:00,2018-01-04 20:00:00+00:00,short,970.61,951,0.003890757874,38.90757874,16.5,Range/Chop,1
2018-01-04 20:00:00+00:00,2018-01-05 00:00:00+00:00,short,951,940,0.001007040642,10.07040642,15,Range/Chop,4
2018-01-05 01:00:00+00:00,2018-01-05 02:00:00+00:00,short,955.77,979.14,-0.002595148938,-25.95148938,18,Range/Chop,1
2018-01-05 02:00:00+00:00,2018-01-05 03:00:00+00:00,short,979.14,989.99,-0.00236623057,-23.6623057,19.5,Range/Chop,1
2018-01-05 03:00:00+00:00,2018-01-05 05:00:00+00:00,short,989.99,1009.51,-0.006031680265,-60.31680265,21,Range/Chop,2
2018-01-05 05:00:00+00:00,2018-01-05 07:00:00+00:00,short,1009.51,1030.49,-0.008459201182,-84.59201182,22.5,Range/Chop,2
2018-01-05 07:00:00+00:00,2018-01-05 09:00:00+00:00,short,1030.49,1008.03,0.01076662505,107.6662505,21,Range/Chop,2
2018-01-05 09:00:00+00:00,2018-01-05 10:00:00+00:00,short,1008.03,993.98,0.005425230896,54.25230896,19.5,Range/Chop,1
2018-01-05 10:00:00+00:00,2018-01-05 11:00:00+00:00,short,993.98,985,0.002560316103,25.60316103,18,Range/Chop,1
2018-01-05 11:00:00+00:00,2018-01-05 12:00:00+00:00,short,985,995.9,-0.00236319797,-23.6319797,19.5,Range/Chop,1
2018-01-05 12:00:00+00:00,2018-01-05 14:00:00+00:00,short,995.9,979.98,0.004659881492,46.59881492,18,Range/Chop,2
2018-01-05 14:00:00+00:00,2018-01-05 17:00:00+00:00,short,979.98,952.33,0.005483518593,54.83518593,16.5,Range/Chop,3
2018-01-05 17:00:00+00:00,2018-01-05 18:00:00+00:00,short,952.33,944.81,0.0006396422459,6.396422459,15,Range/Chop,1
