entry_time,exit_time,side,entry_price,exit_price,return,pnl,fees_paid,entry_regime,bars
2019-01-17 01:00:00+00:00,2019-01-17 02:00:00+00:00,long,0.4711,0.4823,0.004454829123,44.54829123,16.5,Range/Chop,1
2019-01-17 02:00:00+00:00,2019-01-17 04:00:00+00:00,long,0.4823,0.4685,-0.003019700682,-30.19700682,18,Range/Chop,2
2019-01-17 04:00:00+00:00,2019-01-17 07:00:00+00:00,long,0.4685,0.4791,0.004358593542,43.58593542,16.5,Range/Chop,3
2019-01-17 07:00:00+00:00,2019-01-17 08:00:00+00:00,long,0.4791,0.4738,-0.001256240868,-12.56240868,18,Range/Chop,1
2019-01-17 08:00:00+00:00,2019-01-17 09:00:00+00:00,long,0.4738,0.4787,0.001918383284,19.18383284,16.5,Range/Chop,1
2019-01-17 09:00:00+00:00,2019-01-17 10:00:00+00:00,long,0.4787,0.4759,-0.0007349174849,-7.349174849,18,Range/Chop,1
2019-01-17 10:00:00+00:00,2019-01-17 11:00:00+00:00,long,0.4759,0.4753,-0.0004021538138,-4.021538138,16.5,Range/Chop,1
2019-01-17 11:00:00+00:00,2019-01-17 12:00:00+00:00,long,0.4753,0.4734,-0.0005497475279,-5.497475279,18,Range/Chop,1
2019-01-17 12:00:00+00:00,2019-01-17 13:00:00+00:00,long,0.4734,0.4752,0.0006104562738,6.104562738,16.5,Range/Chop,1
2019-01-17 13:00:00+00:00,2019-01-17 15:00:00+00:00,long,0.4752,0.4924,0.003444049673,34.44049673,15,Range/Chop,2
2019-01-17 17:00:00+00:00,2019-01-17 18:00:00+00:00,long,0.4825,0.4745,-0.001808031088,-18.08031088,18,Range/Chop,1
2019-01-17 18:00:00+00:00,2019-01-17 21:00:00+00:00,long,0.4745,0.4789,0.001709899903,17.09899903,16.5,Range/Chop,3
2019-01-17 21:00:00+00:00,2019-01-18 01:00:00+00:00,long,0.4789,0.4734,-0.001299457827,-12.99457827,15,Range/Chop,4
2019-01-18 04:00:00+00:00,2019-01-18 08:00:00+00:00,long,0.4686,0.4719,0.000552831903,5.52831903,15,Range/Chop,4
2019-01-18 10:00:00+00:00,2019-01-18 11:00:00+00:00,long,0.4653,0.4765,0.002257049216,22.57049216,15,Range/Chop,1
2019-01-18 12:00:00+00:00,2019-01-18 16:00:00+00:00,long,0.4686,0.4718,0.0005410357101,5.410357101,15,Range/Chop,4
2019-01-18 17:00:00+00:00,2019-01-18 19:00:00+00:00,long,0.4679,0.4728,0.0009038416273,9.038416273,15,Range/Chop,2
2019-01-18 21:00:00+00:00,2019-01-18 22:00:00+00:00,short,0.4846,0.494,-0.002089744119,-20.89744119,18,Range/Chop,1
2019-01-18 22:00:00+00:00,2019-01-19 00:00:00+00:00,short,0.494,0.4908,0.001114792654,11.14792654,16.5,Range/Chop,2
2019-01-19 00:00:00+00:00,2019-01-19 01:00:00+00:00,short,0.4908,0.4897,7.412387938e-05,0.7412387938,15,Range/Chop,1
2019-01-19 02:00:00+00:00,2019-01-19 03:00:00+00:00,long,0.4853,0.4848,-0.0002530290542,-2.530290542,15,Range/Chop,1
2019-01-19 04:00:00+00:00,2019-01-19 06:00:00+00:00,long,0.4804,0.4877,0.001364607783,13.64607783,15,Range/Chop,2
2019-01-19 07:00:00+00:00,2019-01-19 09:00:00+00:00,long,0.4777,0.4705,-0.00166209018,-16.6209018,18,Range/Chop,2
2019-01-19 09:00:00+00:00,2019-01-19 11:00:00+00:00,long,0.4705,0.4797,0.003745428304,37.45428304,16.5,Range/Chop,2
2019-01-19 11:00:00+00:00,2019-01-19 13:00:00+00:00,long,0.4797,0.4882,0.001615186833,16.15186833,15,Range/Chop,2
2019-01-19 14:00:00+00:00,2019-01-19 21:00:00+00:00,long,0.4833,0.4824,-0.0003230179085,-3.230179085,15,Range/Chop,7
2019-01-19 22:00:00+00:00,2019-01-20 01:00:00+00:00,long,0.4823,0.4829,-2.270430736e-05,-0.2270430736,15,Range/Chop,3
