entry_time,exit_time,side,entry_price,exit_price,return,pnl,fees_paid,entry_regime,bars
2018-01-05 08:00:00+00:00,2018-01-05 12:00:00+00:00,short,10.1305,12.7379,-0.2588811757,-2588.811757,15,Range/Chop,1
2018-01-05 16:00:00+00:00,2018-01-06 04:00:00+00:00,short,13.6,15.9561,-0.1593375464,-1593.375464,15,Range/Chop,3
2018-01-06 16:00:00+00:00,2018-01-07 00:00:00+00:00,short,17.9998,22.6,-0.2279630905,-2279.630905,15,Range/Chop,2
2018-01-12 04:00:00+00:00,2018-01-14 08:00:00+00:00,short,24.9999,21.01,0.1526548789,1526.548789,15,Range/Chop,13
2018-01-17 00:00:00+00:00,2018-01-19 08:00:00+00:00,long,13.0262,14.305,0.09639656379,963.9656379,15,Range/Chop,14
2018-01-31 00:00:00+00:00,2018-02-01 12:00:00+00:00,long,11.46,9.8967,-0.1377343113,-1377.343113,15,Range/Chop,9
2018-02-01 16:00:00+00:00,2018-02-02 12:00:00+00:00,long,9.6195,7.9561,-0.1742530001,-1742.530001,15,Range/Chop,5
2018-02-05 12:00:00+00:00,2018-02-05 20:00:00+00:00,long,7.5033,6.16,-0.1803318557,-1803.318557,15,Range/Chop,2
2018-02-06 04:00:00+00:00,2018-02-06 20:00:00+00:00,long,5.8533,8,0.3646251698,3646.251698,15,Range/Chop,4
2018-02-15 04:00:00+00:00,2018-02-17 04:00:00+00:00,short,10.56,11.5594,-0.09573973374,-957.3973374,15,Range/Chop,12
2018-02-21 04:00:00+00:00,2018-02-22 16:00:00+00:00,long,9.8181,8.95,-0.0897611114,-897.611114,15,Range/Chop,9
2018-02-27 08:00:00+00:00,2018-03-02 00:00:00+00:00,short,10.751,10.4715,0.01814785233,181.4785233,15,Range/Chop,16
2018-03-06 20:00:00+00:00,2018-03-08 04:00:00+00:00,long,9.23,8.2415,-0.1084129723,-1084.129723,15,Range/Chop,8
2018-03-09 04:00:00+00:00,2018-03-11 20:00:00+00:00,long,7.7137,8.3689,0.08325356945,832.5356945,15,Range/Chop,16
2018-03-14 00:00:00+00:00,2018-03-15 04:00:00+00:00,short,10.1999,8.6831,0.1607368655,1607.368655,15,Range/Chop,7
2018-03-24 00:00:00+00:00,2018-03-24 20:00:00+00:00,short,11.7158,13.7371,-0.1631173952,-1631.173952,15,Range/Chop,5
2018-04-03 08:00:00+00:00,2018-04-04 16:00:00+00:00,short,13.2943,12.11,0.08659302087,865.9302087,15,Range/Chop,8
2018-04-23 12:00:00+00:00,2018-04-24 12:00:00+00:00,short,13.74,14.53,-0.0577490599,-577.490599,15,Range/Chop,6
2018-04-24 16:00:00+00:00,2018-04-25 12:00:00+00:00,short,14.8798,13.6668,0.08059932177,805.9932177,15,Range/Chop,5
2018-05-18 12:00:00+00:00,2018-05-20 16:00:00+00:00,short,14.8503,13.8496,0.06200951774,620.0951774,15,Range/Chop,13
2018-05-31 16:00:00+00:00,2018-06-02 20:00:00+00:00,short,14.07,14.8497,-0.05633419676,-563.3419676,15,Range/Chop,13
2018-06-06 04:00:00+00:00,2018-06-06 12:00:00+00:00,short,15.8106,16.7297,-0.0579722219,-579.722219,15,Range/Chop,2
2018-06-06 16:00:00+00:00,2018-06-08 04:00:00+00:00,short,16.9478,15.9002,0.05530772422,553.0772422,15,Range/Chop,9
2018-06-17 16:00:00+00:00,2018-06-19 16:00:00+00:00,short,17.1199,16.37,0.04273274562,427.3274562,15,Range/Chop,12
2018-06-24 08:00:00+00:00,2018-06-28 12:00:00+00:00,long,14.0065,14.56,0.03796036972,379.6036972,15,Range/Chop,23
2018-07-06 08:00:00+00:00,2018-07-07 08:00:00+00:00,long,13.2249,14.098,0.06442974941,644.2974941,15,Range/Chop,6
2018-07-10 12:00:00+00:00,2018-07-12 08:00:00+00:00,long,12.8138,12.275,-0.04349027246,-434.9027246,15,Range/Chop,11
2018-07-16 12:00:00+00:00,2018-07-17 20:00:00+00:00,short,13.1899,13.738,-0.04406282067,-440.6282067,15,Range/Chop,8
2018-07-28 08:00:00+00:00,2018-07-29 16:00:00+00:00,short,14.3732,13.77,0.03930231682,393.0231682,15,Range/Chop,8
2018-08-08 08:00:00+00:00,2018-08-11 08:00:00+00:00,long,12.3892,11.8133,-0.04790795268,-479.0795268,15,Range/Chop,18
2018-08-11 16:00:00+00:00,2018-08-13 20:00:00+00:00,long,11.5822,10.6001,-0.0861426584,-861.426584,15,Range/Chop,13
2018-08-14 00:00:00+00:00,2018-08-14 04:00:00+00:00,long,10.293,9.32,-0.09603026329,-960.3026329,15,Range/Chop,1
2018-08-14 08:00:00+00:00,2018-08-16 20:00:00+00:00,long,9.1972,9.9268,0.07765149699,776.5149699,15,Range/Chop,15
2018-08-27 12:00:00+00:00,2018-08-28 00:00:00+00:00,short,10.6706,11.169,-0.04702546201,-470.2546201,15,Bear Trend,3
2018-09-05 20:00:00+00:00,2018-09-06 04:00:00+00:00,long,10.2548,9.6607,-0.05938326949,-593.8326949,15,Range/Chop,2
2018-09-06 08:00:00+00:00,2018-09-09 04:00:00+00:00,long,9.78,9.28,-0.05256061007,-525.6061007,15,Range/Chop,17
2018-10-11 04:00:00+00:00,2018-10-11 12:00:00+00:00,long,9.8577,9.5549,-0.03220831777,-322.0831777,15,Range/Chop,2
