entry_time,exit_time,side,entry_price,exit_price,return,pnl,fees_paid,entry_regime,bars
2018-01-05 12:00:00+00:00,2018-01-07 00:00:00+00:00,short,16090.7,17069.79,-0.06123955763,-612.3955763,15,Range/Chop,9
2018-01-16 20:00:00+00:00,2018-01-17 16:00:00+00:00,long,11082.12,9227.46,-0.1686259006,-1686.259006,15,Range/Chop,5
2018-02-01 20:00:00+00:00,2018-02-03 20:00:00+00:00,long,8937.86,9350,0.04459130475,445.9130475,15,Range/Chop,12
2018-02-05 12:00:00+00:00,2018-02-05 20:00:00+00:00,long,7572.32,6680.76,-0.1190980538,-1190.980538,15,Range/Chop,2
2018-02-06 04:00:00+00:00,2018-02-07 08:00:00+00:00,long,6317.8,7669.97,0.212120967,2121.20967,15,Range/Chop,7
2018-02-15 08:00:00+00:00,2018-02-17 04:00:00+00:00,short,9810.01,10459.04,-0.06905096397,-690.5096397,15,Range/Chop,11
2018-02-20 08:00:00+00:00,2018-02-21 04:00:00+00:00,short,11530.92,10919,0.05170859763,517.0859763,15,Range/Chop,5
2018-03-07 20:00:00+00:00,2018-03-09 04:00:00+00:00,long,9837.84,8953.01,-0.09129663905,-912.9663905,15,Range/Chop,8
2018-03-09 08:00:00+00:00,2018-03-11 20:00:00+00:00,long,8685,9637,0.107996229,1079.96229,15,Range/Chop,15
2018-03-15 04:00:00+00:00,2018-03-16 16:00:00+00:00,long,7870.15,8539,0.08336171132,833.6171132,15,Range/Chop,9
2018-03-18 16:00:00+00:00,2018-03-19 00:00:00+00:00,long,7385,8189,0.1072258015,1072.258015,15,Range/Chop,2
2018-03-29 20:00:00+00:00,2018-03-30 04:00:00+00:00,long,7341,6867.19,-0.06599580608,-659.9580608,15,Bear Trend,2
2018-04-01 16:00:00+00:00,2018-04-02 04:00:00+00:00,long,6445,6982.44,0.08187096721,818.7096721,15,Bear Trend,3
2018-04-12 12:00:00+00:00,2018-04-13 08:00:00+00:00,short,7685.55,8100,-0.05477676173,-547.7676173,15,Bear Trend,5
2018-04-20 12:00:00+00:00,2018-04-21 00:00:00+00:00,short,8515,8852.12,-0.04108585712,-410.8585712,15,Range/Chop,3
2018-04-21 04:00:00+00:00,2018-04-24 04:00:00+00:00,short,8858,9192.48,-0.04006725934,-400.6725934,15,Range/Chop,18
2018-04-24 08:00:00+00:00,2018-04-25 00:00:00+00:00,short,9217.98,9618.96,-0.04365078266,-436.5078266,15,Bull Trend,4
2018-05-03 20:00:00+00:00,2018-05-05 16:00:00+00:00,short,9670,9929.99,-0.02870724144,-287.0724144,15,Bull Trend,11
2018-05-11 08:00:00+00:00,2018-05-12 00:00:00+00:00,long,8710.34,8405.94,-0.03641397972,-364.1397972,15,Bull Trend,4
2018-05-23 08:00:00+00:00,2018-05-23 20:00:00+00:00,long,7838,7590.85,-0.03298461705,-329.8461705,15,Range/Chop,3
2018-05-24 00:00:00+00:00,2018-05-26 16:00:00+00:00,long,7501.95,7540.18,0.003608666258,36.08666258,15,Range/Chop,16
2018-05-29 00:00:00+00:00,2018-05-29 12:00:00+00:00,long,7099,7403.98,0.04140027637,414.0027637,15,Bear Trend,3
2018-06-10 04:00:00+00:00,2018-06-10 20:00:00+00:00,long,7261.03,6839.78,-0.05944300887,-594.4300887,15,Bear Trend,4
2018-06-11 00:00:00+00:00,2018-06-12 20:00:00+00:00,long,6765,6494.61,-0.04140823852,-414.0823852,15,Bear Trend,11
2018-06-22 12:00:00+00:00,2018-06-22 16:00:00+00:00,long,6351,6150,-0.03314855928,-331.4855928,15,Bear Trend,1
2018-06-22 20:00:00+00:00,2018-06-24 08:00:00+00:00,long,6193.58,5829.08,-0.06029746385,-602.9746385,15,Bear Trend,9
2018-07-10 12:00:00+00:00,2018-07-12 08:00:00+00:00,long,6365.06,6176.21,-0.03112029337,-311.2029337,15,Bear Trend,11
2018-07-16 12:00:00+00:00,2018-07-17 16:00:00+00:00,short,6631.12,6776.68,-0.02331797255,-233.1797255,15,Bear Trend,7
2018-07-17 20:00:00+00:00,2018-07-20 12:00:00+00:00,short,7289.64,7504,-0.03086289357,-308.6289357,15,Bear Trend,16
2018-07-23 08:00:00+00:00,2018-07-24 08:00:00+00:00,short,7758.95,8031.01,-0.03654922668,-365.4922668,15,Bull Trend,6
2018-07-24 12:00:00+00:00,2018-07-27 00:00:00+00:00,short,8257.98,7920,0.03827865328,382.7865328,15,Bull Trend,15
2018-07-31 16:00:00+00:00,2018-08-02 16:00:00+00:00,long,7758.44,7524.78,-0.03157347427,-315.7347427,15,Bull Trend,12
2018-08-04 16:00:00+00:00,2018-08-07 12:00:00+00:00,long,6984.25,7087.52,0.01326628604,132.6628604,15,Range/Chop,17
2018-08-08 00:00:00+00:00,2018-08-08 08:00:00+00:00,long,6720.63,6457.98,-0.04055140645,-405.5140645,15,Bear Trend,2
2018-08-08 12:00:00+00:00,2018-08-11 00:00:00+00:00,long,6512.67,6148.13,-0.05739851637,-573.9851637,15,Bear Trend,15
2018-08-11 04:00:00+00:00,2018-08-11 20:00:00+00:00,long,6114.72,6387.75,0.04308050956,430.8050956,15,Bear Trend,4
2018-08-28 00:00:00+00:00,2018-08-28 20:00:00+00:00,short,6907.26,7088.98,-0.0274077734,-274.077734,15,Range/Chop,5
2018-09-01 20:00:00+00:00,2018-09-05 04:00:00+00:00,short,7250.82,7379.17,-0.01939405383,-193.9405383,15,Range/Chop,20
2018-09-06 00:00:00+00:00,2018-09-06 04:00:00+00:00,long,6697.27,6444.6,-0.03922731277,-392.2731277,15,Range/Chop,1
2018-09-06 08:00:00+00:00,2018-09-08 20:00:00+00:00,long,6405.88,6176.05,-0.03732336116,-373.2336116,15,Range/Chop,15
2018-09-18 04:00:00+00:00,2018-09-19 20:00:00+00:00,long,6237.55,6412.14,0.0264617436,264.617436,15,Range/Chop,10
2018-09-21 08:00:00+00:00,2018-09-24 08:00:00+00:00,short,6647.91,6677.9,-0.006659234059,-66.59234059,15,Range/Chop,18
2018-10-11 04:00:00+00:00,2018-10-14 04:00:00+00:00,long,6340.52,6363.24,0.002067949318,20.67949318,15,Range/Chop,18
2018-10-15 08:00:00+00:00,2018-10-18 08:00:00+00:00,short,6860.25,6734.85,0.01557481587,155.7481587,15,Range/Chop,18
2018-10-29 12:00:00+00:00,2018-10-29 20:00:00+00:00,long,6427.41,6336.1,-0.01569525528,-156.9525528,15,Range/Chop,2
2018-10-30 00:00:00+00:00,2018-11-01 08:00:00+00:00,long,6344.5,6388.99,0.005505789123,55.05789123,15,Range/Chop,14
