entry_time,exit_time,side,entry_price,exit_price,return,pnl,fees_paid,entry_regime,bars
2020-08-30 12:00:00+00:00,2020-09-02 00:00:00+00:00,short,4.55,4.3213,0.02721911332,272.1911332,15,Range/Chop,15
2020-09-05 12:00:00+00:00,2020-09-08 00:00:00+00:00,long,2.4826,2.9237,0.1760267478,1760.267478,15,Range/Chop,15
2020-09-16 16:00:00+00:00,2020-09-18 00:00:00+00:00,long,2.5414,2.883,0.1327055568,1327.055568,15,Range/Chop,8
2020-10-02 12:00:00+00:00,2020-10-05 16:00:00+00:00,long,2.4731,2.6185,0.05728789637,572.8789637,15,Range/Chop,19
2020-10-07 00:00:00+00:00,2020-10-08 16:00:00+00:00,long,2.1721,2.425,0.1147671815,1147.671815,15,Bear Trend,10
2020-10-20 08:00:00+00:00,2020-10-20 12:00:00+00:00,long,1.9788,1.8506,-0.06628673944,-662.8673944,15,Bear Trend,1
2020-10-20 16:00:00+00:00,2020-10-22 12:00:00+00:00,long,1.8969,2.0688,0.08897867948,889.7867948,15,Bear Trend,11
2020-10-26 20:00:00+00:00,2020-10-28 08:00:00+00:00,long,1.6614,1.5472,-0.07012102689,-701.2102689,15,Bear Trend,9
2020-11-04 04:00:00+00:00,2020-11-05 16:00:00+00:00,long,1.3534,1.4323,0.05670594056,567.0594056,15,Bear Trend,9
2020-11-06 12:00:00+00:00,2020-11-07 00:00:00+00:00,short,1.7138,1.9069,-0.1092281902,-1092.281902,15,Bear Trend,3
2020-11-07 04:00:00+00:00,2020-11-07 12:00:00+00:00,short,2.1342,2.3985,-0.1190122254,-1190.122254,15,Crash/Capitulation,2
2020-11-21 20:00:00+00:00,2020-11-22 12:00:00+00:00,short,2.4514,2.1003,0.1562499529,1562.499529,15,Bull Trend,4
2020-12-08 12:00:00+00:00,2020-12-09 08:00:00+00:00,long,1.6762,1.5517,-0.07563931801,-756.3931801,15,Range/Chop,5
2020-12-11 12:00:00+00:00,2020-12-13 12:00:00+00:00,long,1.45,1.5578,0.07277856979,727.7856979,15,Range/Chop,12
2020-12-23 08:00:00+00:00,2020-12-24 00:00:00+00:00,long,1.3931,1.1987,-0.1409113031,-1409.113031,15,Range/Chop,4
2021-01-02 00:00:00+00:00,2021-01-03 08:00:00+00:00,short,1.8421,2.0662,-0.1311027583,-1311.027583,15,Range/Chop,8
2021-01-03 12:00:00+00:00,2021-01-06 04:00:00+00:00,short,2.2657,1.9893,0.03926352744,392.6352744,15,Range/Chop,16
2021-01-08 12:00:00+00:00,2021-01-10 08:00:00+00:00,short,3.1555,3.733,-0.1928621534,-1928.621534,15,Range/Chop,11
2021-01-31 04:00:00+00:00,2021-02-02 04:00:00+00:00,short,4.324,4.8039,-0.117428538,-1174.28538,15,Range/Chop,12
2021-02-02 08:00:00+00:00,2021-02-03 16:00:00+00:00,short,4.9562,5.6051,-0.126901429,-1269.01429,15,Range/Chop,8
2021-02-05 00:00:00+00:00,2021-02-05 16:00:00+00:00,short,6.4181,6.9411,-0.08285865074,-828.5865074,15,Bull Trend,4
2021-02-08 08:00:00+00:00,2021-02-09 04:00:00+00:00,short,7.5577,8.3319,-0.1002464324,-1002.464324,15,Bull Trend,5
2021-02-11 08:00:00+00:00,2021-02-13 12:00:00+00:00,short,9.4522,8.8762,0.05529640751,552.9640751,15,High Vol Expansion,13
2021-02-19 16:00:00+00:00,2021-02-22 12:00:00+00:00,short,10.9511,9.9162,0.07303494525,730.3494525,15,Bull Trend,17
2021-02-22 20:00:00+00:00,2021-02-23 16:00:00+00:00,short,13.3165,15.4,-0.1590490292,-1590.490292,15,High Vol Expansion,5
2021-03-12 00:00:00+00:00,2021-03-12 20:00:00+00:00,short,16.0519,14.6861,0.08716031193,871.6031193,15,Bull Trend,5
2021-03-22 08:00:00+00:00,2021-03-23 08:00:00+00:00,short,16.1911,14.4239,0.1139561373,1139.561373,15,Bull Trend,6
2021-03-28 04:00:00+00:00,2021-03-28 16:00:00+00:00,short,17.2403,18.9112,-0.09282612733,-928.2612733,15,Bull Trend,3
2021-04-03 12:00:00+00:00,2021-04-04 16:00:00+00:00,short,22.4581,24.7557,-0.1043422296,-1043.422296,15,Bull Trend,7
2021-04-18 04:00:00+00:00,2021-04-18 08:00:00+00:00,long,22,27.2438,0.2368545455,2368.545455,15,Bull Trend,1
2021-04-25 16:00:00+00:00,2021-04-27 20:00:00+00:00,short,46.661,43.403,0.05580069192,558.0069192,15,High Vol Expansion,13
2021-05-02 00:00:00+00:00,2021-05-04 00:00:00+00:00,short,49.646,45.935,0.07427121856,742.7121856,15,High Vol Expansion,12
2021-05-23 08:00:00+00:00,2021-05-24 20:00:00+00:00,long,26.684,31.855,0.1919225105,1919.225105,15,High Vol Expansion,9
2021-06-03 16:00:00+00:00,2021-06-06 16:00:00+00:00,short,38.496,42.838,-0.1278301797,-1278.301797,15,Bear Trend,18
2021-06-20 12:00:00+00:00,2021-06-21 20:00:00+00:00,long,32.491,28.596,-0.1211499457,-1211.499457,15,Range/Chop,8
2021-06-22 00:00:00+00:00,2021-06-22 12:00:00+00:00,long,26.597,22.058,-0.1718412064,-1718.412064,15,Range/Chop,3
2021-07-13 20:00:00+00:00,2021-07-15 00:00:00+00:00,long,29.029,31.365,0.07885749491,788.5749491,15,Range/Chop,7
2021-07-19 16:00:00+00:00,2021-07-21 08:00:00+00:00,long,24.185,25.7,0.06106202124,610.6202124,15,Range/Chop,10
2021-07-30 04:00:00+00:00,2021-08-01 00:00:00+00:00,short,32.753,36.742,-0.1219013164,-1219.013164,15,Range/Chop,11
2021-08-06 16:00:00+00:00,2021-08-08 12:00:00+00:00,short,39.687,38.207,0.03376549321,337.6549321,15,Range/Chop,11
2021-08-15 16:00:00+00:00,2021-08-15 20:00:00+00:00,short,48.701,52.947,-0.08868506807,-886.8506807,15,Bull Trend,1
2021-08-16 00:00:00+00:00,2021-08-16 04:00:00+00:00,short,53.515,58.609,-0.09668826497,-966.8826497,15,Bull Trend,1
2021-08-16 08:00:00+00:00,2021-08-16 16:00:00+00:00,short,61.934,67.052,-0.08440461646,-844.0461646,15,Bull Trend,2
2021-08-17 04:00:00+00:00,2021-08-21 00:00:00+00:00,short,71.854,78.684,-0.1220251499,-1220.251499,15,Bull Trend,23
2021-08-27 20:00:00+00:00,2021-08-28 12:00:00+00:00,short,85.64,92.45,-0.0798807578,-798.807578,15,Bull Trend,4
2021-08-30 16:00:00+00:00,2021-08-31 04:00:00+00:00,short,105.59,115.19,-0.0879672561,-879.672561,15,Bull Trend,3
2021-08-31 08:00:00+00:00,2021-09-03 04:00:00+00:00,short,119.68,135.35,-0.1387759095,-1387.759095,15,High Vol Expansion,17
2021-09-03 08:00:00+00:00,2021-09-05 16:00:00+00:00,short,144.67,136.29,0.05413158794,541.3158794,15,High Vol Expansion,14
2021-09-06 20:00:00+00:00,2021-09-07 08:00:00+00:00,short,162.37,187.79,-0.1454082446,-1454.082446,15,High Vol Expansion,3
2021-09-07 12:00:00+00:00,2021-09-08 08:00:00+00:00,short,182.84,152.48,0.1729214119,1729.214119,15,High Vol Expansion,5
2021-09-09 04:00:00+00:00,2021-09-10 08:00:00+00:00,short,211.2,182.64,0.1404152411,1404.152411,15,High Vol Expansion,7
2021-10-01 20:00:00+00:00,2021-10-02 20:00:00+00:00,short,162.81,174.85,-0.07668142739,-766.8142739,15,Range/Chop,6
2021-10-11 20:00:00+00:00,2021-10-12 20:00:00+00:00,long,141.57,150.01,0.05806307221,580.6307221,15,Range/Chop,6
2021-10-20 16:00:00+00:00,2021-10-21 00:00:00+00:00,short,168.75,176.72,-0.04761820073,-476.1820073,15,Range/Chop,2
2021-10-21 04:00:00+00:00,2021-10-22 04:00:00+00:00,short,184.2,201.72,-0.09315038059,-931.5038059,15,Range/Chop,6
2021-10-25 16:00:00+00:00,2021-10-27 00:00:00+00:00,short,218.62,199.87,0.08918540949,891.8540949,15,Range/Chop,8
2021-11-03 00:00:00+00:00,2021-11-03 20:00:00+00:00,short,220.81,234.68,-0.06453038394,-645.3038394,15,Range/Chop,5
2021-11-04 00:00:00+00:00,2021-11-07 00:00:00+00:00,short,243.37,258.41,-0.06518932198,-651.8932198,15,Range/Chop,18
2021-11-17 04:00:00+00:00,2021-11-18 16:00:00+00:00,long,212.5,197.04,-0.07412879072,-741.2879072,15,Range/Chop,9
2021-12-01 16:00:00+00:00,2021-12-03 20:00:00+00:00,short,229.51,212.75,0.0684519993,684.519993,15,Range/Chop,13
2021-12-04 12:00:00+00:00,2021-12-07 04:00:00+00:00,long,188.29,195.34,0.03601313541,360.1313541,15,Range/Chop,16
2021-12-11 00:00:00+00:00,2021-12-12 20:00:00+00:00,long,167.39,174.43,0.04052028122,405.2028122,15,Range/Chop,11
2021-12-13 20:00:00+00:00,2021-12-15 08:00:00+00:00,long,153.15,166.29,0.08419105274,841.9105274,15,Bear Trend,9
2022-01-05 20:00:00+00:00,2022-01-06 04:00:00+00:00,long,158.69,148.14,-0.06792025853,-679.2025853,15,Range/Chop,2
2022-01-06 08:00:00+00:00,2022-01-07 04:00:00+00:00,long,150.73,139.63,-0.07506119196,-750.6119196,15,Range/Chop,5
2022-01-22 00:00:00+00:00,2022-01-22 08:00:00+00:00,long,112.24,100.4,-0.10686145,-1068.6145,15,Crash/Capitulation,2
2022-01-22 12:00:00+00:00,2022-01-24 08:00:00+00:00,long,98.69,86.77,-0.1221811619,-1221.811619,15,Crash/Capitulation,11
2022-02-12 00:00:00+00:00,2022-02-14 16:00:00+00:00,long,96.53,96.59,-0.0008731700467,-8.731700467,15,Bear Trend,16
2022-03-02 04:00:00+00:00,2022-03-03 16:00:00+00:00,short,104.25,95.94,0.08089648943,808.9648943,15,Range/Chop,9
2022-03-07 04:00:00+00:00,2022-03-09 04:00:00+00:00,long,82.27,88.13,0.0696133972,696.133972,15,Range/Chop,12
