entry_time,exit_time,side,entry_price,exit_price,return,pnl,fees_paid,entry_regime,bars
2020-10-13 00:00:00+00:00,2020-10-27 00:00:00+00:00,short,4.4099,4.1454,0.007796030928,77.96030928,17.5,Range/Chop,14
2020-10-27 00:00:00+00:00,2020-11-03 00:00:00+00:00,long,4.1454,3.6174,-0.02248279847,-224.8279847,17.5,Range/Chop,7
2020-11-03 00:00:00+00:00,2021-01-12 00:00:00+00:00,short,3.6174,6.4623,-0.1209304778,-1209.304778,17.5,Range/Chop,70
2021-01-12 00:00:00+00:00,2021-03-02 00:00:00+00:00,long,6.4623,27.5189,0.3515171974,3515.171974,17.5,Bull Trend,49
2021-03-02 00:00:00+00:00,2021-07-13 00:00:00+00:00,short,27.5189,12.162,0.0318146516,318.146516,17.5,High Vol Expansion,133
2021-07-13 00:00:00+00:00,2021-07-27 00:00:00+00:00,long,12.162,11.455,-0.009114771326,-91.14771326,17.5,Range/Chop,14
2021-07-27 00:00:00+00:00,2021-08-10 00:00:00+00:00,short,11.455,16.167,-0.05992493932,-599.2493932,17.5,Range/Chop,14
2021-08-10 00:00:00+00:00,2021-10-12 00:00:00+00:00,long,16.167,55.3,0.2838399034,2838.399034,17.5,Bull Trend,63
2021-10-12 00:00:00+00:00,2021-11-09 00:00:00+00:00,short,55.3,91.18,-0.0867090067,-867.090067,17.5,Range/Chop,28
2021-11-09 00:00:00+00:00,2021-12-14 00:00:00+00:00,long,91.18,79.05,-0.01096596492,-109.6596492,17.5,Range/Chop,35
2021-12-14 00:00:00+00:00,2021-12-21 00:00:00+00:00,short,79.05,113.52,-0.06455177552,-645.5177552,17.5,Bear Trend,7
2021-12-21 00:00:00+00:00,2022-01-11 00:00:00+00:00,long,113.52,84.42,-0.04521430524,-452.1430524,17.5,Range/Chop,21
2022-01-11 00:00:00+00:00,2022-02-15 00:00:00+00:00,short,84.42,81.84,-0.008414913145,-84.14913145,17.5,Range/Chop,35
