entry_time,exit_time,side,entry_price,exit_price,return,pnl,fees_paid,entry_regime,bars
2019-02-12 00:00:00+00:00,2019-03-12 00:00:00+00:00,short,0.4277,0.4641,-0.0210312735,-210.312735,17.5,Range/Chop,28
2019-03-12 00:00:00+00:00,2019-04-09 00:00:00+00:00,long,0.4641,0.5617,0.03417532582,341.7532582,17.5,Range/Chop,28
2019-04-09 00:00:00+00:00,2019-05-07 00:00:00+00:00,short,0.5617,0.5798,-0.01271526008,-127.1526008,17.5,Bull Trend,28
2019-05-07 00:00:00+00:00,2019-07-23 00:00:00+00:00,long,0.5798,2.4073,0.3529531288,3529.531288,17.5,Range/Chop,77
2019-07-23 00:00:00+00:00,2019-08-06 00:00:00+00:00,short,2.4073,2.4599,-0.006992698205,-69.92698205,17.5,Range/Chop,14
2019-08-06 00:00:00+00:00,2019-08-27 00:00:00+00:00,long,2.4599,2.0737,-0.02609979832,-260.9979832,17.5,Range/Chop,21
2019-08-27 00:00:00+00:00,2019-10-01 00:00:00+00:00,short,2.0737,1.7677,0.02084644038,208.4644038,17.5,Range/Chop,35
2019-10-01 00:00:00+00:00,2019-10-29 00:00:00+00:00,long,1.7677,2.6601,0.07531032917,753.1032917,17.5,Bear Trend,28
2019-10-29 00:00:00+00:00,2019-11-05 00:00:00+00:00,short,2.6601,2.6746,-0.001677345349,-16.77345349,17.5,Bull Trend,7
2019-11-05 00:00:00+00:00,2019-11-12 00:00:00+00:00,long,2.6746,2.7438,0.003959843642,39.59843642,17.5,Bull Trend,7
2019-11-12 00:00:00+00:00,2019-11-19 00:00:00+00:00,short,2.7438,2.7886,-0.004010784854,-40.10784854,17.5,Bull Trend,7
2019-11-19 00:00:00+00:00,2019-12-03 00:00:00+00:00,long,2.7886,2.0913,-0.04560981827,-456.0981827,17.5,Bull Trend,14
2019-12-03 00:00:00+00:00,2019-12-24 00:00:00+00:00,short,2.0913,1.8638,0.01455332469,145.5332469,17.5,Bear Trend,21
2019-12-24 00:00:00+00:00,2019-12-31 00:00:00+00:00,long,1.8638,1.8215,-0.003989203507,-39.89203507,17.5,Bear Trend,7
2019-12-31 00:00:00+00:00,2020-01-14 00:00:00+00:00,short,1.8215,2.1904,-0.03272334361,-327.2334361,17.5,Bear Trend,14
