entry_time,exit_time,side,entry_price,exit_price,return,pnl,fees_paid,entry_regime,bars
2020-09-01 00:00:00+00:00,2020-09-22 00:00:00+00:00,long,4.7432,2.7571,-0.06090788537,-609.0788537,17.5,Range/Chop,21
2020-09-22 00:00:00+00:00,2020-09-29 00:00:00+00:00,short,2.7571,2.9549,-0.01371553286,-137.1553286,17.5,Range/Chop,7
2020-09-29 00:00:00+00:00,2020-10-06 00:00:00+00:00,long,2.9549,2.6486,-0.01776228026,-177.6228026,17.5,Range/Chop,7
2020-10-06 00:00:00+00:00,2020-11-17 00:00:00+00:00,short,2.6486,2.2665,-0.002585282531,-25.85282531,17.5,Bear Trend,42
2020-11-17 00:00:00+00:00,2020-12-01 00:00:00+00:00,long,2.2665,1.9641,-0.01995589572,-199.5589572,17.5,Bull Trend,14
2020-12-01 00:00:00+00:00,2021-01-12 00:00:00+00:00,short,1.9641,3.1016,-0.1165178886,-1165.178886,17.5,Range/Chop,42
2021-01-12 00:00:00+00:00,2021-02-02 00:00:00+00:00,long,3.1016,4.6148,0.07889124014,788.9124014,17.5,Bull Trend,21
2021-02-02 00:00:00+00:00,2021-02-23 00:00:00+00:00,short,4.6148,14.4176,-0.1971886469,-1971.886469,17.5,Range/Chop,21
2021-02-23 00:00:00+00:00,2021-03-16 00:00:00+00:00,long,14.4176,14.1586,0.006258233201,62.58233201,17.5,High Vol Expansion,21
2021-03-16 00:00:00+00:00,2021-03-30 00:00:00+00:00,short,14.1586,18.9504,-0.05262663982,-526.2663982,17.5,Bull Trend,14
2021-03-30 00:00:00+00:00,2021-07-20 00:00:00+00:00,long,18.9504,24.524,0.1239908178,1239.908178,17.5,Bull Trend,112
2021-07-20 00:00:00+00:00,2021-08-17 00:00:00+00:00,short,24.524,62.042,-0.1558477242,-1558.477242,17.5,Range/Chop,28
2021-08-17 00:00:00+00:00,2021-09-28 00:00:00+00:00,long,62.042,136.34,0.1617776612,1617.776612,17.5,Bull Trend,42
2021-09-28 00:00:00+00:00,2021-10-05 00:00:00+00:00,short,136.34,167.13,-0.0363094682,-363.094682,17.5,Range/Chop,7
2021-10-05 00:00:00+00:00,2022-01-11 00:00:00+00:00,long,167.13,135.84,-0.01730580813,-173.0580813,17.5,Bull Trend,98
2022-01-11 00:00:00+00:00,2022-03-29 00:00:00+00:00,short,135.84,105.75,0.01889808336,188.9808336,17.5,Bear Trend,77
2022-03-29 00:00:00+00:00,2022-04-26 00:00:00+00:00,long,105.75,100.98,-0.003591964351,-35.91964351,17.5,Range/Chop,28
2022-04-26 00:00:00+00:00,2022-06-21 00:00:00+00:00,short,100.98,35.25,0.1488357309,1488.357309,17.5,Range/Chop,56
2022-06-21 00:00:00+00:00,2022-07-12 00:00:00+00:00,long,35.25,33.42,-0.004803786683,-48.03786683,17.5,Bear Trend,21
2022-07-12 00:00:00+00:00,2022-09-20 00:00:00+00:00,short,33.42,32.63,-0.01222393972,-122.2393972,17.5,Range/Chop,70
2022-09-20 00:00:00+00:00,2022-10-25 00:00:00+00:00,long,32.63,28.31,-0.02198646982,-219.8646982,17.5,Range/Chop,35
2022-10-25 00:00:00+00:00,2022-12-13 00:00:00+00:00,short,28.31,13.31,0.08292730716,829.2730716,17.5,Range/Chop,49
2022-12-13 00:00:00+00:00,2022-12-27 00:00:00+00:00,long,13.31,11.33,-0.02530157543,-253.0157543,17.5,Bear Trend,14
2022-12-27 00:00:00+00:00,2023-01-10 00:00:00+00:00,short,11.33,16.25,-0.06695160713,-669.5160713,17.5,Bear Trend,14
2023-01-10 00:00:00+00:00,2023-02-07 00:00:00+00:00,long,16.25,22.65,0.06910666786,691.0666786,17.5,Bull Trend,28
2023-02-07 00:00:00+00:00,2023-02-21 00:00:00+00:00,short,22.65,26.26,-0.02916024247,-291.6024247,17.5,Bull Trend,14
2023-02-21 00:00:00+00:00,2023-03-14 00:00:00+00:00,long,26.26,20.4,-0.03904837736,-390.4837736,17.5,Range/Chop,21
2023-03-14 00:00:00+00:00,2023-04-18 00:00:00+00:00,short,20.4,24.57,-0.03591803652,-359.1803652,17.5,Range/Chop,35
2023-04-18 00:00:00+00:00,2023-05-23 00:00:00+00:00,long,24.57,19.52,-0.03598126722,-359.8126722,17.5,Range/Chop,35
2023-05-23 00:00:00+00:00,2023-07-04 00:00:00+00:00,short,19.52,19.25,-0.005694558189,-56.94558189,17.5,Range/Chop,42
2023-07-04 00:00:00+00:00,2023-09-05 00:00:00+00:00,long,19.25,19.52,0.008395935559,83.95935559,17.5,Bull Trend,63
2023-09-05 00:00:00+00:00,2023-10-03 00:00:00+00:00,short,19.52,23.38,-0.0331883262,-331.883262,17.5,Bear Trend,28
2023-10-03 00:00:00+00:00,2024-01-16 00:00:00+00:00,long,23.38,94.35,0.2941533375,2941.533375,17.5,Range/Chop,105
2024-01-16 00:00:00+00:00,2024-02-06 00:00:00+00:00,short,94.35,95.66,-0.005849451019,-58.49451019,17.5,Range/Chop,21
2024-02-06 00:00:00+00:00,2024-02-20 00:00:00+00:00,long,95.66,111.53,0.02613791726,261.3791726,17.5,Range/Chop,14
2024-02-20 00:00:00+00:00,2024-03-19 00:00:00+00:00,short,111.53,195.92,-0.09582461849,-958.2461849,17.5,Range/Chop,28
2024-03-19 00:00:00+00:00,2024-08-20 00:00:00+00:00,long,195.92,144.28,-0.0273250762,-273.250762,17.5,Bull Trend,154
2024-08-20 00:00:00+00:00,2024-10-01 00:00:00+00:00,short,144.28,152.51,-0.01420877977,-142.0877977,17.5,Range/Chop,42
2024-10-01 00:00:00+00:00,2024-11-26 00:00:00+00:00,long,152.51,234.18,0.07992490138,799.2490138,17.5,Range/Chop,56
2024-11-26 00:00:00+00:00,2025-01-21 00:00:00+00:00,short,234.18,242.18,-0.01748775521,-174.8775521,17.5,Bull Trend,56
2025-01-21 00:00:00+00:00,2025-02-18 00:00:00+00:00,long,242.18,177.53,-0.04845972565,-484.5972565,17.5,Bull Trend,28
2025-02-18 00:00:00+00:00,2025-04-15 00:00:00+00:00,short,177.53,129.41,0.02795260466,279.5260466,17.5,Bear Trend,56
2025-04-15 00:00:00+00:00,2025-07-15 00:00:00+00:00,long,129.41,162.21,0.04488657873,448.8657873,17.5,Range/Chop,91
2025-07-15 00:00:00+00:00,2025-09-02 00:00:00+00:00,short,162.21,197.32,-0.04112174578,-411.2174578,17.5,Range/Chop,49
2025-09-02 00:00:00+00:00,2025-10-07 00:00:00+00:00,long,197.32,232.35,0.0302744372,302.744372,17.5,Bull Trend,35
2025-10-07 00:00:00+00:00,2025-12-30 00:00:00+00:00,short,232.35,123.28,0.09523608887,952.3608887,17.5,Range/Chop,84
2025-12-30 00:00:00+00:00,2026-01-06 00:00:00+00:00,long,123.28,137.91,0.01858062133,185.8062133,17.5,Range/Chop,7
2026-01-06 00:00:00+00:00,2026-01-13 00:00:00+00:00,short,137.91,139.21,-0.002351007245,-23.51007245,17.5,Range/Chop,7
2026-01-13 00:00:00+00:00,2026-02-10 00:00:00+00:00,long,139.21,86.77,-0.07094226677,-709.4226677,17.5,Bull Trend,28
2026-02-10 00:00:00+00:00,2026-03-17 00:00:00+00:00,short,86.77,96.19,-0.02213502111,-221.3502111,17.5,Bear Trend,35
2026-03-17 00:00:00+00:00,2026-04-07 00:00:00+00:00,long,96.19,80.03,-0.02964283185,-296.4283185,17.5,Range/Chop,21
2026-04-07 00:00:00+00:00,2026-05-12 00:00:00+00:00,short,80.03,97.37,-0.03486647453,-348.6647453,17.5,Range/Chop,35
2026-05-12 00:00:00+00:00,2026-06-02 00:00:00+00:00,long,97.37,81.28,-0.02963260764,-296.3260764,17.5,Range/Chop,21
2026-06-02 00:00:00+00:00,2026-06-23 00:00:00+00:00,short,81.28,71.95,0.01662142222,166.2142222,17.5,Bear Trend,21
2026-06-23 00:00:00+00:00,2026-07-27 00:00:00+00:00,long,71.95,74.2,0.01183081006,118.3081006,15,Bear Trend,35
