entry_time,exit_time,side,entry_price,exit_price,return,pnl,fees_paid,entry_regime,bars
2018-05-29 00:00:00+00:00,2018-06-05 00:00:00+00:00,short,0.54689,0.65508,-0.03161863564,-316.1863564,17.5,Range/Chop,7
2018-06-05 00:00:00+00:00,2018-06-19 00:00:00+00:00,long,0.65508,0.53835,-0.03062490631,-306.2490631,17.5,Crash/Capitulation,14
2018-06-19 00:00:00+00:00,2018-08-21 00:00:00+00:00,short,0.53835,0.315,0.07405570545,740.5570545,17.5,Range/Chop,63
2018-08-21 00:00:00+00:00,2018-09-11 00:00:00+00:00,long,0.315,0.27,-0.02229996882,-222.9996882,17.5,Bear Trend,21
2018-09-11 00:00:00+00:00,2018-09-25 00:00:00+00:00,short,0.27,0.49235,-0.1156557775,-1156.557775,17.5,Range/Chop,14
2018-09-25 00:00:00+00:00,2018-10-16 00:00:00+00:00,long,0.49235,0.46183,-0.004744990829,-47.44990829,17.5,High Vol Expansion,21
2018-10-16 00:00:00+00:00,2018-10-30 00:00:00+00:00,short,0.46183,0.44554,0.004877590118,48.77590118,17.5,Bull Trend,14
2018-10-30 00:00:00+00:00,2018-12-11 00:00:00+00:00,long,0.44554,0.2995,-0.059084723,-590.84723,17.5,Range/Chop,42
2018-12-11 00:00:00+00:00,2019-06-11 00:00:00+00:00,short,0.2995,0.39985,-0.07947977814,-794.7977814,17.5,Bear Trend,182
2019-06-11 00:00:00+00:00,2019-06-18 00:00:00+00:00,long,0.39985,0.44705,0.01862707479,186.2707479,17.5,Bull Trend,7
2019-06-18 00:00:00+00:00,2019-07-23 00:00:00+00:00,short,0.44705,0.32135,0.04846069096,484.6069096,17.5,Range/Chop,35
2019-07-23 00:00:00+00:00,2019-08-13 00:00:00+00:00,long,0.32135,0.3006,-0.01091999542,-109.1999542,17.5,Bear Trend,21
2019-08-13 00:00:00+00:00,2019-09-03 00:00:00+00:00,short,0.3006,0.2606,0.02105388989,210.5388989,17.5,Bear Trend,21
2019-09-03 00:00:00+00:00,2019-11-12 00:00:00+00:00,long,0.2606,0.27423,0.01477498069,147.7498069,17.5,Bear Trend,70
2019-11-12 00:00:00+00:00,2019-12-17 00:00:00+00:00,short,0.27423,0.20547,0.04668433832,466.8433832,17.5,Range/Chop,35
2019-12-17 00:00:00+00:00,2019-12-24 00:00:00+00:00,long,0.20547,0.18958,-0.01225277585,-122.5277585,17.5,Bear Trend,7
2019-12-24 00:00:00+00:00,2020-01-07 00:00:00+00:00,short,0.18958,0.2231,-0.02941615231,-294.1615231,17.5,Bear Trend,14
2020-01-07 00:00:00+00:00,2020-01-21 00:00:00+00:00,long,0.2231,0.23314,0.00830924657,83.0924657,17.5,Bull Trend,14
2020-01-21 00:00:00+00:00,2020-03-17 00:00:00+00:00,short,0.23314,0.1411,0.05616148274,561.6148274,17.5,Bull Trend,56
2020-03-17 00:00:00+00:00,2020-04-07 00:00:00+00:00,long,0.1411,0.198,0.06146155256,614.6155256,17.5,Bear Trend,21
2020-04-07 00:00:00+00:00,2020-04-14 00:00:00+00:00,short,0.198,0.18764,0.007878175992,78.78175992,17.5,Range/Chop,7
2020-04-14 00:00:00+00:00,2020-04-21 00:00:00+00:00,long,0.18764,0.18147,-0.005502419127,-55.02419127,17.5,Range/Chop,7
2020-04-21 00:00:00+00:00,2020-07-28 00:00:00+00:00,short,0.18147,0.22445,-0.04259066194,-425.9066194,17.5,Range/Chop,98
2020-07-28 00:00:00+00:00,2020-08-25 00:00:00+00:00,long,0.22445,0.2884,0.04511949031,451.1949031,17.5,Bull Trend,28
2020-08-25 00:00:00+00:00,2020-10-06 00:00:00+00:00,short,0.2884,0.25034,0.01826191723,182.6191723,17.5,Bull Trend,42
2020-10-06 00:00:00+00:00,2020-10-27 00:00:00+00:00,long,0.25034,0.24811,-0.001651538476,-16.51538476,17.5,Range/Chop,21
2020-10-27 00:00:00+00:00,2020-11-24 00:00:00+00:00,short,0.24811,0.61562,-0.164337001,-1643.37001,17.5,Range/Chop,28
2020-11-24 00:00:00+00:00,2020-12-15 00:00:00+00:00,long,0.61562,0.49737,-0.02719663007,-271.9663007,17.5,High Vol Expansion,21
2020-12-15 00:00:00+00:00,2021-03-23 00:00:00+00:00,short,0.49737,0.54403,-0.1136676627,-1136.676627,17.5,Range/Chop,98
2021-03-23 00:00:00+00:00,2021-05-04 00:00:00+00:00,long,0.54403,1.5546,0.2409112112,2409.112112,17.5,Range/Chop,42
2021-05-04 00:00:00+00:00,2021-07-13 00:00:00+00:00,short,1.5546,0.6288,0.1001391159,1001.391159,17.5,Bull Trend,70
2021-07-13 00:00:00+00:00,2021-09-21 00:00:00+00:00,long,0.6288,0.9216,0.0847848498,847.848498,17.5,Bear Trend,70
2021-09-21 00:00:00+00:00,2021-10-12 00:00:00+00:00,short,0.9216,1.1363,-0.03936804416,-393.6804416,17.5,Range/Chop,21
2021-10-12 00:00:00+00:00,2021-10-26 00:00:00+00:00,long,1.1363,1.0951,-0.006067454997,-60.67454997,17.5,Range/Chop,14
2021-10-26 00:00:00+00:00,2021-12-21 00:00:00+00:00,short,1.0951,0.8799,0.02704992097,270.4992097,17.5,Range/Chop,56
2021-12-21 00:00:00+00:00,2022-03-29 00:00:00+00:00,long,0.8799,0.864,0.01091434814,109.1434814,17.5,Bear Trend,98
2022-03-29 00:00:00+00:00,2022-06-14 00:00:00+00:00,short,0.864,0.3117,0.1639935598,1639.935598,17.5,Range/Chop,77
