entry_time,exit_time,side,entry_price,exit_price,return,pnl,fees_paid,entry_regime,bars
2019-08-07 00:00:00+00:00,2019-08-24 16:00:00+00:00,long,0.05343,0.04917,-0.03696010229,-369.6010229,15,Range/Chop,105
2019-09-10 04:00:00+00:00,2019-09-18 12:00:00+00:00,short,0.04743,0.05061,-0.03564967948,-356.4967948,15,Range/Chop,50
2019-09-18 16:00:00+00:00,2019-09-24 08:00:00+00:00,short,0.05552,0.04571,0.09396076374,939.6076374,15,Range/Chop,34
2019-09-25 00:00:00+00:00,2019-10-09 12:00:00+00:00,long,0.03724,0.04295,0.07675022715,767.5022715,15,Crash/Capitulation,87
2019-10-16 08:00:00+00:00,2019-10-28 04:00:00+00:00,long,0.03912,0.04334,0.05402528709,540.2528709,15,Range/Chop,71
2019-11-29 04:00:00+00:00,2019-12-16 12:00:00+00:00,short,0.04106,0.03599,0.06255589937,625.5589937,15,Range/Chop,104
2020-01-07 08:00:00+00:00,2020-01-10 04:00:00+00:00,short,0.03755,0.03553,0.02605147878,260.5147878,15,Bull Trend,17
2020-01-14 12:00:00+00:00,2020-01-16 00:00:00+00:00,short,0.03857,0.04277,-0.05335286557,-533.5286557,15,Bull Trend,9
2020-01-16 04:00:00+00:00,2020-01-21 04:00:00+00:00,short,0.04064,0.04578,-0.06176306775,-617.6306775,15,Bull Trend,30
2020-01-21 08:00:00+00:00,2020-01-21 12:00:00+00:00,short,0.04522,0.04616,-0.01114363114,-111.4363114,15,Bull Trend,1
2020-01-21 16:00:00+00:00,2020-01-29 08:00:00+00:00,short,0.04597,0.05589,-0.09904642985,-990.4642985,15,Bull Trend,46
2020-01-29 12:00:00+00:00,2020-02-08 16:00:00+00:00,short,0.05572,0.06033,-0.0458206005,-458.206005,15,Bull Trend,61
2020-03-04 00:00:00+00:00,2020-03-12 12:00:00+00:00,long,0.04868,0.02776,-0.2378801584,-2378.801584,15,Bear Trend,51
2020-03-12 16:00:00+00:00,2020-03-12 20:00:00+00:00,long,0.02962,0.02958,-0.001425219446,-14.25219446,15,Bear Trend,1
2020-03-13 00:00:00+00:00,2020-04-02 20:00:00+00:00,long,0.02332,0.03222,0.1887243268,1887.243268,15,Crash/Capitulation,125
2020-04-23 00:00:00+00:00,2020-04-24 00:00:00+00:00,short,0.03663,0.04086,-0.05522744543,-552.2744543,15,Range/Chop,6
2020-04-24 04:00:00+00:00,2020-04-24 08:00:00+00:00,short,0.04308,0.04366,-0.007481662024,-74.81662024,15,Range/Chop,1
2020-04-24 12:00:00+00:00,2020-04-24 16:00:00+00:00,short,0.04279,0.04311,-0.0044891914,-44.891914,15,Range/Chop,1
2020-04-24 20:00:00+00:00,2020-05-28 20:00:00+00:00,short,0.04226,0.062,-0.2002648863,-2002.648863,15,Range/Chop,204
2020-05-29 00:00:00+00:00,2020-05-29 04:00:00+00:00,short,0.06495,0.06487,-0.0001341416474,-1.341416474,15,Range/Chop,1
2020-05-29 08:00:00+00:00,2020-05-29 16:00:00+00:00,short,0.06411,0.06464,-0.005076177811,-50.76177811,15,Range/Chop,2
2020-05-29 20:00:00+00:00,2020-05-30 04:00:00+00:00,short,0.0649,0.06721,-0.01862653848,-186.2653848,15,Range/Chop,2
2020-05-30 08:00:00+00:00,2020-05-30 12:00:00+00:00,short,0.06906,0.07064,-0.01218932812,-121.8932812,15,Range/Chop,1
2020-05-30 16:00:00+00:00,2020-05-30 20:00:00+00:00,short,0.06988,0.07474,-0.03552389811,-355.2389811,15,Range/Chop,1
2020-05-31 00:00:00+00:00,2020-05-31 04:00:00+00:00,short,0.07688,0.07496,0.01173699272,117.3699272,15,Range/Chop,1
2020-05-31 08:00:00+00:00,2020-05-31 12:00:00+00:00,short,0.08374,0.08419,-0.003436887987,-34.36887987,15,Range/Chop,1
2020-05-31 16:00:00+00:00,2020-05-31 20:00:00+00:00,short,0.07961,0.07971,-0.001378061801,-13.78061801,15,Range/Chop,1
2020-06-01 00:00:00+00:00,2020-07-01 20:00:00+00:00,short,0.07391,0.0921,-0.1257988767,-1257.988767,15,Bull Trend,185
2020-07-02 00:00:00+00:00,2020-07-02 04:00:00+00:00,short,0.09685,0.09497,0.008955730511,89.55730511,15,Range/Chop,1
2020-07-02 08:00:00+00:00,2020-07-03 16:00:00+00:00,short,0.09407,0.09949,-0.02977266527,-297.7266527,15,Range/Chop,8
2020-07-03 20:00:00+00:00,2020-07-08 04:00:00+00:00,short,0.09896,0.13361,-0.1494000323,-1494.000323,15,Range/Chop,26
2020-07-09 00:00:00+00:00,2020-07-11 04:00:00+00:00,long,0.12992,0.12138,-0.03246692746,-324.6692746,15,Bull Trend,13
2020-08-22 04:00:00+00:00,2020-08-31 20:00:00+00:00,long,0.12197,0.12588,0.01802877142,180.2877142,15,Range/Chop,58
2020-09-05 20:00:00+00:00,2020-09-25 12:00:00+00:00,long,0.08789,0.09365,0.03674909817,367.4909817,15,Crash/Capitulation,118
2020-09-28 04:00:00+00:00,2020-10-26 04:00:00+00:00,short,0.10455,0.10687,-0.02683742259,-268.3742259,15,Bear Trend,168
2020-11-16 16:00:00+00:00,2020-11-21 00:00:00+00:00,long,0.1046,0.11826,0.06368909274,636.8909274,15,Range/Chop,26
2020-11-22 20:00:00+00:00,2020-11-23 00:00:00+00:00,short,0.14513,0.14593,-0.003506149659,-35.06149659,15,Range/Chop,1
2020-11-23 04:00:00+00:00,2020-11-23 08:00:00+00:00,short,0.14983,0.15455,-0.01650118468,-165.0118468,15,Range/Chop,1
2020-11-23 12:00:00+00:00,2020-11-23 16:00:00+00:00,short,0.15282,0.1494,0.01043963486,104.3963486,15,Range/Chop,1
2020-11-23 20:00:00+00:00,2020-11-24 04:00:00+00:00,short,0.14886,0.16986,-0.06842079273,-684.2079273,15,Range/Chop,2
2020-11-24 08:00:00+00:00,2020-11-28 16:00:00+00:00,short,0.16712,0.16804,-0.02619128075,-261.9128075,15,Bull Trend,26
2020-11-28 20:00:00+00:00,2020-12-17 20:00:00+00:00,short,0.1652,0.16559,-0.01970127063,-197.0127063,15,High Vol Expansion,114
2020-12-20 12:00:00+00:00,2020-12-21 04:00:00+00:00,long,0.16464,0.16215,-0.008261633642,-82.61633642,15,Range/Chop,4
2020-12-21 08:00:00+00:00,2020-12-21 12:00:00+00:00,long,0.16321,0.15105,-0.03800261932,-380.0261932,15,Range/Chop,1
2020-12-21 16:00:00+00:00,2020-12-21 20:00:00+00:00,long,0.15174,0.15264,0.002215599051,22.15599051,15,Range/Chop,1
2020-12-22 00:00:00+00:00,2020-12-29 16:00:00+00:00,long,0.15279,0.18585,0.1084376429,1084.376429,15,Range/Chop,46
2021-01-02 00:00:00+00:00,2021-01-02 08:00:00+00:00,long,0.17505,0.17244,-0.008200571739,-82.00571739,15,Range/Chop,2
2021-01-02 12:00:00+00:00,2021-01-02 16:00:00+00:00,long,0.17207,0.17897,0.01929997966,192.9997966,15,Range/Chop,1
2021-01-02 20:00:00+00:00,2021-01-03 00:00:00+00:00,long,0.1832,0.1774,-0.01657969432,-165.7969432,15,Range/Chop,1
2021-01-03 04:00:00+00:00,2021-01-03 08:00:00+00:00,long,0.17448,0.1743,-0.001265818432,-12.65818432,15,Range/Chop,1
2021-01-03 12:00:00+00:00,2021-01-03 16:00:00+00:00,long,0.18883,0.19589,0.01794406344,179.4406344,15,Range/Chop,1
2021-01-03 20:00:00+00:00,2021-01-12 08:00:00+00:00,long,0.19516,0.30723,0.2732007737,2732.007737,15,Range/Chop,51
2021-01-28 16:00:00+00:00,2021-01-29 00:00:00+00:00,long,0.34195,0.34409,0.002386629837,23.86629837,15,Range/Chop,2
2021-01-29 04:00:00+00:00,2021-01-29 08:00:00+00:00,long,0.33837,0.34499,0.009032191093,90.32191093,15,Range/Chop,1
2021-01-29 12:00:00+00:00,2021-01-29 16:00:00+00:00,long,0.36651,0.35807,-0.01226401053,-122.6401053,15,Range/Chop,1
2021-01-29 20:00:00+00:00,2021-01-30 00:00:00+00:00,long,0.34667,0.34764,0.0006490250094,6.490250094,15,Range/Chop,1
2021-01-30 04:00:00+00:00,2021-02-17 20:00:00+00:00,long,0.34077,0.88901,0.6437991224,6437.991224,15,Range/Chop,112
2021-02-27 08:00:00+00:00,2021-03-12 20:00:00+00:00,short,1.35543,1.04281,0.1101193797,1101.193797,15,High Vol Expansion,81
