entry_time,exit_time,side,entry_price,exit_price,return,pnl,fees_paid,entry_regime,bars
2020-10-22 04:00:00+00:00,2020-11-06 16:00:00+00:00,short,4.088,3.4901,0.06256282432,625.6282432,15,Range/Chop,93
2020-12-09 20:00:00+00:00,2020-12-12 00:00:00+00:00,short,3.3242,3.232,0.01060659013,106.0659013,15,Crash/Capitulation,13
2020-12-12 04:00:00+00:00,2020-12-12 08:00:00+00:00,short,3.3953,3.4421,-0.007641879952,-76.41879952,15,Range/Chop,1
2020-12-12 12:00:00+00:00,2020-12-15 04:00:00+00:00,short,3.4007,3.1291,0.04031714649,403.1714649,15,Range/Chop,16
2020-12-23 12:00:00+00:00,2020-12-29 00:00:00+00:00,short,3.1581,2.9609,0.02254345329,225.4345329,15,Range/Chop,33
2021-01-03 08:00:00+00:00,2021-01-04 20:00:00+00:00,long,3.5108,3.4655,-0.006065947122,-60.65947122,15,Range/Chop,9
2021-01-05 00:00:00+00:00,2021-01-06 04:00:00+00:00,long,3.5999,4.3148,0.09610991859,961.0991859,15,Range/Chop,7
2021-01-08 12:00:00+00:00,2021-01-09 04:00:00+00:00,long,5.0684,6.4482,0.1313692757,1313.692757,15,Bull Trend,4
2021-01-14 12:00:00+00:00,2021-01-16 12:00:00+00:00,short,9.4008,11.7363,-0.1225256734,-1225.256734,15,High Vol Expansion,12
2021-01-16 16:00:00+00:00,2021-01-16 20:00:00+00:00,short,12.736,13.038,-0.01260615578,-126.0615578,15,High Vol Expansion,1
2021-01-17 00:00:00+00:00,2021-01-17 08:00:00+00:00,short,12.8222,12.985,-0.00909762859,-90.9762859,15,High Vol Expansion,2
2021-01-17 12:00:00+00:00,2021-02-02 04:00:00+00:00,short,13.6865,12.7707,-0.008969493287,-89.69493287,15,High Vol Expansion,94
2021-02-10 04:00:00+00:00,2021-02-10 12:00:00+00:00,short,40.4804,53.5667,-0.1504061062,-1504.061062,15,High Vol Expansion,2
2021-02-10 16:00:00+00:00,2021-02-10 20:00:00+00:00,short,47.0116,52.84,-0.06273895592,-627.3895592,15,High Vol Expansion,1
2021-02-11 00:00:00+00:00,2021-02-19 16:00:00+00:00,short,54.6872,39.0195,0.133628564,1336.28564,15,High Vol Expansion,52
2021-02-23 04:00:00+00:00,2021-03-17 00:00:00+00:00,long,29.3324,33.036,0.09143529239,914.3529239,15,High Vol Expansion,131
2021-03-28 00:00:00+00:00,2021-05-07 00:00:00+00:00,long,27.6226,38.002,0.2302506709,2302.506709,15,Range/Chop,240
2021-06-05 04:00:00+00:00,2021-06-22 12:00:00+00:00,long,18.641,10.267,-0.2495568059,-2495.568059,15,Bear Trend,104
2021-08-15 16:00:00+00:00,2021-08-15 20:00:00+00:00,long,17.534,17.854,0.008375128322,83.75128322,15,Bull Trend,1
2021-08-16 00:00:00+00:00,2021-08-16 04:00:00+00:00,long,18.762,18.615,-0.004667492805,-46.67492805,15,Bull Trend,1
2021-08-16 08:00:00+00:00,2021-08-16 12:00:00+00:00,long,19.41,20.118,0.01748802164,174.8802164,15,Bull Trend,1
2021-08-16 16:00:00+00:00,2021-08-16 20:00:00+00:00,long,20.022,20.038,-0.0003504395165,-3.504395165,15,Bull Trend,1
2021-08-17 00:00:00+00:00,2021-08-17 04:00:00+00:00,long,19.071,20.016,0.02402583766,240.2583766,15,Bull Trend,1
2021-08-17 08:00:00+00:00,2021-08-18 12:00:00+00:00,long,19.795,21.669,0.05158055731,515.8055731,15,Bull Trend,7
2021-08-19 08:00:00+00:00,2021-08-21 08:00:00+00:00,short,33.147,43.179,-0.1370015984,-1370.015984,15,Bull Trend,12
2021-08-21 12:00:00+00:00,2021-08-21 16:00:00+00:00,short,45.697,48.935,-0.0361790216,-361.790216,15,High Vol Expansion,1
2021-08-21 20:00:00+00:00,2021-08-23 04:00:00+00:00,short,45.128,49.613,-0.05594223588,-559.4223588,15,High Vol Expansion,8
2021-08-23 08:00:00+00:00,2021-08-23 12:00:00+00:00,short,49.334,50.234,-0.009871498358,-98.71498358,15,High Vol Expansion,1
2021-08-23 16:00:00+00:00,2021-08-30 16:00:00+00:00,short,46.566,43.72,0.008213944262,82.13944262,15,High Vol Expansion,42
2021-09-07 08:00:00+00:00,2021-09-16 16:00:00+00:00,long,45.11,65.4,0.2254500554,2254.500554,15,High Vol Expansion,56
2021-11-01 08:00:00+00:00,2021-11-07 20:00:00+00:00,long,63.87,88.24,0.177894478,1778.94478,15,Range/Chop,39
2021-11-10 04:00:00+00:00,2021-11-17 16:00:00+00:00,short,92.51,104.24,-0.06873934301,-687.3934301,15,Range/Chop,45
