entry_time,exit_time,side,entry_price,exit_price,return,pnl,fees_paid,entry_regime,bars
2018-02-19 16:00:00+00:00,2018-04-12 00:00:00+00:00,short,11171.71,6953.78,0.2001469725,2001.469725,15,Range/Chop,308
2018-04-19 16:00:00+00:00,2018-05-23 16:00:00+00:00,long,8235.45,7693.3,-0.02999359527,-299.9359527,15,Range/Chop,204
2018-05-28 20:00:00+00:00,2018-06-03 16:00:00+00:00,short,7215,7731,-0.03635859153,-363.5859153,15,Bear Trend,35
2018-06-13 16:00:00+00:00,2018-06-19 12:00:00+00:00,short,6366.31,6726.11,-0.03054766027,-305.4766027,15,Bear Trend,35
2018-06-24 16:00:00+00:00,2018-09-21 20:00:00+00:00,short,5769.86,6749.14,-0.1040000431,-1040.000431,15,Bear Trend,532
2018-10-15 00:00:00+00:00,2018-11-04 20:00:00+00:00,short,6339.34,6481.16,-0.01480131588,-148.0131588,15,Range/Chop,125
2018-11-07 00:00:00+00:00,2018-11-14 16:00:00+00:00,long,6522.73,6231.36,-0.02315679883,-231.5679883,15,Range/Chop,45
2018-11-19 08:00:00+00:00,2018-12-20 20:00:00+00:00,short,5467.52,4011.73,0.1296110425,1296.110425,15,Bear Trend,189
2018-12-23 04:00:00+00:00,2018-12-23 08:00:00+00:00,long,3980.97,3957.07,-0.003751780973,-37.51780973,15,Range/Chop,1
2018-12-23 12:00:00+00:00,2018-12-23 16:00:00+00:00,long,3996.52,3906.35,-0.01203106453,-120.3106453,15,Range/Chop,1
2018-12-23 20:00:00+00:00,2018-12-24 00:00:00+00:00,long,3931.48,3929.71,-0.0009751060669,-9.751060669,15,Range/Chop,1
2018-12-24 04:00:00+00:00,2018-12-24 08:00:00+00:00,long,4141.01,4160.06,0.001550163487,15.50163487,15,Range/Chop,1
2018-12-24 12:00:00+00:00,2018-12-24 16:00:00+00:00,long,4105.97,4022,-0.01097535479,-109.7535479,15,Range/Chop,1
2018-12-24 20:00:00+00:00,2019-01-13 20:00:00+00:00,long,4012.49,3465.03,-0.0686268559,-686.268559,15,Range/Chop,120
2019-01-28 12:00:00+00:00,2019-02-08 20:00:00+00:00,short,3427.59,3668.28,-0.0356921361,-356.921361,15,Range/Chop,68
2019-02-17 12:00:00+00:00,2019-03-04 04:00:00+00:00,long,3623.73,3798.67,0.02483903814,248.3903814,15,Range/Chop,88
2019-04-02 08:00:00+00:00,2019-04-02 12:00:00+00:00,short,4647.01,4722.45,-0.008867047306,-88.67047306,15,Range/Chop,1
