entry_time,exit_time,side,entry_price,exit_price,return,pnl,fees_paid,entry_regime,bars
2020-09-24 00:00:00+00:00,2020-11-18 00:00:00+00:00,short,3.5305,3.8476,-0.2788540382,-2788.540382,15,Range/Chop,55
2020-11-20 00:00:00+00:00,2020-12-20 00:00:00+00:00,short,3.6432,3.458,-0.01884402078,-188.4402078,15,Range/Chop,30
2020-12-21 00:00:00+00:00,2021-01-02 00:00:00+00:00,short,3.3041,3.6544,-0.1347407415,-1347.407415,15,Range/Chop,12
2021-03-10 00:00:00+00:00,2021-03-23 00:00:00+00:00,long,34.3007,29.1805,-0.1507518093,-1507.518093,15,Crash/Capitulation,13
2021-03-30 00:00:00+00:00,2021-04-19 00:00:00+00:00,long,29.5,29.323,-0.007485917658,-74.85917658,30,Range/Chop,20
2021-04-19 00:00:00+00:00,2021-05-01 00:00:00+00:00,short,29.323,32.819,-0.20429836,-2042.9836,30,Bear Trend,12
2021-05-01 00:00:00+00:00,2021-05-13 00:00:00+00:00,long,32.819,32.872,-0.001484751779,-14.84751779,15,Range/Chop,12
2021-05-14 00:00:00+00:00,2021-05-20 00:00:00+00:00,long,35.036,23.064,-0.3426408781,-3426.408781,30,Range/Chop,6
2021-05-20 00:00:00+00:00,2021-07-07 00:00:00+00:00,short,23.064,13.369,0.229626483,2296.26483,15,Range/Chop,48
2021-07-09 00:00:00+00:00,2021-07-27 00:00:00+00:00,short,12.093,11.455,0.02881230011,288.1230011,15,Bear Trend,18
2021-09-11 00:00:00+00:00,2021-09-21 00:00:00+00:00,long,49.33,57.34,0.1608674181,1608.674181,15,High Vol Expansion,10
2021-09-30 00:00:00+00:00,2021-10-11 00:00:00+00:00,long,65.46,56.5,-0.1381492411,-1381.492411,15,Bull Trend,11
2021-10-21 00:00:00+00:00,2021-11-25 00:00:00+00:00,long,59.66,115.25,0.9289681971,9289.681971,15,Range/Chop,35
2021-11-28 00:00:00+00:00,2021-12-05 00:00:00+00:00,long,113.55,93.02,-0.1820650388,-1820.650388,15,Bull Trend,7
2021-12-16 00:00:00+00:00,2021-12-30 00:00:00+00:00,long,101.28,103.1,0.01639561792,163.9561792,15,Range/Chop,14
2022-01-01 00:00:00+00:00,2022-01-07 00:00:00+00:00,long,109.43,95.1,-0.1322012931,-1322.012931,15,Range/Chop,6
2022-02-14 00:00:00+00:00,2022-02-16 00:00:00+00:00,short,77.93,92.96,-0.1805270161,-1805.270161,15,Range/Chop,2
2022-02-21 00:00:00+00:00,2022-03-01 00:00:00+00:00,short,77.34,84.54,-0.1233851374,-1233.851374,30,Range/Chop,8
2022-03-01 00:00:00+00:00,2022-03-04 00:00:00+00:00,long,84.54,78.5,-0.074155793,-741.55793,30,Range/Chop,3
2022-03-04 00:00:00+00:00,2022-03-18 00:00:00+00:00,short,78.5,79.4,-0.03704047027,-370.4047027,30,Range/Chop,14
2022-03-18 00:00:00+00:00,2022-04-07 00:00:00+00:00,long,79.4,82.94,0.04168167639,416.8167639,30,Range/Chop,20
2022-04-07 00:00:00+00:00,2022-05-05 00:00:00+00:00,short,82.94,67.28,0.1545421852,1545.421852,15,Range/Chop,28
2022-06-27 00:00:00+00:00,2022-07-08 00:00:00+00:00,short,19.73,20.18,-0.04552469723,-455.2469723,15,Range/Chop,11
2022-07-12 00:00:00+00:00,2022-07-17 00:00:00+00:00,short,17.34,21.25,-0.2084998298,-2084.998298,15,Range/Chop,5
2022-07-26 00:00:00+00:00,2022-07-28 00:00:00+00:00,short,20.93,23.38,-0.1209404434,-1209.404434,30,Range/Chop,2
2022-07-28 00:00:00+00:00,2022-08-18 00:00:00+00:00,long,23.38,25.56,0.09007480101,900.7480101,15,Range/Chop,21
2022-09-14 00:00:00+00:00,2022-10-18 00:00:00+00:00,short,18.87,16.17,0.1330213363,1330.213363,15,Range/Chop,34
2022-10-25 00:00:00+00:00,2022-10-29 00:00:00+00:00,short,15.75,18.33,-0.1514682791,-1514.682791,15,Range/Chop,4
2022-11-09 00:00:00+00:00,2022-11-11 00:00:00+00:00,short,16.02,15.41,-0.03772100325,-377.2100325,15,Range/Chop,2
2022-12-08 00:00:00+00:00,2023-01-05 00:00:00+00:00,short,13.28,12.09,0.06573426713,657.3426713,15,Range/Chop,28
2023-02-16 00:00:00+00:00,2023-02-25 00:00:00+00:00,long,19.94,18.39,-0.07921706189,-792.1706189,15,Bull Trend,9
2023-03-16 00:00:00+00:00,2023-03-18 00:00:00+00:00,short,15.55,17.64,-0.1316159293,-1316.159293,30,Bear Trend,2
2023-03-18 00:00:00+00:00,2023-03-21 00:00:00+00:00,long,17.64,16.64,-0.05962754134,-596.2754134,30,Range/Chop,3
2023-03-21 00:00:00+00:00,2023-03-22 00:00:00+00:00,short,16.64,17.43,-0.05047596154,-504.7596154,30,Range/Chop,1
2023-03-22 00:00:00+00:00,2023-03-23 00:00:00+00:00,long,17.43,16.75,-0.04201319564,-420.1319564,30,Range/Chop,1
2023-03-23 00:00:00+00:00,2023-03-24 00:00:00+00:00,short,16.75,17.54,-0.0501641791,-501.641791,30,Range/Chop,1
2023-03-24 00:00:00+00:00,2023-03-28 00:00:00+00:00,long,17.54,16.48,-0.06334838966,-633.4838966,30,Range/Chop,4
2023-03-28 00:00:00+00:00,2023-03-30 00:00:00+00:00,short,16.48,17.32,-0.05281801923,-528.1801923,30,Range/Chop,2
2023-03-30 00:00:00+00:00,2023-04-20 00:00:00+00:00,long,17.32,18.98,0.09253825502,925.3825502,15,Range/Chop,21
2023-06-06 00:00:00+00:00,2023-06-14 00:00:00+00:00,short,13.87,11.8,0.1395182383,1395.182383,15,Bear Trend,8
2023-06-29 00:00:00+00:00,2023-07-09 00:00:00+00:00,short,12.34,13.64,-0.1049988995,-1049.988995,30,Bear Trend,10
2023-07-09 00:00:00+00:00,2023-07-13 00:00:00+00:00,long,13.64,13.01,-0.04906176281,-490.6176281,30,Range/Chop,4
2023-07-13 00:00:00+00:00,2023-07-14 00:00:00+00:00,short,13.01,14.11,-0.08755034589,-875.5034589,30,Range/Chop,1
2023-07-14 00:00:00+00:00,2023-07-17 00:00:00+00:00,long,14.11,14.29,0.009826629747,98.26629747,15,Range/Chop,3
2023-07-23 00:00:00+00:00,2023-08-30 00:00:00+00:00,short,13.52,10.81,0.2260523093,2260.523093,15,Range/Chop,38
2023-09-30 00:00:00+00:00,2023-10-05 00:00:00+00:00,short,9.17,10.1,-0.1029266223,-1029.266223,15,Bear Trend,5
2023-10-10 00:00:00+00:00,2023-10-22 00:00:00+00:00,short,9.54,9.64,-0.0175236448,-175.236448,15,Range/Chop,12
2024-01-02 00:00:00+00:00,2024-01-07 00:00:00+00:00,long,41.95,34.62,-0.1760105727,-1760.105727,15,Bull Trend,5
2024-01-11 00:00:00+00:00,2024-01-19 00:00:00+00:00,long,38.54,33.59,-0.1297203739,-1297.203739,15,Range/Chop,8
2024-01-29 00:00:00+00:00,2024-02-01 00:00:00+00:00,long,34.83,33.18,-0.04875277137,-487.5277137,30,Bear Trend,3
2024-02-01 00:00:00+00:00,2024-02-03 00:00:00+00:00,short,33.18,36.76,-0.1070915131,-1070.915131,30,Range/Chop,2
2024-02-03 00:00:00+00:00,2024-02-21 00:00:00+00:00,long,36.76,38.5,0.04412215665,441.2215665,15,Range/Chop,18
2024-02-27 00:00:00+00:00,2024-03-24 00:00:00+00:00,long,39.29,53.45,0.3583543724,3583.543724,15,Range/Chop,26
2024-04-01 00:00:00+00:00,2024-04-06 00:00:00+00:00,long,54.06,45.3,-0.1633646744,-1633.646744,15,Range/Chop,5
2024-05-08 00:00:00+00:00,2024-05-19 00:00:00+00:00,short,35.31,37.23,-0.0702914932,-702.914932,15,Bear Trend,11
2024-05-27 00:00:00+00:00,2024-05-28 00:00:00+00:00,short,36.76,38.27,-0.04257725789,-425.7725789,30,Range/Chop,1
2024-05-28 00:00:00+00:00,2024-05-29 00:00:00+00:00,long,38.27,37.02,-0.03566266005,-356.6266005,30,Range/Chop,1
2024-05-29 00:00:00+00:00,2024-06-28 00:00:00+00:00,short,37.02,27.91,0.272466853,2724.66853,15,Range/Chop,30
2024-07-04 00:00:00+00:00,2024-07-07 00:00:00+00:00,short,26.51,27.41,-0.04880853079,-488.0853079,15,Bear Trend,3
