entry_time,exit_time,side,entry_price,exit_price,return,pnl,fees_paid,entry_regime,bars
2020-08-13 00:00:00+00:00,2020-08-16 00:00:00+00:00,long,3.75,3.173,-0.1551458614,-1551.458614,30,Range/Chop,3
2020-08-16 00:00:00+00:00,2020-08-17 00:00:00+00:00,short,3.173,3.3885,-0.07091679798,-709.1679798,30,Range/Chop,1
2020-08-17 00:00:00+00:00,2020-08-18 00:00:00+00:00,long,3.3885,3.11,-0.08518975948,-851.8975948,30,Range/Chop,1
2020-08-18 00:00:00+00:00,2020-08-19 00:00:00+00:00,short,3.11,3.334,-0.07502572347,-750.2572347,30,Range/Chop,1
2020-08-19 00:00:00+00:00,2020-08-20 00:00:00+00:00,long,3.334,2.8962,-0.1343137373,-1343.137373,30,Range/Chop,1
2020-08-20 00:00:00+00:00,2020-08-29 00:00:00+00:00,short,2.8962,4.007,-0.3240720227,-3240.720227,15,Range/Chop,9
2020-09-04 00:00:00+00:00,2020-09-10 00:00:00+00:00,short,3.5062,3.6107,-0.3308949371,-3308.949371,30,Range/Chop,6
2020-09-10 00:00:00+00:00,2020-09-12 00:00:00+00:00,long,3.6107,3.3967,-0.06220432189,-622.0432189,30,Crash/Capitulation,2
2020-09-12 00:00:00+00:00,2020-11-07 00:00:00+00:00,short,3.3967,1.9069,0.2620245512,2620.245512,15,Range/Chop,56
2020-11-27 00:00:00+00:00,2020-12-03 00:00:00+00:00,short,1.9117,2.119,-0.1057384201,-1057.384201,30,Range/Chop,6
2020-12-03 00:00:00+00:00,2020-12-05 00:00:00+00:00,long,2.119,1.8507,-0.1292643468,-1292.643468,30,Range/Chop,2
2020-12-05 00:00:00+00:00,2020-12-26 00:00:00+00:00,short,1.8507,1.4488,0.1355176422,1355.176422,15,Range/Chop,21
2020-12-31 00:00:00+00:00,2021-01-02 00:00:00+00:00,short,1.5337,1.8421,-0.2094238573,-2094.238573,30,Range/Chop,2
2021-01-02 00:00:00+00:00,2021-01-07 00:00:00+00:00,long,1.8421,1.9404,0.05012865024,501.2865024,15,Range/Chop,5
2021-01-23 00:00:00+00:00,2021-02-26 00:00:00+00:00,long,3.3302,13.8565,3.154925762,31549.25762,15,Range/Chop,34
2021-03-18 00:00:00+00:00,2021-03-25 00:00:00+00:00,long,14.1987,13.5844,-0.04469795158,-446.9795158,15,Bull Trend,7
2021-03-27 00:00:00+00:00,2021-04-18 00:00:00+00:00,long,14.7751,24.8517,0.6797328761,6797.328761,15,Bull Trend,22
2021-05-15 00:00:00+00:00,2021-05-20 00:00:00+00:00,long,42.697,34.987,-0.1817822507,-1817.822507,30,Bull Trend,5
2021-05-20 00:00:00+00:00,2021-05-21 00:00:00+00:00,short,34.987,44.367,-0.2710995798,-2710.995798,30,Crash/Capitulation,1
2021-05-21 00:00:00+00:00,2021-05-23 00:00:00+00:00,long,44.367,31.222,-0.2986850856,-2986.850856,15,High Vol Expansion,2
2021-06-04 00:00:00+00:00,2021-06-12 00:00:00+00:00,long,39.599,36.131,-0.08902878026,-890.2878026,30,Bull Trend,8
2021-06-12 00:00:00+00:00,2021-06-14 00:00:00+00:00,short,36.131,38.713,-0.07306338262,-730.6338262,30,Range/Chop,2
2021-06-14 00:00:00+00:00,2021-06-22 00:00:00+00:00,long,38.713,26.597,-0.3149796523,-3149.796523,15,Range/Chop,8
2021-07-02 00:00:00+00:00,2021-07-25 00:00:00+00:00,short,33.27,28.626,0.07563670748,756.3670748,15,Range/Chop,23
2021-07-30 00:00:00+00:00,2021-09-01 00:00:00+00:00,long,31.238,108.27,2.460951306,24609.51306,15,Range/Chop,33
2021-09-23 00:00:00+00:00,2021-10-12 00:00:00+00:00,long,148.02,144.79,-0.0232702414,-232.702414,15,High Vol Expansion,19
2021-10-13 00:00:00+00:00,2021-10-28 00:00:00+00:00,long,152.35,184.45,0.2088302539,2088.302539,15,Range/Chop,15
2021-11-22 00:00:00+00:00,2021-11-27 00:00:00+00:00,long,230.56,192.37,-0.1669786859,-1669.786859,15,Range/Chop,5
2021-12-02 00:00:00+00:00,2021-12-06 00:00:00+00:00,long,229.81,196.49,-0.1462511011,-1462.511011,15,Range/Chop,4
2021-12-29 00:00:00+00:00,2022-02-02 00:00:00+00:00,short,177.28,109.99,0.4376523351,4376.523351,15,Range/Chop,35
2022-02-11 00:00:00+00:00,2022-03-01 00:00:00+00:00,short,106.18,99.67,-0.0124117719,-124.117719,15,Bear Trend,18
2022-03-04 00:00:00+00:00,2022-03-20 00:00:00+00:00,short,95.63,92.31,0.006995965456,69.95965456,15,Range/Chop,16
2022-04-08 00:00:00+00:00,2022-04-12 00:00:00+00:00,long,118.47,99.64,-0.1603029085,-1603.029085,15,Bull Trend,4
2022-04-20 00:00:00+00:00,2022-04-21 00:00:00+00:00,long,108.51,105.58,-0.02850211962,-285.0211962,30,Range/Chop,1
2022-04-21 00:00:00+00:00,2022-05-16 00:00:00+00:00,short,105.58,58.83,0.4930083485,4930.083485,15,Range/Chop,25
2022-06-29 00:00:00+00:00,2022-07-17 00:00:00+00:00,short,35.34,39.59,-0.142978707,-1429.78707,15,Range/Chop,18
2022-07-26 00:00:00+00:00,2022-07-29 00:00:00+00:00,short,36.66,42.92,-0.161211348,-1612.11348,15,Range/Chop,3
2022-08-03 00:00:00+00:00,2022-08-13 00:00:00+00:00,short,39.78,45.49,-0.1385509777,-1385.509777,15,Range/Chop,10
2022-08-18 00:00:00+00:00,2022-09-11 00:00:00+00:00,short,40.54,35.04,0.1131524908,1131.524908,15,Range/Chop,24
2022-09-14 00:00:00+00:00,2022-10-26 00:00:00+00:00,short,33,30.87,0.01596833453,159.6833453,15,Crash/Capitulation,42
2022-11-03 00:00:00+00:00,2022-11-05 00:00:00+00:00,short,30.81,33.73,-0.09583307076,-958.3307076,30,Range/Chop,2
2022-11-05 00:00:00+00:00,2022-11-07 00:00:00+00:00,long,33.73,32.61,-0.03585608165,-358.5608165,15,Range/Chop,2
2022-11-08 00:00:00+00:00,2022-12-07 00:00:00+00:00,short,29.62,14.3,0.4224178326,4224.178326,15,Range/Chop,29
2023-02-08 00:00:00+00:00,2023-02-10 00:00:00+00:00,long,23.82,20.48,-0.1415418714,-1415.418714,30,Bull Trend,2
2023-02-10 00:00:00+00:00,2023-02-16 00:00:00+00:00,short,20.48,23.86,-0.1569571484,-1569.571484,30,Range/Chop,6
2023-02-16 00:00:00+00:00,2023-02-25 00:00:00+00:00,long,23.86,23.07,-0.03622176764,-362.2176764,15,Range/Chop,9
2023-03-16 00:00:00+00:00,2023-03-18 00:00:00+00:00,short,19.25,21.6,-0.1191491889,-1191.491889,30,Range/Chop,2
2023-03-18 00:00:00+00:00,2023-03-25 00:00:00+00:00,long,21.6,20.66,-0.04644210342,-464.4210342,30,Range/Chop,7
2023-03-25 00:00:00+00:00,2023-03-30 00:00:00+00:00,short,20.66,21.1,-0.02865064241,-286.5064241,30,Range/Chop,5
2023-03-30 00:00:00+00:00,2023-03-31 00:00:00+00:00,long,21.1,20.55,-0.02906635071,-290.6635071,30,Range/Chop,1
2023-03-31 00:00:00+00:00,2023-04-01 00:00:00+00:00,short,20.55,21.15,-0.03219708029,-321.9708029,30,Range/Chop,1
2023-04-01 00:00:00+00:00,2023-04-03 00:00:00+00:00,long,21.15,20.52,-0.03270892365,-327.0892365,30,Range/Chop,2
2023-04-03 00:00:00+00:00,2023-04-12 00:00:00+00:00,short,20.52,22.99,-0.1211024521,-1211.024521,15,Range/Chop,9
2023-04-28 00:00:00+00:00,2023-05-02 00:00:00+00:00,long,22.34,21.95,-0.01886814376,-188.6814376,30,Range/Chop,4
2023-05-02 00:00:00+00:00,2023-05-06 00:00:00+00:00,short,21.95,22.82,-0.04407894932,-440.7894932,30,Range/Chop,4
2023-05-06 00:00:00+00:00,2023-05-07 00:00:00+00:00,long,22.82,21.91,-0.04287730061,-428.7730061,30,Range/Chop,1
2023-05-07 00:00:00+00:00,2023-05-29 00:00:00+00:00,short,21.91,20.81,0.0354383789,354.383789,15,Range/Chop,22
2023-06-02 00:00:00+00:00,2023-06-03 00:00:00+00:00,short,20.49,21.26,-0.03907930698,-390.7930698,30,Range/Chop,1
2023-06-03 00:00:00+00:00,2023-06-06 00:00:00+00:00,long,21.26,20.01,-0.06162880084,-616.2880084,30,Range/Chop,3
2023-06-06 00:00:00+00:00,2023-06-18 00:00:00+00:00,short,20.01,15.65,0.2385222151,2385.222151,15,Range/Chop,12
2023-06-23 00:00:00+00:00,2023-07-01 00:00:00+00:00,short,16.62,18.85,-0.1407299216,-1407.299216,15,Bear Trend,8
