entry_time,exit_time,side,entry_price,exit_price,return,pnl,fees_paid,entry_regime,bars
2018-05-06 00:00:00+00:00,2018-05-07 00:00:00+00:00,long,0.9028,0.86482,-0.0435691183,-435.691183,30,Range/Chop,1
2018-05-07 00:00:00+00:00,2018-07-18 00:00:00+00:00,short,0.86482,0.50651,0.4726014656,4726.014656,15,Range/Chop,72
2018-07-21 00:00:00+00:00,2018-08-18 00:00:00+00:00,short,0.4444,0.36721,0.07159006827,715.9006827,15,Bear Trend,28
2018-08-19 00:00:00+00:00,2018-09-19 00:00:00+00:00,short,0.32848,0.31898,-0.06428487698,-642.8487698,15,Bear Trend,31
2018-10-09 00:00:00+00:00,2018-10-12 00:00:00+00:00,long,0.49302,0.38319,-0.2239630853,-2239.630853,15,Bull Trend,3
2018-10-16 00:00:00+00:00,2018-10-30 00:00:00+00:00,long,0.46183,0.44554,-0.03665489594,-366.5489594,15,Bull Trend,14
2018-11-02 00:00:00+00:00,2018-11-09 00:00:00+00:00,long,0.46137,0.49713,0.07589705697,758.9705697,15,Range/Chop,7
2018-11-18 00:00:00+00:00,2018-11-21 00:00:00+00:00,long,0.49815,0.44285,-0.1122978948,-1122.978948,15,Range/Chop,3
2018-12-28 00:00:00+00:00,2019-01-31 00:00:00+00:00,short,0.3337,0.32118,-0.02093898684,-209.3898684,15,Range/Chop,34
2019-02-01 00:00:00+00:00,2019-02-19 00:00:00+00:00,short,0.3092,0.32188,-0.05230731657,-523.0731657,30,Range/Chop,18
2019-02-19 00:00:00+00:00,2019-02-25 00:00:00+00:00,long,0.32188,0.29757,-0.07829313341,-782.9313341,30,Range/Chop,6
2019-02-25 00:00:00+00:00,2019-02-26 00:00:00+00:00,short,0.29757,0.3274,-0.1032453204,-1032.453204,30,Range/Chop,1
2019-02-26 00:00:00+00:00,2019-02-28 00:00:00+00:00,long,0.3274,0.31054,-0.05443893878,-544.3893878,30,Range/Chop,2
2019-02-28 00:00:00+00:00,2019-03-31 00:00:00+00:00,short,0.31054,0.31092,-0.01052123422,-105.2123422,15,Range/Chop,31
2019-04-01 00:00:00+00:00,2019-04-03 00:00:00+00:00,short,0.30889,0.3505,-0.133190451,-1331.90451,15,Range/Chop,2
2019-04-18 00:00:00+00:00,2019-04-25 00:00:00+00:00,long,0.33435,0.29971,-0.1049449921,-1049.449921,15,Bull Trend,7
2019-05-12 00:00:00+00:00,2019-05-17 00:00:00+00:00,long,0.31703,0.41891,0.3193315314,3193.315314,15,Range/Chop,5
2019-06-07 00:00:00+00:00,2019-06-28 00:00:00+00:00,long,0.41935,0.41061,-0.02231276125,-223.1276125,15,Bull Trend,21
2019-09-18 00:00:00+00:00,2019-09-21 00:00:00+00:00,long,0.28553,0.2936,0.02685817618,268.5817618,15,Bull Trend,3
2019-09-24 00:00:00+00:00,2019-10-01 00:00:00+00:00,short,0.26787,0.25659,0.0166430583,166.430583,15,Range/Chop,7
2019-10-08 00:00:00+00:00,2019-10-24 00:00:00+00:00,long,0.27584,0.27307,-0.01151863952,-115.1863952,30,Range/Chop,16
2019-10-24 00:00:00+00:00,2019-10-26 00:00:00+00:00,short,0.27307,0.29839,-0.0937542046,-937.542046,30,Range/Chop,2
2019-10-26 00:00:00+00:00,2019-11-09 00:00:00+00:00,long,0.29839,0.27546,-0.07966124764,-796.6124764,15,Range/Chop,14
2020-01-07 00:00:00+00:00,2020-01-10 00:00:00+00:00,long,0.2231,0.20375,-0.08816497941,-881.6497941,15,Bull Trend,3
2020-01-27 00:00:00+00:00,2020-02-17 00:00:00+00:00,long,0.23121,0.29248,0.2630961574,2630.961574,15,Bull Trend,21
2020-02-24 00:00:00+00:00,2020-02-27 00:00:00+00:00,long,0.28298,0.22917,-0.1914265349,-1914.265349,15,Bull Trend,3
2020-03-28 00:00:00+00:00,2020-04-07 00:00:00+00:00,short,0.17271,0.198,-0.1461944107,-1461.944107,15,Bear Trend,10
2020-04-16 00:00:00+00:00,2020-04-27 00:00:00+00:00,short,0.1805,0.1962,-0.08934159932,-893.4159932,15,Range/Chop,11
2020-05-11 00:00:00+00:00,2020-05-15 00:00:00+00:00,short,0.19708,0.20379,-0.03603458813,-360.3458813,15,Range/Chop,4
2020-05-19 00:00:00+00:00,2020-05-30 00:00:00+00:00,long,0.20537,0.19762,-0.03918375597,-391.8375597,30,Range/Chop,11
2020-05-30 00:00:00+00:00,2020-05-31 00:00:00+00:00,short,0.19762,0.207,-0.05046483149,-504.6483149,30,Range/Chop,1
2020-05-31 00:00:00+00:00,2020-06-10 00:00:00+00:00,long,0.207,0.20135,-0.0302789753,-302.789753,30,Range/Chop,10
2020-06-10 00:00:00+00:00,2020-06-11 00:00:00+00:00,short,0.20135,0.20266,-0.009506083933,-95.06083933,30,Range/Chop,1
2020-06-11 00:00:00+00:00,2020-06-12 00:00:00+00:00,long,0.20266,0.18823,-0.0742030001,-742.030001,30,Range/Chop,1
2020-06-12 00:00:00+00:00,2020-07-07 00:00:00+00:00,short,0.18823,0.18876,-0.01535293637,-153.5293637,15,Range/Chop,25
2020-08-23 00:00:00+00:00,2020-09-04 00:00:00+00:00,long,0.28589,0.24404,-0.1476702963,-1476.702963,15,Bull Trend,12
2020-10-05 00:00:00+00:00,2020-10-16 00:00:00+00:00,long,0.24794,0.24584,-0.009942827749,-99.42827749,30,Range/Chop,11
2020-10-16 00:00:00+00:00,2020-10-22 00:00:00+00:00,short,0.24584,0.2508,-0.02444364081,-244.4364081,30,Range/Chop,6
2020-10-22 00:00:00+00:00,2020-10-27 00:00:00+00:00,long,0.2508,0.24811,-0.01362156547,-136.2156547,30,Range/Chop,5
