asset,partition,session_total_return,session_sharpe,bh_total_return,bh_sharpe,session_beats_bh
BTC,development_2018_2020,-0.880997743031529,-1.8037404620709214,-0.46816285892315845,0.032980044943825525,False
BTC,validation_2020_2024,-0.9698864592960436,-1.9170807165701207,4.891523222730325,0.9908720810921972,False
BTC,test_2024_2026,-0.9563583734605048,-3.3963039604071508,0.5010127078770379,0.5693936780852452,False
ETH,development_2018_2020,-0.9630686170814943,-2.2230664420464064,-0.8224897611390561,-0.3199814289020072,False
ETH,validation_2020_2024,-0.8864520343303547,-0.7807149012233292,16.706758749127026,1.2669553388208623,False
ETH,test_2024_2026,-0.9837118807820975,-3.2753391028425676,-0.17555140252057289,0.2201519317499868,False
SOL,validation_2020_2024,-0.9125151760926731,-0.38768886684628284,33.46383194985601,1.4422856908891393,False
SOL,test_2024_2026,-0.9862657508221345,-2.647448876153781,-0.27226363279717525,0.2762750376777921,False
XRP,development_2018_2020,-0.8989561000976616,-2.052475015220519,-0.7909534127843987,-0.501891347556062,False
XRP,validation_2020_2024,-0.8091787157169175,-0.2856805038710909,2.1982543640897756,0.816926596220295,False
XRP,test_2024_2026,-0.892390228886764,-1.2655353203149078,0.7301200908795846,0.6691845325231891,False
